"ALambda_0","D_X","E850","SAC","SH2","SI","SIC","SIN","SIP","SLambda_0","SS","Su","U:0","U:1","U:2","XI","XI_VS","XI_alpha","XPB","XPB_VS","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","alphas","p","p_rgh","sourceXI_alpha","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
5822,1.728e-11,3,0.74519,0.0019815,0.21778,0.002956,0.047059,0.013776,1734,0.15298,0,7.1726e-14,1.1731e-16,0,16.936,15.828,0.21608,55.617,31.246,0.70957,6.4238,6.0035,0.081955,0,0.51411,20.179,20.179,2.9127e-07,4.3266e-06,6.6653e-08,1.0076,1,0,0.0015,0,5e-06
5821.9,1.728e-11,2.8075,0.7452,0.0019815,0.21777,0.0029558,0.047059,0.013777,1734,0.15298,0,9.1178e-14,-5.0378e-16,0,16.936,15.828,0.21608,55.617,31.245,0.70957,6.4238,6.0035,0.081955,0,0.51411,20.149,20.179,2.9127e-07,4.0926e-06,6.6651e-08,1.0076,1,3e-06,0.0015,3e-06,5e-06
5821.9,1.728e-11,2.615,0.74521,0.0019815,0.21777,0.0029556,0.04706,0.013777,1734,0.15298,0,1.1063e-13,-1.1249e-15,0,16.936,15.828,0.21608,55.617,31.245,0.70956,6.4238,6.0035,0.081955,0,0.51411,20.12,20.179,2.9127e-07,3.8586e-06,6.6648e-08,1.0076,1,6e-06,0.0015,6e-06,5e-06
5821.9,1.728e-11,2.4493,0.74523,0.0019816,0.21777,0.0029552,0.04706,0.013777,1734,0.15298,0,1.379e-13,-2.4932e-15,0,16.936,15.828,0.21608,55.616,31.245,0.70956,6.4238,6.0035,0.081955,0,0.51411,20.09,20.179,2.9127e-07,3.6518e-06,6.6644e-08,1.0076,1,9e-06,0.0015,9e-06,5e-06
5821.8,1.728e-11,2.3104,0.74525,0.0019816,0.21777,0.0029547,0.047061,0.013777,1734,0.15299,0,1.7297e-13,-4.6089e-15,0,16.936,15.828,0.21608,55.616,31.245,0.70955,6.4238,6.0035,0.081955,0,0.51411,20.06,20.179,2.9127e-07,3.4723e-06,6.6637e-08,1.0076,1,1.2e-05,0.0015,1.2e-05,5e-06
5821.8,1.728e-11,2.1715,0.74528,0.0019817,0.21777,0.0029541,0.047061,0.013778,1734,0.153,0,2.0805e-13,-6.7246e-15,0,16.936,15.828,0.21608,55.615,31.244,0.70954,6.4237,6.0035,0.081955,0,0.51411,20.03,20.179,2.9127e-07,3.2928e-06,6.663e-08,1.0076,1,1.5e-05,0.0015,1.5e-05,5e-06
5821.7,1.728e-11,2.0662,0.74533,0.0019818,0.21777,0.0029533,0.047062,0.013778,1734,0.15301,0,2.3787e-13,-1.0921e-14,0,16.936,15.828,0.21607,55.614,31.244,0.70953,6.4237,6.0035,0.081955,0,0.5141,20.001,20.179,2.9127e-07,3.1486e-06,6.6619e-08,1.0076,1,1.8e-05,0.0015,1.8e-05,5e-06
5821.6,1.728e-11,1.9609,0.74537,0.0019819,0.21776,0.0029524,0.047063,0.013779,1734,0.15302,0,2.6769e-13,-1.5117e-14,0,16.936,15.828,0.21607,55.613,31.243,0.70952,6.4237,6.0035,0.081954,0,0.5141,19.971,20.179,2.9127e-07,3.0043e-06,6.6608e-08,1.0075,1,2.1e-05,0.0015,2.1e-05,5e-06
5821.4,1.728e-11,1.8655,0.74543,0.0019819,0.21776,0.0029515,0.047065,0.01378,1733.9,0.15303,0,2.9617e-13,-2.0422e-14,0,16.936,15.828,0.21607,55.612,31.243,0.7095,6.4237,6.0034,0.081954,0,0.5141,19.941,20.179,2.9127e-07,2.871e-06,6.6596e-08,1.0075,1,2.4e-05,0.0015,2.4e-05,5e-06
5821.3,1.728e-11,1.78,0.74549,0.001982,0.21776,0.0029503,0.047066,0.01378,1733.9,0.15304,0,3.2333e-13,-2.6836e-14,0,16.936,15.828,0.21607,55.611,31.242,0.70949,6.4237,6.0034,0.081954,0,0.5141,19.911,20.179,2.9126e-07,2.7485e-06,6.6582e-08,1.0075,1,2.7e-05,0.0015,2.7e-05,5e-06
5821.2,1.728e-11,1.6945,0.74555,0.0019821,0.21775,0.0029492,0.047067,0.013781,1733.9,0.15305,0,3.5048e-13,-3.3251e-14,0,16.936,15.828,0.21607,55.609,31.241,0.70947,6.4236,6.0034,0.081954,0,0.5141,19.881,20.179,2.9126e-07,2.6259e-06,6.6568e-08,1.0075,1,3e-05,0.0015,3e-05,5e-06
5821,1.728e-11,1.6222,0.74562,0.0019822,0.21775,0.0029478,0.047069,0.013782,1733.9,0.15307,0,3.7581e-13,-4.2144e-14,0,16.936,15.828,0.21607,55.608,31.24,0.70945,6.4236,6.0034,0.081953,0,0.51409,19.852,20.179,2.9126e-07,2.5184e-06,6.6551e-08,1.0075,1,3.3e-05,0.0015,3.3e-05,5e-06
5820.9,1.728e-11,1.55,0.74569,0.0019823,0.21774,0.0029464,0.047071,0.013783,1733.8,0.15309,0,4.0114e-13,-5.1037e-14,0,16.936,15.828,0.21607,55.606,31.239,0.70943,6.4236,6.0033,0.081953,0,0.51409,19.822,20.179,2.9126e-07,2.4108e-06,6.6534e-08,1.0075,1,3.6e-05,0.0015,3.6e-05,5e-06
5820.7,1.728e-11,1.4828,0.74577,0.0019824,0.21774,0.0029449,0.047072,0.013784,1733.8,0.1531,0,4.2609e-13,-6.1206e-14,0,16.936,15.828,0.21607,55.605,31.239,0.70941,6.4235,6.0033,0.081952,0,0.51409,19.792,20.178,2.9126e-07,2.3092e-06,6.6516e-08,1.0074,1,3.9e-05,0.0015,3.9e-05,5e-06
