"ALambda_0","D_X","E850","SAC","SH2","SI","SIC","SIN","SIP","SLambda_0","SS","Su","U:0","U:1","U:2","XI","XI_VS","XI_alpha","XPB","XPB_VS","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","alphas","p","p_rgh","sourceXI_alpha","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6175.6,1.728e-11,3,0.74727,0.00096458,0.20938,0.0026123,0.046929,0.01374,1684.7,0.16834,0,1.3429e-13,-5.3247e-15,0,13.609,12.719,0.17363,58.995,33.144,0.75267,6.1055,5.7061,0.077895,0,0.42515,20.282,20.282,2.7679e-07,4.5486e-06,1.4497e-07,1.0042,1,0,0.0015,0,5e-06
6175.6,1.728e-11,2.8019,0.74728,0.0009646,0.20938,0.0026121,0.04693,0.01374,1684.7,0.16834,0,1.639e-13,-1.9237e-14,0,13.609,12.719,0.17363,58.995,33.143,0.75267,6.1055,5.7061,0.077895,0,0.42515,20.252,20.282,2.7679e-07,4.2949e-06,1.4497e-07,1.0042,1,3e-06,0.0015,3e-06,5e-06
6175.6,1.728e-11,2.6037,0.74729,0.00096462,0.20938,0.0026119,0.04693,0.01374,1684.7,0.16835,0,1.9351e-13,-3.315e-14,0,13.609,12.719,0.17363,58.995,33.143,0.75267,6.1055,5.7061,0.077895,0,0.42515,20.222,20.282,2.7679e-07,4.0412e-06,1.4497e-07,1.0042,1,6e-06,0.0015,6e-06,5e-06
6175.5,1.728e-11,2.4336,0.74731,0.00096466,0.20938,0.0026115,0.04693,0.01374,1684.7,0.16835,0,2.3137e-13,-6.03e-14,0,13.609,12.719,0.17363,58.995,33.143,0.75266,6.1055,5.7061,0.077895,0,0.42515,20.192,20.281,2.7679e-07,3.8174e-06,1.4496e-07,1.0042,1,9e-06,0.0015,9e-06,5e-06
6175.5,1.728e-11,2.2914,0.74734,0.00096471,0.20938,0.002611,0.046931,0.013741,1684.7,0.16836,0,2.7746e-13,-1.0069e-13,0,13.609,12.719,0.17363,58.994,33.143,0.75265,6.1055,5.7061,0.077894,0,0.42515,20.162,20.281,2.7679e-07,3.6236e-06,1.4496e-07,1.0042,1,1.2e-05,0.0015,1.2e-05,5e-06
6175.4,1.728e-11,2.1493,0.74737,0.00096476,0.20938,0.0026104,0.046932,0.013741,1684.7,0.16836,0,3.2356e-13,-1.4107e-13,0,13.609,12.719,0.17363,58.993,33.142,0.75265,6.1055,5.706,0.077894,0,0.42514,20.132,20.28,2.7678e-07,3.4297e-06,1.4495e-07,1.0042,1,1.5e-05,0.0015,1.5e-05,5e-06
6175.3,1.728e-11,2.042,0.74742,0.00096483,0.20938,0.0026095,0.046933,0.013742,1684.7,0.16837,0,3.5189e-13,-2.0547e-13,0,13.609,12.719,0.17362,58.992,33.142,0.75263,6.1054,5.706,0.077894,0,0.42514,20.101,20.28,2.7678e-07,3.2744e-06,1.4494e-07,1.0042,1,1.8e-05,0.0015,1.8e-05,5e-06
6175.2,1.728e-11,1.9346,0.74747,0.0009649,0.20937,0.0026086,0.046934,0.013742,1684.7,0.16839,0,3.8022e-13,-2.6987e-13,0,13.609,12.719,0.17362,58.992,33.141,0.75262,6.1054,5.706,0.077894,0,0.42514,20.071,20.279,2.7678e-07,3.1192e-06,1.4493e-07,1.0041,1,2.1e-05,0.0015,2.1e-05,5e-06
6175.1,1.728e-11,1.8375,0.74752,0.00096497,0.20937,0.0026076,0.046935,0.013743,1684.6,0.1684,0,4.0462e-13,-3.4498e-13,0,13.609,12.718,0.17362,58.99,33.141,0.75261,6.1054,5.706,0.077893,0,0.42514,20.041,20.279,2.7678e-07,2.9757e-06,1.4492e-07,1.0041,1,2.4e-05,0.0015,2.4e-05,5e-06
6175,1.728e-11,1.7507,0.74758,0.00096504,0.20937,0.0026064,0.046936,0.013744,1684.6,0.16841,0,4.251e-13,-4.3082e-13,0,13.609,12.718,0.17362,58.989,33.14,0.75259,6.1054,5.7059,0.077893,0,0.42514,20.011,20.278,2.7678e-07,2.8441e-06,1.4491e-07,1.0041,1,2.7e-05,0.0015,2.7e-05,5e-06
6174.8,1.728e-11,1.6639,0.74765,0.00096511,0.20937,0.0026052,0.046938,0.013745,1684.6,0.16843,0,4.4557e-13,-5.1665e-13,0,13.609,12.718,0.17362,58.988,33.139,0.75258,6.1053,5.7059,0.077892,0,0.42513,19.98,20.278,2.7678e-07,2.7125e-06,1.4489e-07,1.0041,1,3e-05,0.0015,3e-05,5e-06
6174.7,1.728e-11,1.5908,0.74772,0.00096518,0.20936,0.0026038,0.04694,0.013746,1684.5,0.16845,0,4.6428e-13,-6.2167e-13,0,13.609,12.718,0.17362,58.986,33.138,0.75256,6.1053,5.7059,0.077892,0,0.42513,19.95,20.277,2.7678e-07,2.5973e-06,1.4488e-07,1.0041,1,3.3e-05,0.0015,3.3e-05,5e-06
6174.5,1.728e-11,1.5176,0.7478,0.00096524,0.20936,0.0026023,0.046941,0.013747,1684.5,0.16846,0,4.8299e-13,-7.2669e-13,0,13.608,12.718,0.17362,58.985,33.138,0.75254,6.1052,5.7058,0.077891,0,0.42513,19.92,20.277,2.7678e-07,2.4821e-06,1.4486e-07,1.004,1,3.6e-05,0.0015,3.6e-05,5e-06
6174.4,1.728e-11,1.4497,0.74788,0.0009653,0.20935,0.0026007,0.046943,0.013748,1684.5,0.16848,0,5.0285e-13,-8.4078e-13,0,13.608,12.718,0.17362,58.983,33.137,0.75252,6.1052,5.7058,0.077891,0,0.42513,19.89,20.276,2.7677e-07,2.3734e-06,1.4485e-07,1.004,1,3.9e-05,0.0015,3.9e-05,5e-06
6174.2,1.728e-11,1.3869,0.74797,0.00096535,0.20935,0.0025991,0.046945,0.013749,1684.4,0.16851,0,5.2386e-13,-9.6394e-13,0,13.608,12.718,0.17362,58.982,33.136,0.7525,6.1051,5.7057,0.07789,0,0.42512,19.86,20.276,2.7677e-07,2.2711e-06,1.4483e-07,1.004,1,4.2e-05,0.0015,4.2e-05,5e-06
6174,1.728e-11,1.3241,0.74806,0.0009654,0.20934,0.0025974,0.046947,0.01375,1684.4,0.16853,0,5.4488e-13,-1.0871e-12,0,13.608,12.718,0.17361,58.98,33.135,0.75247,6.1051,5.7057,0.07789,0,0.42512,19.829,20.275,2.7677e-07,2.1688e-06,1.4481e-07,1.004,1,4.5e-05,0.0015,4.5e-05,5e-06
6173.8,1.728e-11,1.2696,0.74816,0.00096542,0.20933,0.0025954,0.046949,0.013751,1684.4,0.16855,0,5.7304e-13,-1.2281e-12,0,13.608,12.718,0.17361,58.978,33.134,0.75245,6.105,5.7056,0.077889,0,0.42511,19.799,20.275,2.7677e-07,2.0774e-06,1.4479e-07,1.004,1,4.8e-05,0.0015,4.8e-05,5e-06
6173.6,1.728e-11,1.2151,0.74826,0.00096545,0.20933,0.0025935,0.046952,0.013753,1684.3,0.16858,0,6.012e-13,-1.3691e-12,0,13.608,12.718,0.17361,58.976,33.133,0.75242,6.105,5.7056,0.077888,0,0.42511,19.769,20.274,2.7677e-07,1.9859e-06,1.4477e-07,1.0039,1,5.1e-05,0.0015,5.1e-05,5e-06
6173.4,1.728e-11,1.164,0.74836,0.00096546,0.20932,0.0025915,0.046954,0.013754,1684.3,0.16861,0,6.3462e-13,-1.5193e-12,0,13.608,12.717,0.17361,58.974,33.131,0.7524,6.1049,5.7055,0.077887,0,0.4251,19.739,20.274,2.7676e-07,1.8991e-06,1.4475e-07,1.0039,1,5.4e-05,0.0015,5.4e-05,5e-06
6173.2,1.728e-11,1.1163,0.74847,0.00096545,0.20931,0.0025894,0.046956,0.013755,1684.2,0.16863,0,6.7329e-13,-1.6786e-12,0,13.608,12.717,0.17361,58.972,33.13,0.75237,6.1048,5.7054,0.077886,0,0.4251,19.709,20.273,2.7676e-07,1.817e-06,1.4473e-07,1.0039,1,5.7e-05,0.0015,5.7e-05,5e-06
