"D_X","E850","SH2","SI","SIC","SIN","SIP","SLambda_0","Su","U:0","U:1","U:2","XI","XI_VS","XI_alpha","XPB","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","alphas","p_rgh","sourceXI_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.728e-11,1.2782,0.0012902,0.21202,0.0027278,0.046959,0.013751,1696.9,0,1.9391e-12,3.2623e-13,0,14.286,13.352,0.18226,58.12,0.7415,6.3545,5.9388,0.081071,0,0.4456,20.229,2.8812e-07,1.072e-07,1.0048,1,4.8e-05,0.0015,4.8e-05,5e-06
1.728e-11,1.2238,0.0012902,0.21201,0.0027259,0.046961,0.013752,1696.9,0,2.0714e-12,3.6122e-13,0,14.286,13.351,0.18226,58.118,0.74148,6.3544,5.9387,0.08107,0,0.44559,20.229,2.8811e-07,1.0718e-07,1.0048,1,5.1e-05,0.0015,5.1e-05,5e-06
1.728e-11,1.1727,0.0012902,0.21201,0.0027239,0.046964,0.013754,1696.9,0,2.1997e-12,3.9819e-13,0,14.286,13.351,0.18226,58.116,0.74145,6.3543,5.9386,0.08107,0,0.44559,20.229,2.8811e-07,1.0716e-07,1.0048,1,5.4e-05,0.0015,5.4e-05,5e-06
1.728e-11,1.125,0.0012902,0.212,0.0027218,0.046966,0.013755,1696.8,0,2.3241e-12,4.3713e-13,0,14.286,13.351,0.18226,58.113,0.74142,6.3543,5.9386,0.081069,0,0.44558,20.229,2.8811e-07,1.0714e-07,1.0047,1,5.7e-05,0.0015,5.7e-05,5e-06
1.728e-11,1.0773,0.0012902,0.21199,0.0027197,0.046969,0.013757,1696.8,0,2.4484e-12,4.7608e-13,0,14.285,13.351,0.18226,58.111,0.74139,6.3542,5.9385,0.081067,0,0.44558,20.229,2.881e-07,1.0712e-07,1.0047,1,6e-05,0.0015,6e-05,5e-06
1.728e-11,1.0353,0.0012902,0.21198,0.0027174,0.046971,0.013758,1696.7,0,2.5632e-12,5.1945e-13,0,14.285,13.351,0.18225,58.109,0.74136,6.3541,5.9384,0.081066,0,0.44557,20.229,2.881e-07,1.0709e-07,1.0047,1,6.3e-05,0.0015,6.3e-05,5e-06
1.728e-11,0.9932,0.0012901,0.21197,0.0027151,0.046974,0.01376,1696.6,0,2.678e-12,5.6283e-13,0,14.285,13.35,0.18225,58.106,0.74132,6.354,5.9383,0.081065,0,0.44557,20.229,2.881e-07,1.0707e-07,1.0046,1,6.6e-05,0.0015,6.6e-05,5e-06
1.728e-11,0.95354,0.0012901,0.21196,0.0027127,0.046977,0.013761,1696.6,0,2.787e-12,6.0871e-13,0,14.285,13.35,0.18225,58.103,0.74129,6.3539,5.9382,0.081064,0,0.44556,20.229,2.8809e-07,1.0704e-07,1.0046,1,6.9e-05,0.0015,6.9e-05,5e-06
1.728e-11,0.91626,0.00129,0.21195,0.0027103,0.04698,0.013763,1696.5,0,2.8903e-12,6.5708e-13,0,14.285,13.35,0.18224,58.101,0.74126,6.3538,5.9381,0.081063,0,0.44555,20.229,2.8809e-07,1.0702e-07,1.0046,1,7.2e-05,0.0015,7.2e-05,5e-06
1.728e-11,0.87899,0.0012899,0.21194,0.0027078,0.046982,0.013764,1696.5,0,2.9935e-12,7.0546e-13,0,14.284,13.35,0.18224,58.098,0.74122,6.3537,5.938,0.081061,0,0.44554,20.229,2.8808e-07,1.0699e-07,1.0045,1,7.5e-05,0.0015,7.5e-05,5e-06
1.728e-11,0.84582,0.0012898,0.21193,0.0027052,0.046985,0.013766,1696.4,0,3.0841e-12,7.5976e-13,0,14.284,13.35,0.18224,58.095,0.74119,6.3536,5.9379,0.08106,0,0.44554,20.229,2.8808e-07,1.0697e-07,1.0045,1,7.8e-05,0.0015,7.8e-05,5e-06
1.728e-11,0.81264,0.0012897,0.21192,0.0027026,0.046988,0.013768,1696.3,0,3.1746e-12,8.1407e-13,0,14.284,13.349,0.18224,58.092,0.74115,6.3535,5.9378,0.081058,0,0.44553,20.229,2.8808e-07,1.0694e-07,1.0044,1,8.1e-05,0.0015,8.1e-05,5e-06
1.728e-11,0.78124,0.0012895,0.21191,0.0026999,0.046992,0.013769,1696.3,0,3.2579e-12,8.7184e-13,0,14.284,13.349,0.18223,58.089,0.74111,6.3533,5.9377,0.081057,0,0.44552,20.229,2.8807e-07,1.0692e-07,1.0044,1,8.4e-05,0.0015,8.4e-05,5e-06
1.728e-11,0.75161,0.0012893,0.2119,0.0026972,0.046995,0.013771,1696.2,0,3.3339e-12,9.3306e-13,0,14.283,13.349,0.18223,58.086,0.74107,6.3532,5.9376,0.081055,0,0.44551,20.229,2.8807e-07,1.0689e-07,1.0044,1,8.7e-05,0.0015,8.7e-05,5e-06
1.728e-11,0.72198,0.0012891,0.21189,0.0026944,0.046998,0.013773,1696.1,0,3.41e-12,9.9429e-13,0,14.283,13.349,0.18222,58.083,0.74103,6.3531,5.9375,0.081054,0,0.4455,20.229,2.8806e-07,1.0686e-07,1.0043,1,9e-05,0.0015,9e-05,5e-06
1.728e-11,0.69543,0.0012889,0.21187,0.0026915,0.047001,0.013775,1696.1,0,3.4704e-12,1.0639e-12,0,14.283,13.348,0.18222,58.08,0.74099,6.353,5.9373,0.081052,0,0.44549,20.229,2.8806e-07,1.0684e-07,1.0043,1,9.3e-05,0.0015,9.3e-05,5e-06
1.728e-11,0.66889,0.0012887,0.21186,0.0026886,0.047004,0.013777,1696,0,3.5308e-12,1.1334e-12,0,14.282,13.348,0.18222,58.077,0.74095,6.3528,5.9372,0.08105,0,0.44548,20.229,2.8805e-07,1.0681e-07,1.0042,1,9.6e-05,0.0015,9.6e-05,5e-06
1.728e-11,0.6437,0.0012884,0.21185,0.0026857,0.047008,0.013779,1695.9,0,3.5825e-12,1.2079e-12,0,14.282,13.348,0.18221,58.074,0.74091,6.3527,5.9371,0.081048,0,0.44547,20.229,2.8805e-07,1.0678e-07,1.0042,1,9.9e-05,0.0015,9.9e-05,5e-06
1.728e-11,0.61986,0.0012881,0.21183,0.0026827,0.047011,0.013781,1695.8,0,3.6254e-12,1.2874e-12,0,14.282,13.347,0.18221,58.07,0.74087,6.3525,5.9369,0.081046,0,0.44546,20.229,2.8804e-07,1.0675e-07,1.0041,1,0.000102,0.0015,0.000102,5e-06
1.728e-11,0.59602,0.0012878,0.21182,0.0026796,0.047015,0.013783,1695.8,0,3.6683e-12,1.3668e-12,0,14.281,13.347,0.1822,58.067,0.74083,6.3524,5.9368,0.081044,0,0.44545,20.229,2.8803e-07,1.0673e-07,1.0041,1,0.000105,0.0015,0.000105,5e-06
1.728e-11,0.57457,0.0012874,0.2118,0.0026765,0.047018,0.013785,1695.7,0,3.6925e-12,1.4581e-12,0,14.281,13.347,0.1822,58.064,0.74078,6.3522,5.9366,0.081042,0,0.44544,20.228,2.8803e-07,1.067e-07,1.004,1,0.000108,0.0015,0.000108,5e-06
1.728e-11,0.55311,0.001287,0.21179,0.0026734,0.047022,0.013787,1695.6,0,3.7167e-12,1.5495e-12,0,14.281,13.346,0.18219,58.06,0.74074,6.352,5.9365,0.08104,0,0.44543,20.228,2.8802e-07,1.0667e-07,1.004,1,0.000111,0.0015,0.000111,5e-06
1.728e-11,0.53272,0.0012866,0.21177,0.0026702,0.047025,0.013789,1695.5,0,3.7304e-12,1.6479e-12,0,14.28,13.346,0.18219,58.057,0.7407,6.3519,5.9363,0.081038,0,0.44542,20.228,2.8801e-07,1.0664e-07,1.0039,1,0.000114,0.0015,0.000114,5e-06
1.728e-11,0.51337,0.0012862,0.21175,0.002667,0.047029,0.013791,1695.4,0,3.7337e-12,1.7534e-12,0,14.28,13.346,0.18219,58.053,0.74065,6.3517,5.9362,0.081036,0,0.44541,20.228,2.8801e-07,1.0661e-07,1.0039,1,0.000117,0.0015,0.000117,5e-06
1.728e-11,0.49403,0.0012857,0.21174,0.0026638,0.047033,0.013793,1695.4,0,3.737e-12,1.8588e-12,0,14.28,13.345,0.18218,58.05,0.7406,6.3515,5.936,0.081033,0,0.44539,20.228,2.88e-07,1.0659e-07,1.0038,1,0.00012,0.0015,0.00012,5e-06
1.728e-11,0.47655,0.0012852,0.21172,0.0026604,0.047036,0.013795,1695.3,0,3.7179e-12,1.9814e-12,0,14.279,13.345,0.18217,58.046,0.74056,6.3513,5.9358,0.081031,0,0.44538,20.227,2.8799e-07,1.0656e-07,1.0038,1,0.000123,0.0015,0.000123,5e-06
1.728e-11,0.45908,0.0012847,0.2117,0.0026571,0.04704,0.013797,1695.2,0,3.6989e-12,2.104e-12,0,14.279,13.345,0.18217,58.042,0.74051,6.3511,5.9356,0.081029,0,0.44537,20.227,2.8799e-07,1.0653e-07,1.0037,1,0.000126,0.0015,0.000126,5e-06
1.728e-11,0.44244,0.0012841,0.21168,0.0026537,0.047044,0.013799,1695.1,0,3.6674e-12,2.2368e-12,0,14.278,13.344,0.18216,58.039,0.74046,6.3509,5.9355,0.081026,0,0.44535,20.227,2.8798e-07,1.065e-07,1.0037,1,0.000129,0.0015,0.000129,5e-06
1.728e-11,0.42664,0.0012835,0.21167,0.0026503,0.047048,0.013801,1695,0,3.6234e-12,2.3798e-12,0,14.278,13.344,0.18216,58.035,0.74041,6.3507,5.9353,0.081023,0,0.44534,20.226,2.8797e-07,1.0647e-07,1.0036,1,0.000132,0.0015,0.000132,5e-06
1.728e-11,0.41083,0.001283,0.21165,0.0026469,0.047051,0.013803,1694.9,0,3.5794e-12,2.5228e-12,0,14.277,13.343,0.18215,58.031,0.74037,6.3505,5.9351,0.081021,0,0.44532,20.226,2.8796e-07,1.0645e-07,1.0035,1,0.000135,0.0015,0.000135,5e-06
1.728e-11,0.39652,0.0012823,0.21163,0.0026434,0.047055,0.013806,1694.8,0,3.5087e-12,2.6906e-12,0,14.277,13.343,0.18215,58.027,0.74032,6.3503,5.9349,0.081018,0,0.44531,20.226,2.8796e-07,1.0642e-07,1.0035,1,0.000138,0.0015,0.000138,5e-06
1.728e-11,0.38221,0.0012816,0.21161,0.0026399,0.047059,0.013808,1694.7,0,3.4381e-12,2.8584e-12,0,14.276,13.342,0.18214,58.023,0.74027,6.3501,5.9347,0.081015,0,0.44529,20.225,2.8795e-07,1.0639e-07,1.0034,1,0.000141,0.0015,0.000141,5e-06
1.728e-11,0.36856,0.0012809,0.21159,0.0026364,0.047063,0.01381,1694.6,0,3.3526e-12,3.041e-12,0,14.276,13.342,0.18213,58.019,0.74022,6.3499,5.9344,0.081012,0,0.44528,20.225,2.8794e-07,1.0636e-07,1.0034,1,0.000144,0.0015,0.000144,5e-06
