"ALambda_0","D_X","E850","SAC","SH2","SI","SIC","SIN","SIP","SLambda_0","SS","Su","U:0","U:1","U:2","XI","XI_VS","XI_alpha","XPB","XPB_VS","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","alphas","p","p_rgh","sourceXI_alpha","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6300.2,1.728e-11,3,0.75093,0.00032979,0.20332,0.0022333,0.047051,0.013791,1667,0.17642,0,-7.2589e-13,1.6784e-14,0,14.833,13.862,0.18924,60.185,33.812,0.76785,3.585,3.3505,0.045738,0,0.42421,20.138,20.138,1.6221e-07,4.6104e-06,4.2543e-07,1.0028,1,0,0.0015,0,5e-06
6300.1,1.728e-11,2.7999,0.75094,0.00032981,0.20332,0.0022331,0.047051,0.013792,1667,0.17642,0,-9.5706e-13,6.0253e-14,0,14.833,13.862,0.18924,60.185,33.812,0.76785,3.585,3.3505,0.045738,0,0.42421,20.109,20.139,1.6221e-07,4.3504e-06,4.2543e-07,1.0028,1,3e-06,0.0015,3e-06,5e-06
6300.1,1.728e-11,2.5998,0.75095,0.00032983,0.20332,0.0022329,0.047051,0.013792,1667,0.17642,0,-1.1882e-12,1.0372e-13,0,14.833,13.862,0.18923,60.185,33.812,0.76784,3.585,3.3505,0.045738,0,0.42421,20.08,20.14,1.6221e-07,4.0904e-06,4.2543e-07,1.0028,1,6e-06,0.0015,6e-06,5e-06
6300.1,1.728e-11,2.4281,0.75097,0.00032988,0.20331,0.0022325,0.047052,0.013792,1667,0.17643,0,-1.5127e-12,1.8774e-13,0,14.832,13.862,0.18923,60.184,33.811,0.76784,3.585,3.3504,0.045738,0,0.42421,20.052,20.141,1.6221e-07,3.8613e-06,4.2542e-07,1.0028,1,9e-06,0.0015,9e-06,5e-06
6300,1.728e-11,2.2848,0.751,0.00032994,0.20331,0.002232,0.047052,0.013792,1666.9,0.17643,0,-1.9305e-12,3.1231e-13,0,14.832,13.862,0.18923,60.183,33.811,0.76783,3.585,3.3504,0.045737,0,0.4242,20.024,20.143,1.622e-07,3.6629e-06,4.2542e-07,1.0028,1,1.2e-05,0.0015,1.2e-05,5e-06
6299.9,1.728e-11,2.1416,0.75103,0.00033,0.20331,0.0022314,0.047053,0.013793,1666.9,0.17644,0,-2.3482e-12,4.3687e-13,0,14.832,13.862,0.18923,60.183,33.811,0.76782,3.5849,3.3504,0.045737,0,0.4242,19.996,20.144,1.622e-07,3.4645e-06,4.2541e-07,1.0028,1,1.5e-05,0.0015,1.5e-05,5e-06
6299.8,1.728e-11,2.0335,0.75108,0.00033008,0.20331,0.0022305,0.047054,0.013793,1666.9,0.17645,0,-2.6819e-12,6.3212e-13,0,14.832,13.862,0.18923,60.182,33.81,0.76781,3.5849,3.3504,0.045737,0,0.4242,19.967,20.146,1.622e-07,3.3058e-06,4.254e-07,1.0028,1,1.8e-05,0.0015,1.8e-05,5e-06
6299.7,1.728e-11,1.9255,0.75113,0.00033017,0.20331,0.0022296,0.047055,0.013794,1666.9,0.17646,0,-3.0156e-12,8.2736e-13,0,14.832,13.862,0.18923,60.181,33.809,0.76779,3.5849,3.3504,0.045736,0,0.4242,19.939,20.147,1.622e-07,3.1471e-06,4.2539e-07,1.0028,1,2.1e-05,0.0015,2.1e-05,5e-06
6299.6,1.728e-11,1.8279,0.75119,0.00033026,0.20331,0.0022286,0.047057,0.013795,1666.8,0.17648,0,-3.3094e-12,1.053e-12,0,14.832,13.862,0.18923,60.179,33.809,0.76778,3.5849,3.3503,0.045736,0,0.42419,19.91,20.148,1.622e-07,3.0005e-06,4.2538e-07,1.0027,1,2.4e-05,0.0015,2.4e-05,5e-06
6299.4,1.728e-11,1.7406,0.75125,0.00033036,0.20331,0.0022274,0.047058,0.013796,1666.8,0.17649,0,-3.5633e-12,1.309e-12,0,14.832,13.861,0.18923,60.178,33.808,0.76776,3.5848,3.3503,0.045735,0,0.42419,19.882,20.149,1.622e-07,2.8661e-06,4.2537e-07,1.0027,1,2.7e-05,0.0015,2.7e-05,5e-06
