"ALambda_0","D_X","E850","SAC","SH2","SI","SIC","SIN","SIP","SLambda_0","SS","Su","U:0","U:1","U:2","XI","XI_VS","XI_alpha","XPB","XPB_VS","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","alphas","appXPB","p","p_rgh","sourceXI_alpha","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6672.7,1.6e-10,30,0.098723,0.00087212,0.28904,0.016929,0.03013,0.0051162,1663.2,0.0027739,0,8.8152e-14,-2.8502e-16,0,9.241,8.6365,0.1179,63.744,35.811,0.81325,6.9142,6.4618,0.088212,0,0.32401,1.1635,21.711,21.711,3.135e-07,1.3466e-05,1.2335e-07,1.0194,1,0,0.0015,0,5e-06
6672.7,1.6e-10,27.932,0.098761,0.00087214,0.28904,0.016929,0.030131,0.0051166,1663.2,0.0027753,0,1.2966e-13,-8.0915e-16,0,9.241,8.6365,0.1179,63.744,35.811,0.81325,6.9142,6.4618,0.088212,0,0.32401,1.1413,21.681,21.711,3.135e-07,1.3209e-05,1.2335e-07,1.0194,1,3e-06,0.0015,3e-06,5e-06
6672.7,1.6e-10,25.864,0.098799,0.00087216,0.28904,0.016928,0.030131,0.0051171,1663.2,0.0027768,0,1.7116e-13,-1.3333e-15,0,9.241,8.6365,0.1179,63.744,35.811,0.81325,6.9142,6.4618,0.088212,0,0.32401,1.1191,21.651,21.711,3.135e-07,1.2952e-05,1.2335e-07,1.0194,1,6e-06,0.0015,6e-06,5e-06
6672.7,1.6e-10,24.095,0.098875,0.0008722,0.28904,0.016927,0.030133,0.0051179,1663.2,0.0027796,0,2.4031e-13,-2.3046e-15,0,9.241,8.6365,0.1179,63.744,35.811,0.81325,6.9141,6.4618,0.088212,0,0.32401,1.0982,21.622,21.711,3.135e-07,1.2711e-05,1.2335e-07,1.0194,1,9e-06,0.0015,9e-06,5e-06
6672.6,1.6e-10,22.624,0.098987,0.00087227,0.28904,0.016924,0.030135,0.0051191,1663.2,0.0027839,0,3.3709e-13,-3.723e-15,0,9.241,8.6365,0.1179,63.743,35.811,0.81325,6.9141,6.4618,0.088212,0,0.32401,1.0786,21.592,21.711,3.135e-07,1.2484e-05,1.2334e-07,1.0194,1,1.2e-05,0.0015,1.2e-05,5e-06
6672.6,1.6e-10,21.154,0.0991,0.00087233,0.28904,0.016922,0.030137,0.0051204,1663.2,0.0027882,0,4.3387e-13,-5.1415e-15,0,9.241,8.6364,0.1179,63.743,35.811,0.81324,6.9141,6.4618,0.088212,0,0.32401,1.0591,21.562,21.711,3.135e-07,1.2258e-05,1.2334e-07,1.0194,1,1.5e-05,0.0015,1.5e-05,5e-06
6672.6,1.6e-10,20.05,0.099284,0.00087244,0.28903,0.016919,0.030141,0.0051224,1663.2,0.0027953,0,5.5659e-13,-6.9257e-15,0,9.241,8.6364,0.1179,63.743,35.811,0.81324,6.9141,6.4618,0.088212,0,0.32401,1.041,21.532,21.711,3.135e-07,1.2049e-05,1.2334e-07,1.0193,1,1.8e-05,0.0015,1.8e-05,5e-06
6672.5,1.6e-10,18.947,0.099468,0.00087254,0.28903,0.016915,0.030144,0.0051245,1663.2,0.0028024,0,6.793e-13,-8.7099e-15,0,9.241,8.6364,0.1179,63.742,35.81,0.81323,6.9141,6.4618,0.088211,0,0.32401,1.0229,21.503,21.711,3.135e-07,1.184e-05,1.2333e-07,1.0193,1,2.1e-05,0.0015,2.1e-05,5e-06
6672.5,1.6e-10,17.951,0.099686,0.00087267,0.28903,0.016911,0.030148,0.0051269,1663.2,0.0028109,0,8.098e-13,-1.0643e-14,0,9.241,8.6364,0.1179,63.742,35.81,0.81323,6.9141,6.4618,0.088211,0,0.32401,1.0052,21.473,21.711,3.135e-07,1.1634e-05,1.2332e-07,1.0193,1,2.4e-05,0.0015,2.4e-05,5e-06
6672.4,1.6e-10,17.063,0.099939,0.00087282,0.28902,0.016906,0.030153,0.0051297,1663.2,0.0028208,0,9.4806e-13,-1.2724e-14,0,9.241,8.6364,0.1179,63.741,35.81,0.81322,6.9141,6.4618,0.088211,0,0.32401,0.9878,21.443,21.711,3.135e-07,1.1433e-05,1.2332e-07,1.0193,1,2.7e-05,0.0015,2.7e-05,5e-06
6672.4,1.6e-10,16.175,0.10019,0.00087297,0.28902,0.016901,0.030158,0.0051325,1663.2,0.0028307,0,1.0863e-12,-1.4805e-14,0,9.241,8.6364,0.1179,63.741,35.81,0.81322,6.9141,6.4618,0.088211,0,0.32401,0.9704,21.414,21.711,3.135e-07,1.1231e-05,1.2331e-07,1.0193,1,3e-05,0.0015,3e-05,5e-06
