"ALambda_0","D_X","E850","SAC","SH2","SI","SIC","SIN","SIP","SLambda_0","SS","Su","U:0","U:1","U:2","XI","XI_VS","XI_alpha","XPB","XPB_VS","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","alphas","appXPB","p","p_rgh","sourceXI_alpha","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6679.9,1.728e-11,30,0.675,9.8872e-05,0.20031,0.0046748,0.043637,0.01232,1642.1,0.1749,0,-1.5554e-12,1.9104e-13,0,14.252,13.32,0.18183,63.813,35.85,0.81414,1.1699,1.0934,0.014926,0,0.37859,1.2896,44.237,44.237,5.2891e-08,1.4926e-05,7.2591e-07,1.0109,1,0,0.0015,0,5e-06
6679.9,1.728e-11,27.94,0.67503,9.8857e-05,0.20031,0.0046742,0.043638,0.012321,1642.1,0.1749,0,-2.185e-12,6.3385e-13,0,14.252,13.32,0.18183,63.813,35.85,0.81413,1.1699,1.0934,0.014926,0,0.37859,1.2653,44.215,44.244,5.2891e-08,1.4644e-05,7.259e-07,1.0109,1,3e-06,0.0015,3e-06,5e-06
6679.8,1.728e-11,25.881,0.67505,9.8842e-05,0.20031,0.0046737,0.043638,0.012321,1642.1,0.17491,0,-2.8146e-12,1.0767e-12,0,14.252,13.32,0.18183,63.812,35.849,0.81412,1.1699,1.0934,0.014926,0,0.37859,1.2409,44.193,44.252,5.2891e-08,1.4362e-05,7.2589e-07,1.0109,1,6e-06,0.0015,6e-06,5e-06
6679.7,1.728e-11,24.123,0.6751,9.8812e-05,0.20031,0.0046726,0.043639,0.012322,1642.1,0.17491,0,-3.7339e-12,1.924e-12,0,14.252,13.32,0.18183,63.811,35.849,0.81411,1.1699,1.0933,0.014926,0,0.37859,1.218,44.175,44.264,5.289e-08,1.4097e-05,7.2588e-07,1.0109,1,9e-06,0.0015,9e-06,5e-06
6679.6,1.728e-11,22.667,0.67518,9.8767e-05,0.20031,0.004671,0.043641,0.012323,1642,0.17493,0,-4.9427e-12,3.1757e-12,0,14.252,13.32,0.18183,63.81,35.848,0.81409,1.1699,1.0933,0.014925,0,0.37858,1.1965,44.16,44.279,5.289e-08,1.3848e-05,7.2586e-07,1.0108,1,1.2e-05,0.0015,1.2e-05,5e-06
6679.4,1.728e-11,21.211,0.67526,9.8722e-05,0.20031,0.0046694,0.043643,0.012324,1642,0.17494,0,-6.1515e-12,4.4275e-12,0,14.252,13.32,0.18183,63.808,35.847,0.81407,1.1699,1.0933,0.014925,0,0.37858,1.175,44.146,44.294,5.289e-08,1.36e-05,7.2584e-07,1.0108,1,1.5e-05,0.0015,1.5e-05,5e-06
6679.1,1.728e-11,20.122,0.67539,9.8647e-05,0.20031,0.0046667,0.043646,0.012325,1641.9,0.17496,0,-7.2491e-12,6.3668e-12,0,14.252,13.319,0.18183,63.806,35.846,0.81404,1.1699,1.0933,0.014925,0,0.37858,1.1551,44.128,44.307,5.2889e-08,1.337e-05,7.2581e-07,1.0108,1,1.8e-05,0.0015,1.8e-05,5e-06
6678.9,1.728e-11,19.034,0.67552,9.8572e-05,0.20031,0.0046641,0.043649,0.012327,1641.9,0.17497,0,-8.3467e-12,8.306e-12,0,14.252,13.319,0.18182,63.803,35.844,0.81401,1.1698,1.0933,0.014925,0,0.37857,1.1352,44.111,44.32,5.2888e-08,1.3139e-05,7.2578e-07,1.0108,1,2.1e-05,0.0015,2.1e-05,5e-06
6678.6,1.728e-11,18.05,0.67567,9.8482e-05,0.20031,0.004661,0.043652,0.012329,1641.8,0.175,0,-9.387e-12,1.0539e-11,0,14.251,13.319,0.18182,63.8,35.843,0.81397,1.1698,1.0933,0.014925,0,0.37857,1.1157,44.093,44.33,5.2888e-08,1.2913e-05,7.2574e-07,1.0107,1,2.4e-05,0.0015,2.4e-05,5e-06
6678.2,1.728e-11,17.173,0.67584,9.8377e-05,0.20031,0.0046575,0.043656,0.012331,1641.8,0.17502,0,-1.037e-11,1.3066e-11,0,14.251,13.319,0.18182,63.797,35.841,0.81393,1.1698,1.0933,0.014924,0,0.37856,1.0965,44.072,44.339,5.2887e-08,1.2691e-05,7.257e-07,1.0107,1,2.7e-05,0.0015,2.7e-05,5e-06
6677.9,1.728e-11,16.296,0.67602,9.8272e-05,0.20031,0.0046539,0.04366,0.012333,1641.7,0.17505,0,-1.1353e-11,1.5592e-11,0,14.251,13.319,0.18182,63.793,35.839,0.81389,1.1698,1.0933,0.014924,0,0.37856,1.0772,44.051,44.349,5.2886e-08,1.2468e-05,7.2566e-07,1.0106,1,3e-05,0.0015,3e-05,5e-06
6677.5,1.728e-11,15.56,0.67624,9.8137e-05,0.20031,0.0046495,0.043665,0.012336,1641.6,0.17508,0,-1.2233e-11,1.8618e-11,0,14.251,13.318,0.18181,63.789,35.837,0.81383,1.1698,1.0932,0.014924,0,0.37855,1.0583,44.028,44.355,5.2885e-08,1.2249e-05,7.2561e-07,1.0106,1,3.3e-05,0.0015,3.3e-05,5e-06
6677,1.728e-11,14.824,0.67645,9.8002e-05,0.20031,0.004645,0.04367,0.012339,1641.5,0.17511,0,-1.3112e-11,2.1643e-11,0,14.25,13.318,0.18181,63.785,35.834,0.81378,1.1697,1.0932,0.014924,0,0.37854,1.0394,44.004,44.361,5.2884e-08,1.203e-05,7.2555e-07,1.0105,1,3.6e-05,0.0015,3.6e-05,5e-06
6676.5,1.728e-11,14.142,0.67669,9.7852e-05,0.20031,0.0046402,0.043675,0.012342,1641.4,0.17515,0,-1.3939e-11,2.4889e-11,0,14.25,13.318,0.1818,63.781,35.832,0.81372,1.1697,1.0932,0.014923,0,0.37853,1.0205,43.979,44.366,5.2882e-08,1.1811e-05,7.2549e-07,1.0104,1,3.9e-05,0.0015,3.9e-05,5e-06
6676,1.728e-11,13.512,0.67695,9.7686e-05,0.20031,0.0046349,0.043681,0.012345,1641.3,0.17519,0,-1.4714e-11,2.8356e-11,0,14.25,13.317,0.1818,63.776,35.829,0.81366,1.1697,1.0932,0.014923,0,0.37852,1.0017,43.953,44.369,5.2881e-08,1.1594e-05,7.2543e-07,1.0104,1,4.2e-05,0.0015,4.2e-05,5e-06
6675.5,1.728e-11,12.883,0.67721,9.7521e-05,0.20031,0.0046296,0.043687,0.012349,1641.2,0.17523,0,-1.5489e-11,3.1823e-11,0,14.249,13.317,0.18179,63.771,35.826,0.81359,1.1696,1.0931,0.014922,0,0.37851,0.98295,43.927,44.373,5.288e-08,1.1377e-05,7.2537e-07,1.0103,1,4.5e-05,0.0015,4.5e-05,5e-06
6674.9,1.728e-11,12.336,0.67751,9.7326e-05,0.20031,0.0046235,0.043694,0.012353,1641.1,0.17527,0,-1.6152e-11,3.5685e-11,0,14.249,13.317,0.18179,63.765,35.823,0.81352,1.1696,1.0931,0.014922,0,0.3785,0.96428,43.898,44.374,5.2878e-08,1.1161e-05,7.253e-07,1.0102,1,4.8e-05,0.0015,4.8e-05,5e-06
6674.3,1.728e-11,11.789,0.6778,9.713e-05,0.20031,0.0046174,0.0437,0.012356,1641,0.17531,0,-1.6816e-11,3.9547e-11,0,14.248,13.316,0.18178,63.759,35.82,0.81345,1.1696,1.0931,0.014921,0,0.37849,0.94561,43.87,44.375,5.2876e-08,1.0945e-05,7.2523e-07,1.0102,1,5.1e-05,0.0015,5.1e-05,5e-06
6673.7,1.728e-11,11.277,0.67812,9.692e-05,0.2003,0.004611,0.043708,0.01236,1640.9,0.17536,0,-1.7421e-11,4.3586e-11,0,14.248,13.316,0.18178,63.753,35.816,0.81337,1.1695,1.093,0.014921,0,0.37848,0.92701,43.84,44.375,5.2875e-08,1.0729e-05,7.2515e-07,1.0101,1,5.4e-05,0.0015,5.4e-05,5e-06
6673,1.728e-11,10.799,0.67845,9.6694e-05,0.2003,0.0046042,0.043715,0.012365,1640.7,0.17541,0,-1.7969e-11,4.7803e-11,0,14.247,13.315,0.18177,63.747,35.813,0.81329,1.1695,1.093,0.01492,0,0.37846,0.90849,43.808,44.373,5.2873e-08,1.0515e-05,7.2507e-07,1.01,1,5.7e-05,0.0015,5.7e-05,5e-06
6672.3,1.728e-11,10.321,0.67878,9.6469e-05,0.2003,0.0045974,0.043723,0.012369,1640.6,0.17546,0,-1.8517e-11,5.2019e-11,0,14.247,13.315,0.18177,63.741,35.809,0.81321,1.1694,1.0929,0.01492,0,0.37845,0.88997,43.777,44.372,5.2871e-08,1.0301e-05,7.2499e-07,1.0099,1,6e-05,0.0015,6e-05,5e-06
6671.6,1.728e-11,9.9031,0.67915,9.6213e-05,0.2003,0.0045899,0.043731,0.012374,1640.4,0.17552,0,-1.8952e-11,5.6551e-11,0,14.246,13.314,0.18176,63.734,35.805,0.81312,1.1694,1.0929,0.014919,0,0.37843,0.87176,43.743,44.367,5.2869e-08,1.009e-05,7.2491e-07,1.0098,1,6.3e-05,0.0015,6.3e-05,5e-06
6670.9,1.728e-11,9.4852,0.67951,9.5957e-05,0.2003,0.0045824,0.043739,0.012378,1640.3,0.17557,0,-1.9387e-11,6.1084e-11,0,14.246,13.314,0.18175,63.727,35.801,0.81303,1.1693,1.0928,0.014919,0,0.37842,0.85356,43.71,44.363,5.2867e-08,9.8792e-06,7.2482e-07,1.0097,1,6.6e-05,0.0015,6.6e-05,5e-06
6670.1,1.728e-11,9.0941,0.67989,9.5686e-05,0.2003,0.0045746,0.043748,0.012383,1640.1,0.17563,0,-1.977e-11,6.5754e-11,0,14.245,13.313,0.18174,63.719,35.797,0.81294,1.1693,1.0928,0.014918,0,0.3784,0.83563,43.675,44.358,5.2864e-08,9.6716e-06,7.2473e-07,1.0096,1,6.9e-05,0.0015,6.9e-05,5e-06
6669.3,1.728e-11,8.7298,0.68029,9.54e-05,0.2003,0.0045665,0.043757,0.012389,1640,0.17569,0,-2.01e-11,7.0563e-11,0,14.245,13.313,0.18173,63.712,35.793,0.81284,1.1692,1.0927,0.014917,0,0.37839,0.81795,43.638,44.352,5.2862e-08,9.467e-06,7.2463e-07,1.0095,1,7.2e-05,0.0015,7.2e-05,5e-06
6668.5,1.728e-11,8.3655,0.68069,9.5114e-05,0.2003,0.0045584,0.043766,0.012394,1639.8,0.17575,0,-2.043e-11,7.5372e-11,0,14.244,13.312,0.18173,63.704,35.789,0.81274,1.1692,1.0927,0.014917,0,0.37837,0.80027,43.602,44.345,5.286e-08,9.2624e-06,7.2454e-07,1.0094,1,7.5e-05,0.0015,7.5e-05,5e-06
6667.7,1.728e-11,8.0475,0.68111,9.4797e-05,0.2003,0.0045497,0.043776,0.012399,1639.7,0.17582,0,-2.0666e-11,8.0413e-11,0,14.243,13.311,0.18172,63.696,35.784,0.81264,1.1691,1.0926,0.014916,0,0.37835,0.78323,43.563,44.336,5.2857e-08,9.0652e-06,7.2444e-07,1.0093,1,7.8e-05,0.0015,7.8e-05,5e-06
