"ALambda_0","D_X","E850","SAC","SH2","SI","SIC","SIN","SIP","SLambda_0","SS","Su","U:0","U:1","U:2","XI","XI_VS","XI_alpha","XPB","XPB_VS","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","alphas","appXPB","p","p_rgh","sourceXI_alpha","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7432.7,1.728e-11,30,0.50532,0,0.20694,0.0099866,0.035229,0.0086909,1598.5,0.12963,0,6.4693e-13,1.404e-13,0,5.1201,4.7852,0.065323,71.004,39.89,0.90588,4.5501,4.2524,0.05805,0,0.1887,1.5331,33.361,33.361,2.0629e-07,1.7744e-05,4.6731e-07,1.0293,1,0,0.0015,0,5e-06
7432.7,1.728e-11,27.809,0.50535,0,0.20694,0.0099861,0.03523,0.0086913,1598.5,0.12963,0,8.0434e-13,5.3338e-13,0,5.1201,4.7852,0.065323,71.004,39.89,0.90587,4.5501,4.2524,0.05805,0,0.1887,1.502,33.339,33.369,2.0629e-07,1.7384e-05,4.673e-07,1.0293,1,3e-06,0.0015,3e-06,5e-06
7432.6,1.728e-11,25.619,0.50539,0,0.20694,0.0099855,0.035231,0.0086918,1598.4,0.12964,0,9.6175e-13,9.2637e-13,0,5.1201,4.7852,0.065323,71.003,39.889,0.90587,4.5501,4.2524,0.05805,0,0.1887,1.4708,33.317,33.377,2.0629e-07,1.7023e-05,4.6729e-07,1.0292,1,6e-06,0.0015,6e-06,5e-06
7432.4,1.728e-11,23.754,0.50546,0,0.20694,0.0099844,0.035233,0.0086928,1598.4,0.12965,0,1.1754e-12,1.7027e-12,0,5.1201,4.7851,0.065323,71.002,39.889,0.90585,4.55,4.2524,0.05805,0,0.1887,1.4414,33.3,33.389,2.0628e-07,1.6683e-05,4.6728e-07,1.0292,1,9e-06,0.0015,9e-06,5e-06
7432.2,1.728e-11,22.216,0.50556,0,0.20694,0.0099828,0.035235,0.0086942,1598.4,0.12966,0,1.4453e-12,2.8624e-12,0,5.1201,4.7851,0.065323,70.999,39.887,0.90582,4.55,4.2524,0.05805,0,0.1887,1.4137,33.286,33.405,2.0628e-07,1.6362e-05,4.6725e-07,1.0292,1,1.2e-05,0.0015,1.2e-05,5e-06
7432,1.728e-11,20.677,0.50567,0,0.20694,0.0099812,0.035238,0.0086956,1598.3,0.12968,0,1.7151e-12,4.0221e-12,0,5.1201,4.7851,0.065322,70.997,39.886,0.90579,4.55,4.2523,0.05805,0,0.18869,1.386,33.272,33.42,2.0628e-07,1.6042e-05,4.6722e-07,1.0292,1,1.5e-05,0.0015,1.5e-05,5e-06
7431.6,1.728e-11,19.533,0.50584,0,0.20694,0.0099786,0.035242,0.0086979,1598.3,0.1297,0,1.9193e-12,5.911e-12,0,5.12,4.7851,0.065322,70.994,39.884,0.90575,4.55,4.2523,0.058049,0,0.18869,1.3601,33.257,33.436,2.0628e-07,1.5742e-05,4.6718e-07,1.0291,1,1.8e-05,0.0015,1.8e-05,5e-06
7431.3,1.728e-11,18.39,0.50601,0,0.20694,0.0099759,0.035246,0.0087002,1598.2,0.12973,0,2.1235e-12,7.8e-12,0,5.12,4.7851,0.065322,70.99,39.882,0.9057,4.55,4.2523,0.058049,0,0.18869,1.3342,33.243,33.451,2.0628e-07,1.5443e-05,4.6714e-07,1.0291,1,2.1e-05,0.0015,2.1e-05,5e-06
7430.8,1.728e-11,17.361,0.50621,0,0.20694,0.0099728,0.035251,0.0087029,1598.1,0.12975,0,2.3105e-12,1.0027e-11,0,5.12,4.785,0.065321,70.986,39.88,0.90565,4.5499,4.2523,0.058048,0,0.18869,1.3087,33.227,33.465,2.0628e-07,1.5147e-05,4.6709e-07,1.029,1,2.4e-05,0.0015,2.4e-05,5e-06
7430.3,1.728e-11,16.448,0.50644,0,0.20693,0.0099692,0.035257,0.0087061,1598,0.12979,0,2.4803e-12,1.2591e-11,0,5.1199,4.785,0.065321,70.982,39.877,0.90559,4.5499,4.2522,0.058048,0,0.18869,1.2836,33.211,33.478,2.0628e-07,1.4857e-05,4.6703e-07,1.029,1,2.7e-05,0.0015,2.7e-05,5e-06
7429.8,1.728e-11,15.534,0.50668,0,0.20693,0.0099655,0.035262,0.0087092,1597.9,0.12982,0,2.6501e-12,1.5156e-11,0,5.1199,4.7849,0.06532,70.977,39.875,0.90553,4.5498,4.2522,0.058047,0,0.18869,1.2585,33.194,33.492,2.0628e-07,1.4566e-05,4.6697e-07,1.0289,1,3e-05,0.0015,3e-05,5e-06
7429.2,1.728e-11,14.775,0.50697,0,0.20693,0.009961,0.035269,0.0087132,1597.8,0.12986,0,2.7965e-12,1.8338e-11,0,5.1198,4.7849,0.06532,70.971,39.871,0.90546,4.5498,4.2521,0.058047,0,0.18869,1.2337,33.177,33.504,2.0627e-07,1.4279e-05,4.669e-07,1.0288,1,3.3e-05,0.0015,3.3e-05,5e-06
7428.6,1.728e-11,14.016,0.50726,0,0.20693,0.0099564,0.035276,0.0087171,1597.7,0.12991,0,2.943e-12,2.152e-11,0,5.1198,4.7848,0.065319,70.965,39.868,0.90538,4.5497,4.2521,0.058046,0,0.18868,1.2089,33.159,33.516,2.0627e-07,1.3992e-05,4.6683e-07,1.0287,1,3.6e-05,0.0015,3.6e-05,5e-06
7427.9,1.728e-11,13.315,0.50758,0,0.20693,0.0099515,0.035284,0.0087214,1597.6,0.12995,0,3.0823e-12,2.499e-11,0,5.1197,4.7848,0.065318,70.959,39.864,0.9053,4.5497,4.252,0.058045,0,0.18868,1.1842,33.141,33.527,2.0627e-07,1.3706e-05,4.6675e-07,1.0287,1,3.9e-05,0.0015,3.9e-05,5e-06
7427.2,1.728e-11,12.672,0.50792,0,0.20692,0.009946,0.035292,0.0087261,1597.5,0.13,0,3.2145e-12,2.8748e-11,0,5.1197,4.7847,0.065317,70.952,39.86,0.90521,4.5496,4.252,0.058045,0,0.18868,1.1596,33.122,33.538,2.0626e-07,1.3422e-05,4.6666e-07,1.0286,1,4.2e-05,0.0015,4.2e-05,5e-06
7426.5,1.728e-11,12.028,0.50827,0,0.20692,0.0099406,0.035301,0.0087308,1597.3,0.13005,0,3.3467e-12,3.2506e-11,0,5.1196,4.7847,0.065316,70.945,39.856,0.90512,4.5495,4.2519,0.058044,0,0.18868,1.1351,33.103,33.549,2.0626e-07,1.3137e-05,4.6657e-07,1.0285,1,4.5e-05,0.0015,4.5e-05,5e-06
7425.6,1.728e-11,11.477,0.50867,0,0.20692,0.0099343,0.03531,0.0087362,1597.2,0.13011,0,3.4729e-12,3.6802e-11,0,5.1195,4.7846,0.065315,70.936,39.852,0.90502,4.5495,4.2518,0.058043,0,0.18867,1.1107,33.083,33.559,2.0626e-07,1.2856e-05,4.6648e-07,1.0284,1,4.8e-05,0.0015,4.8e-05,5e-06
7424.8,1.728e-11,10.925,0.50907,0,0.20692,0.009928,0.03532,0.0087416,1597,0.13017,0,3.5992e-12,4.1098e-11,0,5.1194,4.7845,0.065314,70.928,39.847,0.90491,4.5494,4.2518,0.058042,0,0.18867,1.0864,33.063,33.569,2.0625e-07,1.2574e-05,4.6638e-07,1.0283,1,5.1e-05,0.0015,5.1e-05,5e-06
7423.9,1.728e-11,10.411,0.50949,0,0.20691,0.0099214,0.03533,0.0087473,1596.9,0.13023,0,3.7256e-12,4.5646e-11,0,5.1194,4.7844,0.065313,70.92,39.843,0.9048,4.5493,4.2517,0.058041,0,0.18867,1.0623,33.043,33.578,2.0625e-07,1.2295e-05,4.6627e-07,1.0282,1,5.4e-05,0.0015,5.4e-05,5e-06
7422.9,1.728e-11,9.9345,0.50994,0,0.20691,0.0099143,0.035341,0.0087534,1596.7,0.1303,0,3.852e-12,5.0445e-11,0,5.1193,4.7844,0.065312,70.911,39.838,0.90469,4.5492,4.2516,0.05804,0,0.18866,1.0383,33.022,33.586,2.0625e-07,1.2017e-05,4.6616e-07,1.028,1,5.7e-05,0.0015,5.7e-05,5e-06
7422,1.728e-11,9.4579,0.51039,0,0.20691,0.0099072,0.035352,0.0087595,1596.5,0.13036,0,3.9785e-12,5.5245e-11,0,5.1192,4.7843,0.065311,70.902,39.832,0.90457,4.5491,4.2515,0.058039,0,0.18866,1.0143,33.001,33.595,2.0624e-07,1.1739e-05,4.6605e-07,1.0279,1,6e-05,0.0015,6e-05,5e-06
7420.9,1.728e-11,9.0433,0.51088,0,0.2069,0.0098994,0.035364,0.0087662,1596.3,0.13044,0,4.108e-12,6.0516e-11,0,5.1191,4.7842,0.06531,70.892,39.827,0.90445,4.549,4.2514,0.058037,0,0.18866,0.99071,32.978,33.603,2.0624e-07,1.1467e-05,4.6593e-07,1.0278,1,6.3e-05,0.0015,6.3e-05,5e-06
7419.9,1.728e-11,8.6286,0.51138,0,0.2069,0.0098916,0.035376,0.0087729,1596.1,0.13051,0,4.2375e-12,6.5786e-11,0,5.119,4.7841,0.065308,70.882,39.821,0.90432,4.5489,4.2514,0.058036,0,0.18865,0.96713,32.956,33.61,2.0623e-07,1.1194e-05,4.6581e-07,1.0277,1,6.6e-05,0.0015,6.6e-05,5e-06
7418.8,1.728e-11,8.24,0.51189,0,0.20689,0.0098834,0.035388,0.0087798,1596,0.13059,0,4.3687e-12,7.1278e-11,0,5.1189,4.784,0.065307,70.871,39.815,0.90419,4.5488,4.2513,0.058035,0,0.18865,0.94381,32.933,33.617,2.0623e-07,1.0924e-05,4.6568e-07,1.0275,1,6.9e-05,0.0015,6.9e-05,5e-06
7417.7,1.728e-11,7.8775,0.51243,0,0.20689,0.0098749,0.035401,0.0087871,1595.7,0.13067,0,4.5016e-12,7.699e-11,0,5.1187,4.7839,0.065306,70.861,39.809,0.90405,4.5487,4.2512,0.058033,0,0.18864,0.92073,32.91,33.624,2.0622e-07,1.0657e-05,4.6555e-07,1.0274,1,7.2e-05,0.0015,7.2e-05,5e-06
7416.5,1.728e-11,7.5149,0.51297,0,0.20689,0.0098663,0.035414,0.0087944,1595.5,0.13075,0,4.6345e-12,8.2702e-11,0,5.1186,4.7838,0.065304,70.85,39.803,0.90391,4.5486,4.251,0.058032,0,0.18864,0.89765,32.887,33.63,2.0622e-07,1.0389e-05,4.6542e-07,1.0272,1,7.5e-05,0.0015,7.5e-05,5e-06
7415.3,1.728e-11,7.1963,0.51354,0,0.20688,0.0098572,0.035428,0.0088022,1595.3,0.13083,0,4.7689e-12,8.8828e-11,0,5.1185,4.7837,0.065303,70.838,39.797,0.90376,4.5485,4.2509,0.05803,0,0.18864,0.87515,32.863,33.635,2.0621e-07,1.0129e-05,4.6528e-07,1.0271,1,7.8e-05,0.0015,7.8e-05,5e-06
7414.1,1.728e-11,6.8777,0.51412,0,0.20688,0.009848,0.035442,0.00881,1595.1,0.13092,0,4.9034e-12,9.4954e-11,0,5.1184,4.7835,0.065301,70.827,39.79,0.90362,4.5484,4.2508,0.058029,0,0.18863,0.85264,32.838,33.641,2.0621e-07,9.8685e-06,4.6514e-07,1.0269,1,8.1e-05,0.0015,8.1e-05,5e-06
7412.9,1.728e-11,6.5779,0.51471,0,0.20687,0.0098384,0.035457,0.0088181,1594.9,0.13101,0,5.0371e-12,1.0127e-10,0,5.1183,4.7834,0.065299,70.815,39.784,0.90346,4.5483,4.2507,0.058027,0,0.18863,0.83046,32.813,33.646,2.062e-07,9.6118e-06,4.6499e-07,1.0268,1,8.4e-05,0.0015,8.4e-05,5e-06
7411.6,1.728e-11,6.2968,0.51533,0,0.20687,0.0098286,0.035472,0.0088264,1594.6,0.1311,0,5.1703e-12,1.0779e-10,0,5.1181,4.7833,0.065298,70.803,39.777,0.90331,4.5481,4.2506,0.058026,0,0.18862,0.80859,32.788,33.65,2.062e-07,9.3587e-06,4.6484e-07,1.0266,1,8.7e-05,0.0015,8.7e-05,5e-06
