# Region      : all 
# Cells       : 160000
# Volume      : 9.000000e-11
# Time        	volAverage(E850)	volAverage(sourceXPB_alpha)
0             
0             
21600         	1.477012e+01	2.839424e-07
43200         	1.471491e+01	3.246697e-07
64800         	1.465323e+01	3.199416e-07
86400         	1.458584e+01	3.572575e-07
108000        	1.451427e+01	3.684416e-07
129600        	1.443840e+01	3.500228e-07
151200        	1.435919e+01	3.552371e-07
172800        	1.427720e+01	3.866826e-07
194400        	1.419262e+01	3.624665e-07
216000        	1.410590e+01	3.903156e-07
237600        	1.402114e+01	3.738188e-07
259200        	1.392659e+01	3.906211e-07
280800        	1.383426e+01	3.904286e-07
302400        	1.374008e+01	3.732229e-07
324000        	1.364471e+01	3.868571e-07
345600        	1.354840e+01	3.713680e-07
367200        	1.344776e+01	3.864517e-07
388800        	1.334702e+01	3.777785e-07
410400        	1.324428e+01	3.844743e-07
432000        	1.314085e+01	3.846226e-07
453600        	1.303323e+01	3.819453e-07
475200        	1.292674e+01	3.822401e-07
496800        	1.281586e+01	3.797893e-07
518400        	1.270469e+01	3.784225e-07
540000        	1.259176e+01	3.772518e-07
561600        	1.247728e+01	3.762737e-07
583200        	1.236029e+01	3.748624e-07
604800        	1.224231e+01	3.740219e-07
626400        	1.212212e+01	3.728193e-07
648000        	1.199993e+01	3.712817e-07
669600        	1.187604e+01	3.703947e-07
691200        	1.175002e+01	3.692194e-07
712800        	1.162174e+01	3.679795e-07
734400        	1.149161e+01	3.667878e-07
756000        	1.135914e+01	3.651845e-07
777600        	1.122462e+01	3.638888e-07
799200        	1.108813e+01	3.626277e-07
820800        	1.095460e+01	3.668241e-07
842400        	1.080874e+01	3.604748e-07
864000        	1.066498e+01	3.590540e-07
