"ALambda_0","D_X","E850","SAC","SH2","SI","SIC","SIN","SIP","SLambda_0","SS","Su","U:0","U:1","U:2","XI","XI_VS","XI_alpha","XPB","XPB_VS","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","alphas","p","p_rgh","sourceXI_alpha","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6757.8,1.6e-10,80,1.0475,0.016714,0.39462,0.0010946,0.016173,0.00023658,1726.2,-1.6058,0,-2.4205e-13,1.6795e-17,0,10.679,9.9808,0.13625,64.557,36.268,0.82363,7.051,6.5897,0.089958,0,0.36246,8.8394,8.8394,3.197e-07,-8.5865e-07,1.2045e-07,1.0498,1,0,0.0015,0,5e-06
6757.8,1.6e-10,74.411,1.0475,0.016714,0.39462,0.0010946,0.016173,0.00023666,1726.2,-1.6058,0,-3.1608e-13,3.4596e-16,0,10.679,9.9808,0.13625,64.557,36.268,0.82363,7.051,6.5897,0.089958,0,0.36246,8.8098,8.8396,3.197e-07,-8.5864e-07,1.2045e-07,1.0498,1,3e-06,0.0015,3e-06,5e-06
6757.8,1.6e-10,68.822,1.0475,0.016714,0.39462,0.0010946,0.016174,0.00023675,1726.2,-1.6057,0,-3.9011e-13,6.7513e-16,0,10.679,9.9808,0.13625,64.557,36.268,0.82363,7.051,6.5897,0.089958,0,0.36246,8.7802,8.8397,3.197e-07,-8.5864e-07,1.2045e-07,1.0498,1,6e-06,0.0015,6e-06,5e-06
6757.8,1.6e-10,64.046,1.0475,0.016714,0.39462,0.0010946,0.016174,0.00023692,1726.2,-1.6057,0,-4.9741e-13,1.4086e-15,0,10.679,9.9808,0.13625,64.557,36.268,0.82362,7.051,6.5897,0.089958,0,0.36246,8.7507,8.8398,3.197e-07,-8.5864e-07,1.2045e-07,1.0498,1,9e-06,0.0015,9e-06,5e-06
6757.8,1.6e-10,60.084,1.0475,0.016714,0.39462,0.0010946,0.016175,0.00023717,1726.2,-1.6056,0,-6.38e-13,2.5463e-15,0,10.679,9.9808,0.13625,64.557,36.268,0.82362,7.051,6.5897,0.089958,0,0.36246,8.7212,8.8401,3.197e-07,-8.5864e-07,1.2045e-07,1.0498,1,1.2e-05,0.0015,1.2e-05,5e-06
6757.8,1.6e-10,56.122,1.0475,0.016714,0.39462,0.0010947,0.016176,0.00023743,1726.2,-1.6056,0,-7.7858e-13,3.6839e-15,0,10.679,9.9808,0.13625,64.556,36.268,0.82362,7.051,6.5897,0.089958,0,0.36246,8.6918,8.8404,3.197e-07,-8.5863e-07,1.2044e-07,1.0498,1,1.5e-05,0.0015,1.5e-05,5e-06
6757.7,1.6e-10,53.155,1.0475,0.016714,0.39461,0.0010947,0.016178,0.00023785,1726.2,-1.6055,0,-9.1053e-13,5.7436e-15,0,10.679,9.9808,0.13625,64.556,36.267,0.82362,7.051,6.5897,0.089958,0,0.36246,8.6625,8.8408,3.197e-07,-8.5863e-07,1.2044e-07,1.0498,1,1.8e-05,0.0015,1.8e-05,5e-06
6757.7,1.6e-10,50.187,1.0475,0.016714,0.39461,0.0010947,0.016179,0.00023828,1726.2,-1.6054,0,-1.0425e-12,7.8033e-15,0,10.679,9.9808,0.13625,64.556,36.267,0.82361,7.051,6.5897,0.089958,0,0.36246,8.6332,8.8412,3.197e-07,-8.5862e-07,1.2043e-07,1.0498,1,2.1e-05,0.0015,2.1e-05,5e-06
6757.7,1.6e-10,47.511,1.0475,0.016714,0.39461,0.0010948,0.016181,0.00023879,1726.2,-1.6053,0,-1.1737e-12,1.0142e-14,0,10.679,9.9808,0.13625,64.556,36.267,0.82361,7.051,6.5897,0.089958,0,0.36246,8.6039,8.8417,3.197e-07,-8.5862e-07,1.2043e-07,1.0498,1,2.4e-05,0.0015,2.4e-05,5e-06
6757.6,1.6e-10,45.127,1.0475,0.016714,0.3946,0.0010949,0.016184,0.00023939,1726.2,-1.6052,0,-1.3042e-12,1.2761e-14,0,10.679,9.9808,0.13625,64.555,36.267,0.8236,7.051,6.5897,0.089958,0,0.36246,8.5747,8.8422,3.197e-07,-8.5861e-07,1.2042e-07,1.0498,1,2.7e-05,0.0015,2.7e-05,5e-06
6757.6,1.6e-10,42.743,1.0475,0.016713,0.3946,0.0010949,0.016186,0.00023999,1726.2,-1.605,0,-1.4347e-12,1.5379e-14,0,10.679,9.9808,0.13625,64.555,36.267,0.8236,7.051,6.5897,0.089958,0,0.36246,8.5454,8.8427,3.197e-07,-8.586e-07,1.2041e-07,1.0498,1,3e-05,0.0015,3e-05,5e-06
6757.5,1.6e-10,40.749,1.0475,0.016713,0.39459,0.001095,0.016189,0.00024076,1726.2,-1.6049,0,-1.565e-12,1.8722e-14,0,10.679,9.9808,0.13625,64.554,36.266,0.82359,7.051,6.5897,0.089958,0,0.36246,8.5162,8.8431,3.197e-07,-8.5859e-07,1.204e-07,1.0498,1,3.3e-05,0.0015,3.3e-05,5e-06
6757.5,1.6e-10,38.756,1.0475,0.016713,0.39459,0.0010951,0.016192,0.00024154,1726.2,-1.6047,0,-1.6952e-12,2.2064e-14,0,10.679,9.9808,0.13625,64.554,36.266,0.82359,7.051,6.5897,0.089958,0,0.36246,8.4869,8.8436,3.197e-07,-8.5858e-07,1.204e-07,1.0498,1,3.6e-05,0.0015,3.6e-05,5e-06
