"ALambda_0","D_X","E850","SAC","SH2","SI","SIC","SIN","SIP","SLambda_0","SS","Su","U:0","U:1","U:2","XI","XI_VS","XI_alpha","XPB","XPB_VS","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","alphas","p","p_rgh","sourceXI_alpha","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7316,1.6e-10,80,0.17633,0.00036224,0.21202,0.01985,0.019224,0.0016317,1566,0.048098,0,1.3729e-12,-5.1267e-15,0,5.4201,5.0655,0.06915,69.89,39.264,0.89166,3.8559,3.6037,0.049195,0,0.1875,21.7,21.7,1.748e-07,1.7003e-05,5.2532e-07,1.01,1,0,0.0015,0,5e-06
7316,1.6e-10,74.227,0.17637,0.00036223,0.21202,0.019849,0.019225,0.0016322,1566,0.048105,0,1.8993e-12,-6.6911e-15,0,5.4201,5.0655,0.06915,69.89,39.264,0.89166,3.8559,3.6037,0.049195,0,0.1875,21.67,21.7,1.748e-07,1.685e-05,5.2532e-07,1.01,1,3e-06,0.0015,3e-06,5e-06
7316,1.6e-10,68.453,0.17641,0.00036221,0.21202,0.019848,0.019226,0.0016328,1566,0.048112,0,2.4257e-12,-8.2554e-15,0,5.4201,5.0655,0.06915,69.89,39.264,0.89166,3.8559,3.6037,0.049195,0,0.1875,21.64,21.7,1.748e-07,1.6696e-05,5.2532e-07,1.01,1,6e-06,0.0015,6e-06,5e-06
7316,1.6e-10,63.533,0.1765,0.00036219,0.21202,0.019847,0.019228,0.0016339,1566,0.048125,0,3.2065e-12,-7.6974e-15,0,5.4201,5.0655,0.06915,69.889,39.264,0.89166,3.8559,3.6037,0.049195,0,0.18749,21.611,21.7,1.748e-07,1.6549e-05,5.2532e-07,1.01,1,9e-06,0.0015,9e-06,5e-06
7316,1.6e-10,59.467,0.17662,0.00036215,0.21202,0.019844,0.019231,0.0016355,1566,0.048146,0,4.2417e-12,-5.0169e-15,0,5.4201,5.0655,0.06915,69.889,39.264,0.89165,3.8559,3.6037,0.049195,0,0.18749,21.582,21.7,1.748e-07,1.6408e-05,5.2532e-07,1.01,1,1.2e-05,0.0015,1.2e-05,5e-06
7315.9,1.6e-10,55.401,0.17675,0.00036211,0.21201,0.019842,0.019234,0.0016371,1566,0.048166,0,5.277e-12,-2.3365e-15,0,5.4201,5.0655,0.06915,69.889,39.263,0.89165,3.8559,3.6037,0.049194,0,0.18749,21.552,21.701,1.748e-07,1.6266e-05,5.2531e-07,1.01,1,1.5e-05,0.0015,1.5e-05,5e-06
7315.9,1.6e-10,52.371,0.17695,0.00036205,0.21201,0.019838,0.019238,0.0016398,1565.9,0.048201,0,6.2779e-12,1.4456e-14,0,5.4201,5.0655,0.06915,69.888,39.263,0.89164,3.8559,3.6037,0.049194,0,0.18749,21.523,21.701,1.748e-07,1.6129e-05,5.2531e-07,1.01,1,1.8e-05,0.0015,1.8e-05,5e-06
7315.8,1.6e-10,49.342,0.17716,0.00036199,0.21201,0.019835,0.019243,0.0016425,1565.9,0.048235,0,7.2788e-12,3.1248e-14,0,5.42,5.0655,0.06915,69.888,39.263,0.89164,3.8559,3.6037,0.049194,0,0.18749,21.494,21.702,1.748e-07,1.5991e-05,5.253e-07,1.01,1,2.1e-05,0.0015,2.1e-05,5e-06
7315.8,1.6e-10,46.615,0.1774,0.00036192,0.21201,0.01983,0.019249,0.0016457,1565.9,0.048275,0,8.2663e-12,5.6997e-14,0,5.42,5.0654,0.069149,69.887,39.262,0.89163,3.8559,3.6036,0.049194,0,0.18749,21.465,21.703,1.748e-07,1.5853e-05,5.2529e-07,1.01,1,2.4e-05,0.0015,2.4e-05,5e-06
7315.7,1.6e-10,44.192,0.17769,0.00036183,0.21201,0.019825,0.019255,0.0016495,1565.9,0.048323,0,9.2406e-12,9.1703e-14,0,5.42,5.0654,0.069149,69.887,39.262,0.89162,3.8559,3.6036,0.049194,0,0.18749,21.436,21.704,1.748e-07,1.5714e-05,5.2529e-07,1.01,1,2.7e-05,0.0015,2.7e-05,5e-06
7315.6,1.6e-10,41.768,0.17797,0.00036174,0.212,0.01982,0.019262,0.0016532,1565.9,0.04837,0,1.0215e-11,1.2641e-13,0,5.42,5.0654,0.069149,69.886,39.262,0.89161,3.8559,3.6036,0.049194,0,0.18749,21.408,21.705,1.748e-07,1.5575e-05,5.2528e-07,1.01,1,3e-05,0.0015,3e-05,5e-06
