"ALambda_0","D_X","E850","SAC","SH2","SI","SIC","SIN","SIP","SLambda_0","SS","Su","U:0","U:1","U:2","XI","XI_VS","XI_alpha","XPB","XPB_VS","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","alphas","p","p_rgh","sourceXI_alpha","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7036.2,1.6e-10,80,0.91488,0.010448,0.3088,0.0011712,0.011805,0.00011467,1670.9,-1.33,0,-1.1344e-13,2.567e-16,0,7.6346,7.1351,0.097403,67.216,37.762,0.85755,6.6846,6.2473,0.085283,0,0.28009,20.248,20.248,3.0309e-07,-8.9373e-07,1.939e-07,1.0402,1,0,0.0015,0,5e-06
7036.2,1.6e-10,74.305,0.91488,0.010448,0.3088,0.0011712,0.011805,0.00011474,1670.9,-1.3299,0,-1.8876e-13,1.5881e-15,0,7.6345,7.1351,0.097403,67.216,37.762,0.85755,6.6846,6.2473,0.085283,0,0.28009,20.218,20.248,3.0309e-07,-8.9373e-07,1.939e-07,1.0402,1,3e-06,0.0015,3e-06,5e-06
7036.1,1.6e-10,68.609,0.91487,0.010448,0.3088,0.0011712,0.011805,0.00011482,1670.9,-1.3299,0,-2.6407e-13,2.9195e-15,0,7.6345,7.1351,0.097403,67.216,37.762,0.85755,6.6846,6.2473,0.085283,0,0.28009,20.188,20.248,3.0309e-07,-8.9373e-07,1.939e-07,1.0402,1,6e-06,0.0015,6e-06,5e-06
7036.1,1.6e-10,63.751,0.91487,0.010448,0.3088,0.0011712,0.011806,0.00011497,1670.9,-1.3299,0,-3.8846e-13,5.5793e-15,0,7.6345,7.1351,0.097403,67.216,37.762,0.85755,6.6846,6.2473,0.085283,0,0.28009,20.159,20.248,3.0309e-07,-8.9373e-07,1.939e-07,1.0402,1,9e-06,0.0015,9e-06,5e-06
7036.1,1.6e-10,59.73,0.91487,0.010448,0.3088,0.0011713,0.011807,0.00011519,1670.9,-1.3298,0,-5.619e-13,9.5673e-15,0,7.6345,7.1351,0.097402,67.216,37.762,0.85755,6.6846,6.2473,0.085283,0,0.28009,20.129,20.248,3.0309e-07,-8.9372e-07,1.939e-07,1.0402,1,1.2e-05,0.0015,1.2e-05,5e-06
7036.1,1.6e-10,55.709,0.91487,0.010448,0.3088,0.0011713,0.011809,0.00011542,1670.9,-1.3297,0,-7.3535e-13,1.3555e-14,0,7.6345,7.1351,0.097402,67.215,37.761,0.85754,6.6846,6.2473,0.085283,0,0.28009,20.099,20.248,3.0309e-07,-8.9372e-07,1.9389e-07,1.0402,1,1.5e-05,0.0015,1.5e-05,5e-06
7036.1,1.6e-10,52.706,0.91487,0.010448,0.3088,0.0011714,0.011811,0.00011579,1670.9,-1.3296,0,-9.4909e-13,2.0367e-14,0,7.6345,7.1351,0.097402,67.215,37.761,0.85754,6.6846,6.2473,0.085283,0,0.28009,20.07,20.248,3.0309e-07,-8.9372e-07,1.9389e-07,1.0402,1,1.8e-05,0.0015,1.8e-05,5e-06
7036,1.6e-10,49.704,0.91487,0.010448,0.30879,0.0011714,0.011813,0.00011617,1670.9,-1.3295,0,-1.1628e-12,2.7179e-14,0,7.6345,7.1351,0.097402,67.215,37.761,0.85753,6.6846,6.2473,0.085283,0,0.28009,20.04,20.248,3.0309e-07,-8.9371e-07,1.9388e-07,1.0402,1,2.1e-05,0.0015,2.1e-05,5e-06
7036,1.6e-10,46.999,0.91486,0.010448,0.30879,0.0011715,0.011815,0.00011662,1670.8,-1.3294,0,-1.3919e-12,3.5282e-14,0,7.6345,7.1351,0.097402,67.214,37.761,0.85753,6.6846,6.2473,0.085283,0,0.28009,20.01,20.248,3.0309e-07,-8.937e-07,1.9387e-07,1.0402,1,2.4e-05,0.0015,2.4e-05,5e-06
7035.9,1.6e-10,44.592,0.91486,0.010448,0.30879,0.0011716,0.011818,0.00011715,1670.8,-1.3292,0,-1.6362e-12,4.4674e-14,0,7.6345,7.1351,0.097402,67.214,37.761,0.85752,6.6846,6.2473,0.085283,0,0.28009,19.981,20.248,3.0309e-07,-8.9369e-07,1.9387e-07,1.0402,1,2.7e-05,0.0015,2.7e-05,5e-06
