"ALambda_0","D_X","E850","SAC","SH2","SI","SIC","SIN","SIP","SLambda_0","SS","Su","U:0","U:1","U:2","XI","XI_VS","XI_alpha","XPB","XPB_VS","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","alphas","p","p_rgh","sourceXI_alpha","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7039.2,1.6e-10,80,0.68816,0.0057625,0.2789,0.0025469,0.011379,0.00022483,1647.8,-0.98344,0,4.2543e-13,2.42e-16,0,6.8488,6.4007,0.087378,67.245,37.778,0.85792,6.6976,6.2595,0.085449,0,0.2602,18.806,18.806,3.0369e-07,-8.945e-07,1.933e-07,1.0307,1,0,0.0015,0,5e-06
7039.2,1.6e-10,74.315,0.68816,0.0057625,0.2789,0.0025469,0.011379,0.00022491,1647.8,-0.98341,0,5.5417e-13,8.6577e-16,0,6.8488,6.4007,0.087378,67.245,37.778,0.85792,6.6976,6.2595,0.085449,0,0.2602,18.776,18.806,3.0369e-07,-8.945e-07,1.9329e-07,1.0307,1,3e-06,0.0015,3e-06,5e-06
7039.2,1.6e-10,68.63,0.68816,0.0057625,0.2789,0.0025469,0.011379,0.00022499,1647.8,-0.98339,0,6.829e-13,1.4895e-15,0,6.8488,6.4007,0.087378,67.245,37.778,0.85792,6.6976,6.2595,0.085449,0,0.2602,18.747,18.806,3.0369e-07,-8.945e-07,1.9329e-07,1.0307,1,6e-06,0.0015,6e-06,5e-06
7039.2,1.6e-10,63.779,0.68816,0.0057626,0.2789,0.0025469,0.01138,0.00022515,1647.8,-0.98335,0,8.494e-13,2.6563e-15,0,6.8488,6.4007,0.087378,67.245,37.778,0.85792,6.6976,6.2595,0.085449,0,0.2602,18.717,18.806,3.0369e-07,-8.945e-07,1.9329e-07,1.0307,1,9e-06,0.0015,9e-06,5e-06
7039.1,1.6e-10,59.763,0.68816,0.0057626,0.2789,0.002547,0.011381,0.00022539,1647.8,-0.98329,0,1.0537e-12,4.3659e-15,0,6.8488,6.4007,0.087377,67.245,37.778,0.85791,6.6976,6.2595,0.085449,0,0.2602,18.687,18.806,3.0369e-07,-8.9449e-07,1.9329e-07,1.0307,1,1.2e-05,0.0015,1.2e-05,5e-06
7039.1,1.6e-10,55.746,0.68816,0.0057627,0.27889,0.0025471,0.011382,0.00022563,1647.8,-0.98322,0,1.2579e-12,6.0756e-15,0,6.8488,6.4007,0.087377,67.244,37.778,0.85791,6.6976,6.2595,0.085449,0,0.2602,18.658,18.806,3.0369e-07,-8.9449e-07,1.9328e-07,1.0307,1,1.5e-05,0.0015,1.5e-05,5e-06
7039.1,1.6e-10,52.746,0.68817,0.0057627,0.27889,0.0025472,0.011384,0.00022603,1647.8,-0.98312,0,1.3598e-12,8.9344e-15,0,6.8488,6.4007,0.087377,67.244,37.778,0.85791,6.6976,6.2595,0.085449,0,0.2602,18.628,18.806,3.0368e-07,-8.9448e-07,1.9328e-07,1.0307,1,1.8e-05,0.0015,1.8e-05,5e-06
7039.1,1.6e-10,49.747,0.68817,0.0057628,0.27889,0.0025473,0.011386,0.00022643,1647.8,-0.98301,0,1.4617e-12,1.1793e-14,0,6.8488,6.4007,0.087377,67.244,37.777,0.8579,6.6976,6.2595,0.085449,0,0.2602,18.598,18.806,3.0368e-07,-8.9448e-07,1.9327e-07,1.0307,1,2.1e-05,0.0015,2.1e-05,5e-06
7039,1.6e-10,47.044,0.68817,0.0057629,0.27889,0.0025474,0.011389,0.00022691,1647.8,-0.98289,0,1.5231e-12,1.5078e-14,0,6.8487,6.4007,0.087377,67.243,37.777,0.8579,6.6976,6.2595,0.085449,0,0.2602,18.569,18.806,3.0368e-07,-8.9447e-07,1.9327e-07,1.0307,1,2.4e-05,0.0015,2.4e-05,5e-06
7039,1.6e-10,44.639,0.68818,0.0057631,0.27888,0.0025475,0.011391,0.00022747,1647.8,-0.98274,0,1.5438e-12,1.8788e-14,0,6.8487,6.4007,0.087377,67.243,37.777,0.85789,6.6976,6.2594,0.085449,0,0.2602,18.539,18.806,3.0368e-07,-8.9446e-07,1.9326e-07,1.0307,1,2.7e-05,0.0015,2.7e-05,5e-06
