"ALambda_0","D_X","E850","SAC","SH2","SI","SIC","SIN","SIP","SLambda_0","SS","Su","U:0","U:1","U:2","XI","XI_VS","XI_alpha","XPB","XPB_VS","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","alphas","p","p_rgh","sourceXI_alpha","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6835.4,1.6e-10,80,1.0202,0.0154,0.37295,0.0010544,0.015731,0.0002492,1712.2,-1.5402,0,-1.4659e-13,1.1911e-16,0,9.8291,9.1861,0.1254,65.299,36.685,0.83309,6.9953,6.5377,0.089247,0,0.34005,22.573,22.573,3.1718e-07,-8.6854e-07,1.3619e-07,1.0477,1,0,0.0015,0,5e-06
6835.4,1.6e-10,74.382,1.0202,0.0154,0.37294,0.0010544,0.015732,0.00024928,1712.2,-1.5402,0,-2.0925e-13,6.8662e-16,0,9.8291,9.186,0.1254,65.298,36.684,0.83309,6.9953,6.5377,0.089247,0,0.34005,22.543,22.573,3.1718e-07,-8.6854e-07,1.3619e-07,1.0477,1,3e-06,0.0015,3e-06,5e-06
6835.4,1.6e-10,68.763,1.0202,0.0154,0.37294,0.0010544,0.015732,0.00024937,1712.2,-1.5402,0,-2.719e-13,1.2541e-15,0,9.8291,9.186,0.1254,65.298,36.684,0.83309,6.9953,6.5377,0.089247,0,0.34005,22.513,22.573,3.1718e-07,-8.6854e-07,1.3619e-07,1.0477,1,6e-06,0.0015,6e-06,5e-06
6835.4,1.6e-10,63.964,1.0202,0.0154,0.37294,0.0010544,0.015733,0.00024955,1712.2,-1.5401,0,-3.6661e-13,2.3211e-15,0,9.8291,9.186,0.1254,65.298,36.684,0.83308,6.9953,6.5377,0.089247,0,0.34005,22.483,22.573,3.1718e-07,-8.6854e-07,1.3618e-07,1.0477,1,9e-06,0.0015,9e-06,5e-06
6835.4,1.6e-10,59.985,1.0202,0.0154,0.37294,0.0010545,0.015734,0.00024981,1712.2,-1.5401,0,-4.9338e-13,3.8875e-15,0,9.8291,9.186,0.1254,65.298,36.684,0.83308,6.9953,6.5377,0.089247,0,0.34005,22.454,22.573,3.1718e-07,-8.6853e-07,1.3618e-07,1.0477,1,1.2e-05,0.0015,1.2e-05,5e-06
6835.4,1.6e-10,56.005,1.0202,0.0154,0.37294,0.0010545,0.015735,0.00025007,1712.2,-1.54,0,-6.2014e-13,5.454e-15,0,9.8291,9.186,0.1254,65.298,36.684,0.83308,6.9953,6.5377,0.089247,0,0.34005,22.424,22.573,3.1718e-07,-8.6853e-07,1.3618e-07,1.0477,1,1.5e-05,0.0015,1.5e-05,5e-06
6835.3,1.6e-10,53.027,1.0202,0.0154,0.37294,0.0010545,0.015736,0.00025051,1712.2,-1.5399,0,-7.5163e-13,8.1243e-15,0,9.8291,9.186,0.1254,65.298,36.684,0.83308,6.9953,6.5377,0.089247,0,0.34005,22.394,22.573,3.1718e-07,-8.6853e-07,1.3617e-07,1.0477,1,1.8e-05,0.0015,1.8e-05,5e-06
6835.3,1.6e-10,50.05,1.0202,0.015399,0.37293,0.0010546,0.015738,0.00025095,1712.2,-1.5398,0,-8.8311e-13,1.0795e-14,0,9.8291,9.186,0.1254,65.297,36.684,0.83307,6.9953,6.5377,0.089247,0,0.34005,22.365,22.573,3.1718e-07,-8.6852e-07,1.3617e-07,1.0477,1,2.1e-05,0.0015,2.1e-05,5e-06
6835.3,1.6e-10,47.366,1.0202,0.015399,0.37293,0.0010546,0.01574,0.00025148,1712.1,-1.5397,0,-1.0175e-12,1.3931e-14,0,9.829,9.186,0.1254,65.297,36.684,0.83307,6.9953,6.5377,0.089247,0,0.34005,22.335,22.573,3.1718e-07,-8.6851e-07,1.3616e-07,1.0477,1,2.4e-05,0.0015,2.4e-05,5e-06
6835.2,1.6e-10,44.975,1.0202,0.015399,0.37293,0.0010547,0.015743,0.0002521,1712.1,-1.5395,0,-1.1548e-12,1.7533e-14,0,9.829,9.186,0.1254,65.297,36.683,0.83306,6.9953,6.5377,0.089247,0,0.34005,22.305,22.573,3.1718e-07,-8.6851e-07,1.3615e-07,1.0477,1,2.7e-05,0.0015,2.7e-05,5e-06
