"ALambda_0","D_X","E850","SAC","SH2","SI","SIC","SIN","SIP","SLambda_0","SS","Su","U:0","U:1","U:2","XI","XI_VS","XI_alpha","XPB","XPB_VS","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","alphas","p","p_rgh","sourceXI_alpha","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6815.5,1.6e-10,80,1.03,0.015688,0.38018,0.0009512,0.013147,0,1717.9,-1.6056,0,-1.0826e-13,1.8481e-16,0,10.109,9.4476,0.12897,65.108,36.578,0.83066,7.0174,6.5583,0.089529,0,0.34747,17.844,17.844,3.1818e-07,2.6572e-05,1.2999e-07,1.0492,1,0,0.0015,0,5e-06
6815.5,1.6e-10,74.395,1.03,0.015688,0.38018,0.00095124,0.013148,0,1717.9,-1.6055,0,-1.3304e-13,5.1755e-16,0,10.109,9.4476,0.12897,65.108,36.578,0.83066,7.0174,6.5583,0.089529,0,0.34747,17.815,17.844,3.1818e-07,2.6344e-05,1.2999e-07,1.0492,1,3e-06,0.0015,3e-06,5e-06
6815.5,1.6e-10,68.79,1.03,0.015688,0.38018,0.00095127,0.013149,0,1717.9,-1.6055,0,-1.5782e-13,8.503e-16,0,10.109,9.4476,0.12897,65.108,36.578,0.83066,7.0174,6.5583,0.089529,0,0.34747,17.785,17.844,3.1818e-07,2.6117e-05,1.2998e-07,1.0492,1,6e-06,0.0015,6e-06,5e-06
6815.5,1.6e-10,64.001,1.03,0.015689,0.38018,0.00095134,0.013151,0,1717.9,-1.6054,0,-1.9139e-13,1.6317e-15,0,10.109,9.4476,0.12897,65.108,36.578,0.83066,7.0174,6.5583,0.089529,0,0.34747,17.755,17.845,3.1818e-07,2.59e-05,1.2998e-07,1.0492,1,9e-06,0.0015,9e-06,5e-06
6815.5,1.6e-10,60.028,1.03,0.015689,0.38018,0.00095145,0.013155,0,1717.9,-1.6053,0,-2.3377e-13,2.8618e-15,0,10.109,9.4476,0.12897,65.108,36.577,0.83065,7.0174,6.5583,0.089529,0,0.34747,17.726,17.845,3.1818e-07,2.5696e-05,1.2998e-07,1.0492,1,1.2e-05,0.0015,1.2e-05,5e-06
6815.4,1.6e-10,56.054,1.03,0.015689,0.38018,0.00095156,0.013158,0,1717.9,-1.6052,0,-2.7614e-13,4.0919e-15,0,10.109,9.4476,0.12897,65.107,36.577,0.83065,7.0174,6.5583,0.089529,0,0.34747,17.696,17.845,3.1818e-07,2.5491e-05,1.2998e-07,1.0491,1,1.5e-05,0.0015,1.5e-05,5e-06
6815.4,1.6e-10,53.081,1.03,0.015689,0.38017,0.00095174,0.013163,0,1717.9,-1.605,0,-3.0997e-13,6.1419e-15,0,10.109,9.4476,0.12897,65.107,36.577,0.83064,7.0174,6.5583,0.089529,0,0.34747,17.666,17.845,3.1818e-07,2.5296e-05,1.2998e-07,1.0491,1,1.8e-05,0.0015,1.8e-05,5e-06
6815.3,1.6e-10,50.107,1.03,0.015689,0.38017,0.00095192,0.013168,0,1717.9,-1.6049,0,-3.4379e-13,8.1919e-15,0,10.109,9.4476,0.12897,65.107,36.577,0.83064,7.0174,6.5583,0.089529,0,0.34747,17.637,17.845,3.1818e-07,2.5101e-05,1.2997e-07,1.0491,1,2.1e-05,0.0015,2.1e-05,5e-06
6815.3,1.6e-10,47.426,1.03,0.01569,0.38017,0.00095213,0.013174,0,1717.9,-1.6046,0,-3.778e-13,1.0693e-14,0,10.109,9.4476,0.12897,65.106,36.576,0.83063,7.0174,6.5583,0.089529,0,0.34747,17.607,17.845,3.1818e-07,2.4908e-05,1.2997e-07,1.0491,1,2.4e-05,0.0015,2.4e-05,5e-06
6815.2,1.6e-10,45.037,1.03,0.01569,0.38016,0.00095237,0.013182,0,1717.9,-1.6044,0,-4.1199e-13,1.3646e-14,0,10.109,9.4476,0.12897,65.106,36.576,0.83063,7.0174,6.5583,0.089529,0,0.34747,17.578,17.845,3.1818e-07,2.4715e-05,1.2996e-07,1.0491,1,2.7e-05,0.0015,2.7e-05,5e-06
6815.2,1.6e-10,42.649,1.03,0.01569,0.38016,0.00095262,0.013189,0,1717.8,-1.6041,0,-4.4618e-13,1.6599e-14,0,10.109,9.4476,0.12897,65.105,36.576,0.83062,7.0174,6.5583,0.089529,0,0.34747,17.548,17.845,3.1818e-07,2.4522e-05,1.2996e-07,1.0491,1,3e-05,0.0015,3e-05,5e-06
6815.1,1.6e-10,40.653,1.03,0.015691,0.38015,0.00095293,0.013198,0,1717.8,-1.6038,0,-4.8518e-13,2.0359e-14,0,10.109,9.4476,0.12897,65.104,36.575,0.83061,7.0174,6.5583,0.089529,0,0.34747,17.518,17.845,3.1818e-07,2.4327e-05,1.2995e-07,1.0491,1,3.3e-05,0.0015,3.3e-05,5e-06
6815,1.6e-10,38.657,1.03,0.015691,0.38015,0.00095324,0.013207,0,1717.8,-1.6035,0,-5.2418e-13,2.412e-14,0,10.109,9.4476,0.12897,65.104,36.575,0.8306,7.0174,6.5583,0.089529,0,0.34747,17.489,17.846,3.1818e-07,2.4132e-05,1.2995e-07,1.0491,1,3.6e-05,0.0015,3.6e-05,5e-06
6814.9,1.6e-10,36.809,1.03,0.015691,0.38014,0.00095359,0.013217,0,1717.8,-1.6032,0,-5.6684e-13,2.8349e-14,0,10.109,9.4476,0.12897,65.103,36.575,0.83059,7.0174,6.5583,0.089529,0,0.34747,17.459,17.846,3.1818e-07,2.3935e-05,1.2994e-07,1.0491,1,3.9e-05,0.0015,3.9e-05,5e-06
6814.9,1.6e-10,35.108,1.03,0.015692,0.38014,0.00095396,0.013228,0,1717.8,-1.6028,0,-6.1317e-13,3.3047e-14,0,10.109,9.4475,0.12897,65.102,36.574,0.83058,7.0174,6.5583,0.089529,0,0.34747,17.43,17.846,3.1818e-07,2.3735e-05,1.2993e-07,1.0491,1,4.2e-05,0.0015,4.2e-05,5e-06
6814.8,1.6e-10,33.407,1.03,0.015692,0.38013,0.00095433,0.013239,0,1717.8,-1.6024,0,-6.595e-13,3.7746e-14,0,10.109,9.4475,0.12897,65.101,36.574,0.83057,7.0174,6.5583,0.089528,0,0.34747,17.4,17.846,3.1818e-07,2.3536e-05,1.2992e-07,1.0491,1,4.5e-05,0.0015,4.5e-05,5e-06
6814.7,1.6e-10,31.941,1.03,0.015693,0.38012,0.00095477,0.013252,0,1717.8,-1.602,0,-7.1375e-13,4.3268e-14,0,10.109,9.4475,0.12897,65.1,36.573,0.83055,7.0174,6.5583,0.089528,0,0.34747,17.371,17.846,3.1818e-07,2.3331e-05,1.2991e-07,1.0491,1,4.8e-05,0.0015,4.8e-05,5e-06
