"ALambda_0","D_X","E850","SAC","SH2","SI","SIC","SIN","SIP","SLambda_0","SS","Su","U:0","U:1","U:2","XI","XI_VS","XI_alpha","XPB","XPB_VS","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","alphas","p","p_rgh","sourceXI_alpha","sourceXPB","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7084.2,1.6e-10,30,0.42149,0.00025056,0.2089,0.013451,0.030312,0.006622,1581.3,0.1053,0,-7.8007e-13,-1.9868e-15,0,7.1375,6.6705,0.091061,67.675,38.02,0.86341,3.9715,3.7117,0.050669,0,0.23279,19.233,19.233,1.8005e-07,1.3439,1.5555e-05,4.8373e-07,1.0051,1,0,0.0015,0,5e-06
7084.2,1.6e-10,27.874,0.42153,0.00025054,0.2089,0.01345,0.030313,0.0066224,1581.3,0.10531,0,-1.003e-12,1.1164e-15,0,7.1375,6.6705,0.091061,67.675,38.02,0.86341,3.9715,3.7117,0.050669,0,0.23279,19.203,19.233,1.8005e-07,1.3175,1.5249e-05,4.8373e-07,1.0051,1,3e-06,0.0015,3e-06,5e-06
7084.2,1.6e-10,25.747,0.42157,0.00025053,0.2089,0.013449,0.030314,0.0066229,1581.3,0.10532,0,-1.226e-12,4.2197e-15,0,7.1375,6.6705,0.091061,67.675,38.02,0.86341,3.9715,3.7117,0.050669,0,0.23279,19.174,19.233,1.8005e-07,1.2911,1.4944e-05,4.8373e-07,1.0051,1,6e-06,0.0015,6e-06,5e-06
7084.2,1.6e-10,23.932,0.42165,0.0002505,0.2089,0.013448,0.030316,0.0066239,1581.3,0.10533,0,-1.5302e-12,1.026e-14,0,7.1375,6.6705,0.091061,67.675,38.02,0.86341,3.9715,3.7117,0.050669,0,0.23279,19.144,19.233,1.8005e-07,1.2662,1.4655e-05,4.8372e-07,1.0051,1,9e-06,0.0015,9e-06,5e-06
7084.2,1.6e-10,22.429,0.42176,0.00025045,0.2089,0.013446,0.030318,0.0066253,1581.3,0.10534,0,-1.9157e-12,1.9237e-14,0,7.1375,6.6705,0.091061,67.675,38.019,0.8634,3.9715,3.7117,0.050669,0,0.23279,19.115,19.234,1.8005e-07,1.2428,1.4384e-05,4.8372e-07,1.0051,1,1.2e-05,0.0015,1.2e-05,5e-06
7084.1,1.6e-10,20.926,0.42187,0.00025041,0.2089,0.013443,0.030321,0.0066268,1581.3,0.10536,0,-2.3011e-12,2.8214e-14,0,7.1374,6.6705,0.09106,67.674,38.019,0.8634,3.9715,3.7117,0.050669,0,0.23279,19.085,19.234,1.8005e-07,1.2194,1.4114e-05,4.8372e-07,1.0051,1,1.5e-05,0.0015,1.5e-05,5e-06
7084.1,1.6e-10,19.803,0.42206,0.00025033,0.2089,0.01344,0.030325,0.0066292,1581.3,0.10539,0,-2.5817e-12,4.1207e-14,0,7.1374,6.6705,0.09106,67.674,38.019,0.86339,3.9715,3.7117,0.050669,0,0.23279,19.056,19.234,1.8005e-07,1.1976,1.3861e-05,4.8371e-07,1.0051,1,1.8e-05,0.0015,1.8e-05,5e-06
7084,1.6e-10,18.679,0.42224,0.00025026,0.2089,0.013436,0.030329,0.0066315,1581.3,0.10542,0,-2.8623e-12,5.4201e-14,0,7.1374,6.6705,0.09106,67.673,38.019,0.86339,3.9715,3.7117,0.050669,0,0.23279,19.026,19.234,1.8005e-07,1.1757,1.3608e-05,4.8371e-07,1.0051,1,2.1e-05,0.0015,2.1e-05,5e-06
7084,1.6e-10,17.667,0.42246,0.00025017,0.20889,0.013432,0.030334,0.0066343,1581.2,0.10545,0,-3.1073e-12,6.7859e-14,0,7.1374,6.6705,0.09106,67.673,38.019,0.86338,3.9715,3.7117,0.050668,0,0.23279,18.997,19.235,1.8005e-07,1.1542,1.3359e-05,4.837e-07,1.0051,1,2.4e-05,0.0015,2.4e-05,5e-06
7083.9,1.6e-10,16.767,0.42272,0.00025007,0.20889,0.013427,0.030339,0.0066375,1581.2,0.10549,0,-3.3165e-12,8.2181e-14,0,7.1374,6.6704,0.091059,67.672,38.018,0.86337,3.9715,3.7116,0.050668,0,0.23279,18.968,19.235,1.8005e-07,1.1331,1.3115e-05,4.837e-07,1.0051,1,2.7e-05,0.0015,2.7e-05,5e-06
7083.9,1.6e-10,15.866,0.42297,0.00024996,0.20889,0.013423,0.030345,0.0066408,1581.2,0.10553,0,-3.5258e-12,9.6503e-14,0,7.1373,6.6704,0.091059,67.672,38.018,0.86337,3.9714,3.7116,0.050668,0,0.23279,18.938,19.236,1.8005e-07,1.1119,1.287e-05,4.8369e-07,1.0051,1,3e-05,0.0015,3e-05,5e-06
7083.8,1.6e-10,15.114,0.42329,0.00024983,0.20889,0.013417,0.030352,0.0066449,1581.2,0.10558,0,-3.6847e-12,1.081e-13,0,7.1373,6.6704,0.091059,67.671,38.017,0.86336,3.9714,3.7116,0.050668,0,0.23279,18.909,19.236,1.8005e-07,1.0911,1.2628e-05,4.8368e-07,1.0051,1,3.3e-05,0.0015,3.3e-05,5e-06
7083.7,1.6e-10,14.363,0.42361,0.00024969,0.20888,0.013411,0.030359,0.0066489,1581.2,0.10563,0,-3.8435e-12,1.197e-13,0,7.1373,6.6704,0.091058,67.67,38.017,0.86335,3.9714,3.7116,0.050668,0,0.23278,18.88,19.236,1.8005e-07,1.0702,1.2387e-05,4.8367e-07,1.0051,1,3.6e-05,0.0015,3.6e-05,5e-06
7083.6,1.6e-10,13.667,0.42396,0.00024955,0.20888,0.013404,0.030367,0.0066534,1581.2,0.10568,0,-3.9831e-12,1.2842e-13,0,7.1373,6.6703,0.091058,67.67,38.017,0.86334,3.9714,3.7116,0.050668,0,0.23278,18.851,19.237,1.8005e-07,1.0495,1.2147e-05,4.8366e-07,1.0051,1,3.9e-05,0.0015,3.9e-05,5e-06
7083.5,1.6e-10,13.028,0.42434,0.00024938,0.20888,0.013397,0.030375,0.0066583,1581.2,0.10574,0,-4.1033e-12,1.3428e-13,0,7.1372,6.6703,0.091058,67.669,38.016,0.86332,3.9714,3.7116,0.050667,0,0.23278,18.821,19.238,1.8004e-07,1.0288,1.1907e-05,4.8365e-07,1.005,1,4.2e-05,0.0015,4.2e-05,5e-06
7083.4,1.6e-10,12.388,0.42472,0.00024922,0.20887,0.013389,0.030384,0.0066631,1581.1,0.1058,0,-4.2236e-12,1.4014e-13,0,7.1372,6.6703,0.091057,67.668,38.016,0.86331,3.9714,3.7115,0.050667,0,0.23278,18.792,19.238,1.8004e-07,1.0081,1.1668e-05,4.8364e-07,1.005,1,4.5e-05,0.0015,4.5e-05,5e-06
7083.3,1.6e-10,11.838,0.42516,0.00024903,0.20887,0.013381,0.030393,0.0066688,1581.1,0.10587,0,-4.3004e-12,1.373e-13,0,7.1371,6.6702,0.091057,67.667,38.015,0.8633,3.9713,3.7115,0.050667,0,0.23278,18.763,19.239,1.8004e-07,0.98768,1.1431e-05,4.8363e-07,1.005,1,4.8e-05,0.0015,4.8e-05,5e-06
7083.2,1.6e-10,11.288,0.42561,0.00024883,0.20886,0.013373,0.030403,0.0066744,1581.1,0.10594,0,-4.3771e-12,1.3446e-13,0,7.1371,6.6702,0.091056,67.666,38.014,0.86329,3.9713,3.7115,0.050666,0,0.23278,18.734,19.239,1.8004e-07,0.96722,1.1195e-05,4.8362e-07,1.005,1,5.1e-05,0.0015,5.1e-05,5e-06
7083.1,1.6e-10,10.774,0.42608,0.00024862,0.20886,0.013364,0.030414,0.0066804,1581.1,0.10601,0,-4.4276e-12,1.2616e-13,0,7.1371,6.6701,0.091056,67.665,38.014,0.86327,3.9713,3.7115,0.050666,0,0.23278,18.705,19.24,1.8004e-07,0.94689,1.0959e-05,4.8361e-07,1.005,1,5.4e-05,0.0015,5.4e-05,5e-06
7083,1.6e-10,10.296,0.42657,0.0002484,0.20885,0.013355,0.030425,0.0066867,1581.1,0.10609,0,-4.4517e-12,1.124e-13,0,7.137,6.6701,0.091055,67.663,38.013,0.86326,3.9713,3.7115,0.050666,0,0.23278,18.676,19.241,1.8004e-07,0.92667,1.0725e-05,4.836e-07,1.005,1,5.7e-05,0.0015,5.7e-05,5e-06
7082.9,1.6e-10,9.8185,0.42707,0.00024818,0.20885,0.013345,0.030436,0.0066931,1581,0.10617,0,-4.4758e-12,9.8631e-14,0,7.137,6.6701,0.091054,67.662,38.012,0.86324,3.9712,3.7114,0.050665,0,0.23277,18.647,19.241,1.8004e-07,0.90646,1.0491e-05,4.8358e-07,1.005,1,6e-05,0.0015,6e-05,5e-06
7082.7,1.6e-10,9.4012,0.42762,0.00024792,0.20884,0.013335,0.030448,0.0067001,1581,0.10625,0,-4.4351e-12,7.1262e-14,0,7.1369,6.67,0.091054,67.661,38.012,0.86323,3.9712,3.7114,0.050665,0,0.23277,18.618,19.242,1.8004e-07,0.88654,1.0261e-05,4.8357e-07,1.0049,1,6.3e-05,0.0015,6.3e-05,5e-06
7082.6,1.6e-10,8.984,0.42817,0.00024767,0.20884,0.013324,0.03046,0.0067072,1581,0.10634,0,-4.3943e-12,4.3893e-14,0,7.1369,6.67,0.091053,67.66,38.011,0.86321,3.9712,3.7114,0.050665,0,0.23277,18.589,19.243,1.8004e-07,0.86663,1.003e-05,4.8356e-07,1.0049,1,6.6e-05,0.0015,6.6e-05,5e-06
7082.4,1.6e-10,8.592,0.42875,0.0002474,0.20883,0.013314,0.030473,0.0067145,1581,0.10643,0,-4.3181e-12,8.5006e-15,0,7.1368,6.6699,0.091052,67.658,38.01,0.86319,3.9711,3.7113,0.050664,0,0.23277,18.56,19.244,1.8003e-07,0.84689,9.802e-06,4.8354e-07,1.0049,1,6.9e-05,0.0015,6.9e-05,5e-06
7082.3,1.6e-10,8.2255,0.42935,0.00024711,0.20883,0.013302,0.030486,0.0067222,1580.9,0.10653,0,-4.2063e-12,-3.4915e-14,0,7.1367,6.6698,0.091051,67.657,38.009,0.86317,3.9711,3.7113,0.050664,0,0.23277,18.531,19.245,1.8003e-07,0.82733,9.5756e-06,4.8353e-07,1.0049,1,7.2e-05,0.0015,7.2e-05,5e-06
7082.1,1.6e-10,7.859,0.42995,0.00024683,0.20882,0.013291,0.030499,0.0067299,1580.9,0.10662,0,-4.0945e-12,-7.8331e-14,0,7.1367,6.6698,0.091051,67.655,38.009,0.86316,3.9711,3.7113,0.050663,0,0.23276,18.502,19.246,1.8003e-07,0.80777,9.3492e-06,4.8351e-07,1.0049,1,7.5e-05,0.0015,7.5e-05,5e-06
7082,1.6e-10,7.5356,0.4306,0.00024651,0.20881,0.013279,0.030514,0.0067382,1580.9,0.10673,0,-3.9053e-12,-1.41e-13,0,7.1366,6.6697,0.09105,67.654,38.008,0.86314,3.971,3.7112,0.050663,0,0.23276,18.474,19.247,1.8003e-07,0.78864,9.1277e-06,4.8349e-07,1.0048,1,7.8e-05,0.0015,7.8e-05,5e-06
7081.8,1.6e-10,7.2123,0.43125,0.0002462,0.20881,0.013267,0.030528,0.0067465,1580.8,0.10683,0,-3.7162e-12,-2.0367e-13,0,7.1365,6.6697,0.091049,67.652,38.007,0.86312,3.971,3.7112,0.050662,0,0.23276,18.445,19.248,1.8003e-07,0.7695,8.9062e-06,4.8348e-07,1.0048,1,8.1e-05,0.0015,8.1e-05,5e-06
7081.7,1.6e-10,6.9075,0.43193,0.00024587,0.2088,0.013254,0.030543,0.0067551,1580.8,0.10694,0,-3.488e-12,-2.775e-13,0,7.1365,6.6696,0.091048,67.651,38.006,0.8631,3.9709,3.7112,0.050662,0,0.23276,18.416,19.249,1.8003e-07,0.7506,8.6875e-06,4.8346e-07,1.0048,1,8.4e-05,0.0015,8.4e-05,5e-06
