"ALambda_0","D_X","E850","SAC","SH2","SI","SIC","SIN","SIP","SLambda_0","SS","Su","U:0","U:1","U:2","XI","XI_VS","XI_alpha","XPB","XPB_VS","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","alphas","p","p_rgh","sourceXI_alpha","sourceXPB","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6578.9,2.543e-19,30,0.53951,0,0.20041,0.0099267,0.034317,0.0086463,1612.3,0.14383,2.22e-13,2.1461e-15,1.5861e-15,0,13.881,12.973,0.17709,62.848,35.308,0.80182,1.144,1.0692,0.014596,0.0064922,0.38826,20.324,20.324,5.1652e-08,1.3543,1.5674e-05,7.1462e-07,0.99351,1,0,0.0015,0,5e-06
6578,2.5138e-19,27.962,0.53954,0,0.20041,0.0099262,0.034318,0.0086467,1612.1,0.14384,3.2012e-10,2.1018e-15,2.7423e-15,0,13.88,12.972,0.17709,62.84,35.303,0.80172,1.144,1.0691,0.014595,0.0065999,0.38857,20.244,20.273,5.1651e-08,1.3289,1.5381e-05,7.1453e-07,0.9934,1,3e-06,0.0015,3e-06,5e-06
6577.2,2.4846e-19,25.923,0.53958,0,0.20041,0.0099256,0.034319,0.0086472,1611.9,0.14384,6.4002e-10,2.0576e-15,3.8985e-15,0,13.88,12.972,0.17708,62.832,35.299,0.80161,1.144,1.0691,0.014595,0.0067077,0.38888,20.164,20.223,5.165e-08,1.3035,1.5087e-05,7.1443e-07,0.99329,1,6e-06,0.0015,6e-06,5e-06
6575.9,2.4399e-19,24.181,0.53965,0,0.20041,0.0099246,0.03432,0.0086481,1611.7,0.14385,8.7408e-10,1.9779e-15,5.4571e-15,0,13.879,12.971,0.17707,62.819,35.292,0.80145,1.1439,1.0691,0.014594,0.0068789,0.38938,20.083,20.173,5.1647e-08,1.2795,1.4809e-05,7.1429e-07,0.99312,1,9e-06,0.0015,9e-06,5e-06
6574.1,2.3797e-19,22.735,0.53975,0,0.20041,0.0099231,0.034323,0.0086495,1611.3,0.14387,1.0223e-09,1.8628e-15,7.4181e-15,0,13.878,12.97,0.17706,62.802,35.282,0.80123,1.1438,1.069,0.014593,0.0071135,0.39005,20.003,20.122,5.1643e-08,1.257,1.4548e-05,7.1409e-07,0.99289,1,1.2e-05,0.0015,1.2e-05,5e-06
6572.3,2.3194e-19,21.288,0.53985,0,0.20041,0.0099215,0.034325,0.0086509,1611,0.14389,1.1705e-09,1.7477e-15,9.3791e-15,0,13.877,12.969,0.17705,62.785,35.272,0.80101,1.1437,1.0689,0.014592,0.0073482,0.39073,19.923,20.072,5.1639e-08,1.2344,1.4287e-05,7.139e-07,0.99265,1,1.5e-05,0.0015,1.5e-05,5e-06
6570.2,2.256e-19,20.197,0.54002,0,0.20041,0.009919,0.034329,0.0086532,1610.5,0.14391,1.2399e-09,1.5976e-15,1.0894e-14,0,13.875,12.968,0.17702,62.765,35.261,0.80076,1.1436,1.0687,0.01459,0.0076246,0.39151,19.893,20.072,5.1632e-08,1.2133,1.4043e-05,7.1367e-07,0.99238,1,1.8e-05,0.0015,1.8e-05,5e-06
6568.1,2.1926e-19,19.105,0.54019,0,0.20041,0.0099165,0.034333,0.0086554,1610.1,0.14394,1.3093e-09,1.4475e-15,1.2408e-14,0,13.874,12.966,0.177,62.745,35.25,0.80051,1.1434,1.0686,0.014588,0.0079011,0.39229,19.864,20.072,5.1625e-08,1.1923,1.3799e-05,7.1345e-07,0.9921,1,2.1e-05,0.0015,2.1e-05,5e-06
6565.9,2.1283e-19,18.119,0.54039,0,0.20041,0.0099135,0.034338,0.0086581,1609.7,0.14397,1.3793e-09,1.296e-15,1.381e-14,0,13.871,12.964,0.17697,62.724,35.238,0.80024,1.1432,1.0684,0.014585,0.0082015,0.39314,19.834,20.072,5.1617e-08,1.1715,1.3559e-05,7.1321e-07,0.9918,1,2.4e-05,0.0015,2.4e-05,5e-06
6563.5,2.0633e-19,17.239,0.54062,0,0.20041,0.0099101,0.034343,0.0086612,1609.2,0.14401,1.4498e-09,1.1432e-15,1.5098e-14,0,13.869,12.962,0.17694,62.701,35.225,0.79995,1.143,1.0682,0.014583,0.0085259,0.39404,19.804,20.071,5.1607e-08,1.1511,1.3323e-05,7.1295e-07,0.99147,1,2.7e-05,0.0015,2.7e-05,5e-06
