"ALambda_0","D_X","E850","SAC","SH2","SI","SIC","SIN","SIP","SLambda_0","SS","Su","U:0","U:1","U:2","XI","XI_VS","XI_alpha","XPB","XPB_VS","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","alphas","appXPB","p","p_rgh","sourceXI_alpha","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7076.2,1.6e-10,30,0.26551,0,0.24012,0.015674,0.02946,0.0055716,1599.7,0.043369,0,-2.9782e-13,-7.8837e-15,0,5.4189,5.0644,0.069135,67.599,37.977,0.86243,6.3372,5.9226,0.080851,0,0.21912,1.3373,19.173,19.173,2.8733e-07,1.5478e-05,2.3496e-07,1.0124,1,0,0.0015,0,5e-06
7076.2,1.6e-10,27.871,0.26555,0,0.24012,0.015673,0.029461,0.0055721,1599.6,0.043373,0,-4.1338e-13,-3.3614e-14,0,5.4189,5.0644,0.069135,67.599,37.977,0.86243,6.3372,5.9226,0.080851,0,0.21912,1.311,19.143,19.173,2.8733e-07,1.5174e-05,2.3496e-07,1.0124,1,3e-06,0.0015,3e-06,5e-06
7076.2,1.6e-10,25.743,0.26559,0,0.24012,0.015672,0.029462,0.0055725,1599.6,0.043377,0,-5.2894e-13,-5.9345e-14,0,5.4189,5.0644,0.069135,67.599,37.977,0.86243,6.3372,5.9226,0.080851,0,0.21912,1.2847,19.113,19.172,2.8733e-07,1.4869e-05,2.3495e-07,1.0124,1,6e-06,0.0015,6e-06,5e-06
7076.2,1.6e-10,23.927,0.26567,0,0.24012,0.01567,0.029463,0.0055735,1599.6,0.043386,0,-6.9695e-13,-1.1192e-13,0,5.4189,5.0644,0.069135,67.598,37.977,0.86243,6.3372,5.9226,0.080851,0,0.21912,1.2599,19.082,19.171,2.8733e-07,1.4582e-05,2.3495e-07,1.0124,1,9e-06,0.0015,9e-06,5e-06
7076.2,1.6e-10,22.422,0.26579,0,0.24012,0.015668,0.029466,0.0055749,1599.6,0.043399,0,-9.174e-13,-1.9135e-13,0,5.4189,5.0644,0.069135,67.598,37.977,0.86243,6.3372,5.9226,0.080851,0,0.21912,1.2366,19.051,19.17,2.8733e-07,1.4313e-05,2.3495e-07,1.0124,1,1.2e-05,0.0015,1.2e-05,5e-06
7076.1,1.6e-10,20.918,0.26591,0,0.24011,0.015665,0.029468,0.0055763,1599.6,0.043412,0,-1.1379e-12,-2.7078e-13,0,5.4189,5.0644,0.069135,67.598,37.976,0.86242,6.3372,5.9226,0.080851,0,0.21912,1.2133,19.02,19.169,2.8733e-07,1.4043e-05,2.3495e-07,1.0124,1,1.5e-05,0.0015,1.5e-05,5e-06
7076.1,1.6e-10,19.794,0.2661,0,0.24011,0.015661,0.029472,0.0055786,1599.6,0.043433,0,-1.3381e-12,-4.0607e-13,0,5.4189,5.0644,0.069135,67.598,37.976,0.86242,6.3372,5.9226,0.080851,0,0.21912,1.1916,18.99,19.168,2.8733e-07,1.3791e-05,2.3494e-07,1.0124,1,1.8e-05,0.0015,1.8e-05,5e-06
7076.1,1.6e-10,18.67,0.26629,0,0.24011,0.015657,0.029476,0.0055809,1599.6,0.043454,0,-1.5384e-12,-5.4136e-13,0,5.4189,5.0644,0.069135,67.597,37.976,0.86241,6.3372,5.9226,0.080851,0,0.21912,1.1698,18.959,19.167,2.8733e-07,1.354e-05,2.3494e-07,1.0124,1,2.1e-05,0.0015,2.1e-05,5e-06
7076,1.6e-10,17.658,0.26652,0,0.24011,0.015653,0.029481,0.0055836,1599.6,0.04348,0,-1.7334e-12,-7.0506e-13,0,5.4189,5.0644,0.069135,67.597,37.976,0.86241,6.3372,5.9226,0.08085,0,0.21912,1.1485,18.928,19.166,2.8733e-07,1.3292e-05,2.3493e-07,1.0124,1,2.4e-05,0.0015,2.4e-05,5e-06
7075.9,1.6e-10,16.757,0.26678,0,0.2401,0.015647,0.029486,0.0055867,1599.6,0.043509,0,-1.9234e-12,-8.9717e-13,0,5.4189,5.0644,0.069135,67.596,37.975,0.8624,6.3372,5.9226,0.08085,0,0.21912,1.1274,18.897,19.164,2.8733e-07,1.3049e-05,2.3492e-07,1.0124,1,2.7e-05,0.0015,2.7e-05,5e-06
