"ALambda_0","D_X","E850","SAC","SH2","SI","SIC","SIN","SIP","SLambda_0","SS","Su","U:0","U:1","U:2","XI","XI_VS","XI_alpha","XPB","XPB_VS","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","alphas","appXPB","p","p_rgh","sourceXI_alpha","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7354.4,1.728e-11,30,0.54679,0.00020855,0.20479,0.0089753,0.037295,0.0095787,1596.2,0.14208,0,2.1091e-13,1.4168e-13,0,5.9434,5.5546,0.075827,70.256,39.47,0.89634,4.1018,3.8335,0.052332,0,0.20399,1.4093,34.618,34.618,1.8596e-07,1.6311e-05,5.0434e-07,1.0245,1,0,0.0015,0,5e-06
7354.3,1.728e-11,27.823,0.54682,0.00020854,0.20479,0.0089746,0.037296,0.0095792,1596.2,0.14209,0,2.1137e-13,5.3515e-13,0,5.9434,5.5546,0.075827,70.255,39.469,0.89633,4.1018,3.8335,0.052332,0,0.20399,1.3808,34.596,34.626,1.8596e-07,1.5982e-05,5.0433e-07,1.0245,1,3e-06,0.0015,3e-06,5e-06
7354.2,1.728e-11,25.647,0.54685,0.00020852,0.20479,0.0089739,0.037297,0.0095796,1596.2,0.14209,0,2.1184e-13,9.2861e-13,0,5.9434,5.5546,0.075827,70.255,39.469,0.89632,4.1018,3.8335,0.052332,0,0.20399,1.3524,34.574,34.633,1.8596e-07,1.5652e-05,5.0433e-07,1.0245,1,6e-06,0.0015,6e-06,5e-06
7354.1,1.728e-11,23.794,0.54692,0.0002085,0.20479,0.0089726,0.037298,0.0095805,1596.1,0.1421,0,1.9688e-13,1.7058e-12,0,5.9434,5.5546,0.075827,70.253,39.468,0.8963,4.1018,3.8335,0.052332,0,0.20398,1.3255,34.556,34.645,1.8596e-07,1.5341e-05,5.0431e-07,1.0245,1,9e-06,0.0015,9e-06,5e-06
7353.9,1.728e-11,22.263,0.54702,0.00020846,0.20479,0.0089705,0.037301,0.0095818,1596.1,0.14212,0,1.6649e-13,2.8668e-12,0,5.9434,5.5545,0.075826,70.251,39.467,0.89628,4.1018,3.8335,0.052331,0,0.20398,1.3002,34.542,34.661,1.8596e-07,1.5049e-05,5.0428e-07,1.0244,1,1.2e-05,0.0015,1.2e-05,5e-06
7353.7,1.728e-11,20.733,0.54712,0.00020842,0.20479,0.0089685,0.037303,0.0095831,1596.1,0.14213,0,1.3611e-13,4.0279e-12,0,5.9433,5.5545,0.075826,70.249,39.466,0.89625,4.1018,3.8334,0.052331,0,0.20398,1.2749,34.528,34.677,1.8596e-07,1.4756e-05,5.0426e-07,1.0244,1,1.5e-05,0.0015,1.5e-05,5e-06
7353.3,1.728e-11,19.594,0.54729,0.00020836,0.20479,0.0089652,0.037307,0.0095853,1596,0.14216,0,8.9731e-14,5.9165e-12,0,5.9433,5.5545,0.075825,70.246,39.464,0.89621,4.1018,3.8334,0.052331,0,0.20398,1.2513,34.514,34.692,1.8596e-07,1.4483e-05,5.0422e-07,1.0244,1,1.8e-05,0.0015,1.8e-05,5e-06
7353,1.728e-11,18.456,0.54745,0.00020829,0.20479,0.008962,0.03731,0.0095874,1595.9,0.14218,0,4.3352e-14,7.8051e-12,0,5.9433,5.5544,0.075825,70.243,39.462,0.89617,4.1017,3.8334,0.05233,0,0.20398,1.2277,34.499,34.707,1.8596e-07,1.421e-05,5.0418e-07,1.0243,1,2.1e-05,0.0015,2.1e-05,5e-06
7352.6,1.728e-11,17.431,0.54765,0.00020822,0.20479,0.0089581,0.037315,0.0095899,1595.9,0.14221,0,2.5037e-14,1.0029e-11,0,5.9432,5.5544,0.075824,70.239,39.46,0.89612,4.1017,3.8333,0.05233,0,0.20398,1.2044,34.484,34.722,1.8596e-07,1.394e-05,5.0413e-07,1.0243,1,2.4e-05,0.0015,2.4e-05,5e-06
7352.1,1.728e-11,16.521,0.54787,0.00020812,0.20479,0.0089536,0.03732,0.0095929,1595.8,0.14224,0,3.4786e-14,1.2589e-11,0,5.9431,5.5543,0.075823,70.234,39.457,0.89606,4.1016,3.8333,0.052329,0,0.20398,1.1815,34.467,34.735,1.8595e-07,1.3675e-05,5.0407e-07,1.0242,1,2.7e-05,0.0015,2.7e-05,5e-06
