"ALambda_0","D_X","E850","SAC","SH2","SI","SIC","SIN","SIP","SLambda_0","SS","Su","U:0","U:1","U:2","XI","XI_VS","XI_alpha","XPB","XPB_VS","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","alphas","appXPB","p","p_rgh","sourceXI_alpha","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7516.9,1.728e-11,30,0.39616,0.00055733,0.21589,0.013883,0.030676,0.0066112,1623.1,0.092583,0,1.2584e-12,9.3931e-14,0,4.4804,4.1873,0.057161,71.809,40.342,0.91614,5.5141,5.1534,0.07035,0,0.18467,1.4281,28.886,28.886,2.5e-07,1.6529e-05,3.7716e-07,1.0437,1,0,0.0015,0,5e-06
7516.8,1.728e-11,27.79,0.3962,0.00055731,0.21589,0.013882,0.030677,0.0066117,1623.1,0.092588,0,1.6394e-12,3.6917e-13,0,4.4804,4.1873,0.057161,71.808,40.341,0.91613,5.5141,5.1534,0.07035,0,0.18467,1.3987,28.862,28.892,2.5e-07,1.6189e-05,3.7715e-07,1.0436,1,3e-06,0.0015,3e-06,5e-06
7516.7,1.728e-11,25.581,0.39624,0.0005573,0.21589,0.013881,0.030678,0.0066122,1623.1,0.092593,0,2.0205e-12,6.4441e-13,0,4.4804,4.1873,0.057161,71.807,40.341,0.91612,5.5141,5.1534,0.070349,0,0.18467,1.3694,28.838,28.897,2.5e-07,1.5849e-05,3.7714e-07,1.0436,1,6e-06,0.0015,6e-06,5e-06
7516.6,1.728e-11,23.701,0.39631,0.00055727,0.21589,0.01388,0.030679,0.0066132,1623.1,0.092603,0,2.5599e-12,1.1927e-12,0,4.4804,4.1873,0.057161,71.805,40.34,0.9161,5.5141,5.1533,0.070349,0,0.18467,1.3416,28.816,28.906,2.5e-07,1.5528e-05,3.7712e-07,1.0436,1,9e-06,0.0015,9e-06,5e-06
7516.3,1.728e-11,22.152,0.39643,0.00055723,0.21589,0.013877,0.030682,0.0066146,1623,0.092618,0,3.2576e-12,2.014e-12,0,4.4804,4.1873,0.057161,71.803,40.339,0.91608,5.5141,5.1533,0.070349,0,0.18467,1.3155,28.798,28.917,2.4999e-07,1.5226e-05,3.7709e-07,1.0436,1,1.2e-05,0.0015,1.2e-05,5e-06
7516.1,1.728e-11,20.603,0.39654,0.00055719,0.21589,0.013875,0.030685,0.0066161,1623,0.092634,0,3.9554e-12,2.8353e-12,0,4.4803,4.1872,0.057161,71.801,40.338,0.91605,5.5141,5.1533,0.070349,0,0.18467,1.2894,28.78,28.929,2.4999e-07,1.4924e-05,3.7707e-07,1.0436,1,1.5e-05,0.0015,1.5e-05,5e-06
7515.7,1.728e-11,19.453,0.39672,0.00055713,0.21589,0.013871,0.030689,0.0066185,1622.9,0.092659,0,4.5563e-12,4.1903e-12,0,4.4803,4.1872,0.057161,71.797,40.336,0.916,5.514,5.1533,0.070349,0,0.18467,1.265,28.762,28.94,2.4999e-07,1.4641e-05,3.7702e-07,1.0435,1,1.8e-05,0.0015,1.8e-05,5e-06
7515.3,1.728e-11,18.302,0.39691,0.00055706,0.21589,0.013868,0.030693,0.0066209,1622.8,0.092684,0,5.1573e-12,5.5454e-12,0,4.4803,4.1872,0.05716,71.794,40.334,0.91595,5.514,5.1533,0.070348,0,0.18467,1.2405,28.743,28.951,2.4999e-07,1.4358e-05,3.7697e-07,1.0435,1,2.1e-05,0.0015,2.1e-05,5e-06
7514.9,1.728e-11,17.269,0.39713,0.00055698,0.21588,0.013863,0.030698,0.0066237,1622.8,0.092713,0,5.73e-12,7.1532e-12,0,4.4803,4.1872,0.05716,71.789,40.331,0.9159,5.514,5.1532,0.070348,0,0.18467,1.2165,28.724,28.962,2.4999e-07,1.408e-05,3.7692e-07,1.0434,1,2.4e-05,0.0015,2.4e-05,5e-06
7514.4,1.728e-11,16.351,0.39738,0.00055688,0.21588,0.013858,0.030704,0.006627,1622.7,0.092748,0,6.2744e-12,9.0138e-12,0,4.4803,4.1872,0.05716,71.784,40.328,0.91583,5.5139,5.1532,0.070347,0,0.18467,1.1928,28.705,28.972,2.4999e-07,1.3805e-05,3.7686e-07,1.0433,1,2.7e-05,0.0015,2.7e-05,5e-06
