Dry density,Wet Density,Porosity
1066,1005,0.36709999999999998
1099,1006,0.71650000000000003
1034,1008,0.59119999999999995
1058,1008,0.65749999999999997
1122,1010,0.62450000000000006
1179,1012,0.69179999999999997
1124,1013,0.32569999999999999
1125,1015,0.58689999999999998
1132,1030,0.38729999999999998
1113,1036,0.4582
1121,1036,0.28270000000000001
