,0,1,2,3,4,5,6,7,8,9,SSout,SACout,SICout,SH2out,SINout,SIPout,SIout,XPBout,XSout,XIout,time
0,400.0,400.0,7e-06,0.0,100.0,20.0,150.0,250.0,100.0,100.0,400.0,400.0,7e-06,0.0,100.0,20.0,150.0,250.0,100.0,100.0,0.0
1,399.73317740583474,399.64064862380997,9.126294360157077e-06,0.006294421958924882,99.94960987307014,19.991218808868393,150.00269491365216,250.5699727480225,100.03863396793541,100.00768765092558,399.73317740583474,399.64064862380997,9.126294360157077e-06,0.006294421958924882,99.94960987307014,19.991218808868393,150.00269491365216,250.5699727480225,100.03863396793541,100.00768765092558,0.0025031289111389237
2,399.46567137681353,399.2805316366635,1.1256614463575802e-05,0.01258744386308897,99.8991023281854,19.98241712846094,150.0053908698948,251.1412698945178,100.07738962210536,100.0153782759991,399.46567137681353,399.2805316366635,1.1256614463575802e-05,0.01258744386308897,99.8991023281854,19.98241712846094,150.0053908698948,251.1412698945178,100.07738962210536,100.0153782759991,0.0050062578222778474
3,399.1974799921609,398.9196475477823,1.3390853002798616e-05,0.018874450323929096,99.84847669195734,19.973594841308852,150.00808787201046,251.7138991750788,100.11626724012935,100.02307188458433,399.1974799921609,398.9196475477823,1.3390853002798616e-05,0.018874450323929096,99.84847669195734,19.973594841308852,150.00808787201046,251.7138991750788,100.11626724012935,100.02307188458433,0.007509386733416772
4,398.9286013200316,398.55799485786923,1.5528905835142336e-05,0.0251509519109057,99.79773230024499,19.96475183155609,150.01078592328912,252.28786821721206,100.15526710131103,100.03076848606656,398.9286013200316,398.55799485786923,1.5528905835142336e-05,0.0251509519109057,99.79773230024499,19.96475183155609,150.01078592328912,252.28786821721206,100.15526710131103,100.03076848606656,0.010012515644555695
5,398.6590334176254,398.195572059302,1.7670672050447734e-05,0.03141258792718727,99.74686849841831,19.955887985005347,150.01348502702834,252.8631845372828,100.19438948661103,100.03846808985263,398.6590334176254,398.195572059302,1.7670672050447734e-05,0.03141258792718727,99.74686849841831,19.955887985005347,150.01348502702834,252.8631845372828,100.19438948661103,100.03846808985263,0.012515644555694618
6,398.3887743312905,397.83237763631763,1.9816054023694028e-05,0.0376551285739159,99.6958846415676,19.947003189154596,150.01618518653325,253.43985553808758,100.23363467862107,100.04617070537095,398.3887743312905,397.83237763631763,1.9816054023694028e-05,0.0376551285739159,99.6958846415676,19.947003189154596,150.01618518653325,253.43985553808758,100.23363467862107,100.04617070537095,0.015018773466833543
7,398.1178220966277,397.4684100651998,2.196495745422912e-05,0.04387447657524022,99.6447800946671,19.938097333225542,150.01888640511672,254.01788850696357,100.27300296153757,100.05387634207189,398.1178220966277,397.4684100651998,2.196495745422912e-05,0.04387447657524022,99.6447800946671,19.938097333225542,150.01888640511672,254.01788850696357,100.27300296153757,100.05387634207189,0.017521902377972465
8,397.8461747385963,397.1036678144691,2.411729139270575e-05,0.05006666830812829,99.59355423269562,19.929170308184784,150.02158868609928,254.59729061438983,100.3124946211353,100.06158500942759,397.8461747385963,397.1036678144691,2.411729139270575e-05,0.05006666830812829,99.59355423269562,19.929170308184784,150.02158868609928,254.59729061438983,100.3124946211353,100.06158500942759,0.02002503128911139
9,397.57383027162086,396.73814934507305,2.6272968256703824e-05,0.056227874476316664,99.54220644071896,19.920222006758095,150.0242920328091,255.17806891304215,100.35210994474053,100.06929671693229,397.57383027162086,396.73814934507305,2.6272968256703824e-05,0.056227874476316664,99.54220644071896,19.920222006758095,150.0242920328091,255.17806891304215,100.35210994474053,100.06929671693229,0.022528160200250315
10,397.3007866997654,396.37185311063007,2.8431903841062523e-05,0.062354400581252016,99.49073611396382,19.911252323443378,150.02699644858197,255.76023033694116,100.3918492211947,100.07701147410208,397.3007866997654,396.37185311063007,2.8431903841062523e-05,0.062354400581252016,99.49073611396382,19.911252323443378,150.02699644858197,255.76023033694116,100.3918492211947,100.07701147410208,0.025031289111389236
11,397.02704201663084,396.0047775574571,3.059401729755471e-05,0.06844268611487779,99.43914265774258,19.9022611544975,150.02970193676188,256.3437817023299,100.43171274085775,100.08472929047596,397.02704201663084,396.0047775574571,3.059401729755471e-05,0.06844268611487779,99.43914265774258,19.9022611544975,150.02970193676188,256.3437817023299,100.43171274085775,100.08472929047596,0.02753441802252816
12,396.7525942056876,395.636921124937,3.275923113951438e-05,0.07448930482469118,99.38742548753258,19.89324839795019,150.03240850070046,256.928729706768,100.47170079554893,100.09245017561499,396.7525942056876,395.636921124937,3.275923113951438e-05,0.07448930482469118,99.38742548753258,19.89324839795019,150.03240850070046,256.928729706768,100.47170079554893,100.09245017561499,0.030037546933667086
13,396.4774412403045,395.26828224564844,3.4927471215214986e-05,0.08049096367246461,99.33558402889938,19.884213953590585,150.03511614375728,257.51508093003065,100.51181367853133,100.10017413910269,396.4774412403045,395.26828224564844,3.4927471215214986e-05,0.08049096367246461,99.33558402889938,19.884213953590585,150.03511614375728,257.51508093003065,100.51181367853133,100.10017413910269,0.03254067584480601
14,396.2015810838555,394.89885934555645,3.7098666680540596e-05,0.08644450177635853,99.28361771742986,19.875157722955617,150.03782486929967,258.1028418348942,100.5520516844852,100.10790119054515,396.2015810838555,394.89885934555645,3.7098666680540596e-05,0.08644450177635853,99.28361771742986,19.875157722955617,150.03782486929967,258.1028418348942,100.5520516844852,100.10790119054515,0.03504380475594493
