"D_X","E850","SI","SLambda_0","Su","U:0","U:1","U:2","XI","XI_VS","XPB","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","sourceXI_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.728e-11,0.02258,0.21434,1604.2,0,-3.751e-12,5.7427e-12,0,6.9706,6.5146,65.717,0.83843,6.0652,5.6684,0.07738,0,2.75e-07,1.0047,1,7.8e-05,0.0015,7.8e-05,5e-06
1.728e-11,0.023298,0.21434,1604.2,0,-3.8919e-12,6.0876e-12,0,6.9704,6.5144,65.718,0.83844,6.065,5.6682,0.077378,0,2.7499e-07,1.0047,1,8.1e-05,0.0015,8.1e-05,5e-06
1.728e-11,0.024045,0.21433,1604.2,0,-4.0314e-12,6.4417e-12,0,6.9702,6.5142,65.718,0.83844,6.0648,5.6681,0.077376,0,2.7498e-07,1.0047,1,8.4e-05,0.0015,8.4e-05,5e-06
1.728e-11,0.024822,0.21432,1604.2,0,-4.1694e-12,6.8049e-12,0,6.97,6.514,65.719,0.83845,6.0647,5.6679,0.077374,0,2.7497e-07,1.0048,1,8.7e-05,0.0015,8.7e-05,5e-06
1.728e-11,0.025598,0.21432,1604.2,0,-4.3074e-12,7.1681e-12,0,6.9698,6.5138,65.72,0.83846,6.0645,5.6678,0.077372,0,2.7497e-07,1.0048,1,9e-05,0.0015,9e-05,5e-06
1.728e-11,0.026439,0.21431,1604.2,0,-4.4424e-12,7.5514e-12,0,6.9696,6.5136,65.72,0.83847,6.0643,5.6676,0.077369,0,2.7496e-07,1.0048,1,9.3e-05,0.0015,9.3e-05,5e-06
1.728e-11,0.027279,0.2143,1604.2,0,-4.5773e-12,7.9348e-12,0,6.9693,6.5134,65.721,0.83848,6.0641,5.6674,0.077367,0,2.7495e-07,1.0048,1,9.6e-05,0.0015,9.6e-05,5e-06
1.728e-11,0.028154,0.21429,1604.2,0,-4.7106e-12,8.3296e-12,0,6.9691,6.5132,65.722,0.83849,6.0639,5.6672,0.077365,0,2.7494e-07,1.0048,1,9.9e-05,0.0015,9.9e-05,5e-06
1.728e-11,0.029063,0.21429,1604.2,0,-4.8422e-12,8.7358e-12,0,6.9689,6.513,65.723,0.8385,6.0637,5.6671,0.077362,0,2.7493e-07,1.0048,1,0.000102,0.0015,0.000102,5e-06
1.728e-11,0.029973,0.21428,1604.2,0,-4.9739e-12,9.142e-12,0,6.9686,6.5127,65.724,0.83851,6.0635,5.6669,0.07736,0,2.7492e-07,1.0048,1,0.000105,0.0015,0.000105,5e-06
