"ALambda_0","D_X","E850","SAC","SH2","SI","SIC","SIN","SIP","SLambda_0","SS","Su","U:0","U:1","U:2","XI","XI_VS","XI_alpha","XPB","XPB_VS","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","alphas","appXPB","p","p_rgh","sourceXI_alpha","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6896.5,1.728e-11,0.014909,0.66518,0.00033957,0.21248,0.0060348,0.041608,0.011603,1601.9,0.14377,0,-3.2142e-14,2.0062e-14,0,6.9049,6.4532,0.088093,65.882,37.012,0.84053,5.9582,5.5684,0.076016,0,0.2522,-0.030827,33.026,33.026,2.7015e-07,-3.568e-07,2.5183e-07,1.0046,1,0,0.0015,0,5e-06
6896.5,1.728e-11,0.015299,0.66517,0.00033954,0.21247,0.0060348,0.041608,0.011603,1601.9,0.14377,0,-4.7758e-14,5.9569e-14,0,6.9049,6.4532,0.088093,65.882,37.012,0.84053,5.9582,5.5684,0.076016,0,0.2522,-0.030743,32.997,33.027,2.7015e-07,-3.5582e-07,2.5183e-07,1.0046,1,3e-06,0.0015,3e-06,5e-06
6896.5,1.728e-11,0.015689,0.66517,0.0003395,0.21247,0.0060348,0.041608,0.011603,1601.9,0.14377,0,-6.3375e-14,9.9075e-14,0,6.9049,6.4531,0.088093,65.882,37.012,0.84053,5.9582,5.5684,0.076016,0,0.2522,-0.030659,32.968,33.028,2.7014e-07,-3.5485e-07,2.5183e-07,1.0046,1,6e-06,0.0015,6e-06,5e-06
6896.5,1.728e-11,0.016201,0.66517,0.00033944,0.21247,0.0060348,0.041608,0.011603,1601.9,0.14377,0,-9.1169e-14,1.738e-13,0,6.9048,6.4531,0.088093,65.882,37.012,0.84053,5.9582,5.5684,0.076016,0,0.2522,-0.030549,32.939,33.029,2.7014e-07,-3.5358e-07,2.5183e-07,1.0046,1,9e-06,0.0015,9e-06,5e-06
6896.6,1.728e-11,0.016833,0.66517,0.00033935,0.21247,0.0060348,0.041608,0.011603,1601.9,0.14377,0,-1.3114e-13,2.8375e-13,0,6.9048,6.4531,0.088093,65.882,37.013,0.84054,5.9582,5.5684,0.076015,0,0.2522,-0.030413,32.911,33.03,2.7014e-07,-3.52e-07,2.5184e-07,1.0046,1,1.2e-05,0.0015,1.2e-05,5e-06
6896.6,1.728e-11,0.017465,0.66517,0.00033926,0.21247,0.0060348,0.041608,0.011603,1601.9,0.14377,0,-1.7111e-13,3.9369e-13,0,6.9048,6.4531,0.088092,65.882,37.013,0.84054,5.9582,5.5684,0.076015,0,0.2522,-0.030277,32.882,33.031,2.7014e-07,-3.5043e-07,2.5184e-07,1.0046,1,1.5e-05,0.0015,1.5e-05,5e-06
6896.6,1.728e-11,0.01801,0.66516,0.0003391,0.21247,0.0060348,0.041608,0.011603,1601.9,0.14378,0,-2.2993e-13,5.6041e-13,0,6.9047,6.453,0.088092,65.883,37.013,0.84054,5.9581,5.5683,0.076015,0,0.2522,-0.03016,32.853,33.032,2.7014e-07,-3.4907e-07,2.5184e-07,1.0046,1,1.8e-05,0.0015,1.8e-05,5e-06
6896.6,1.728e-11,0.018554,0.66516,0.00033895,0.21247,0.0060348,0.041608,0.011603,1601.9,0.14378,0,-2.8875e-13,7.2713e-13,0,6.9047,6.453,0.088091,65.883,37.013,0.84054,5.9581,5.5683,0.076014,0,0.2522,-0.030043,32.824,33.033,2.7014e-07,-3.4772e-07,2.5185e-07,1.0046,1,2.1e-05,0.0015,2.1e-05,5e-06
6896.6,1.728e-11,0.019138,0.66515,0.00033876,0.21247,0.0060348,0.041608,0.011603,1601.9,0.14379,0,-3.5702e-13,9.1665e-13,0,6.9046,6.4529,0.08809,65.883,37.013,0.84054,5.958,5.5683,0.076013,0,0.25219,-0.029917,32.795,33.033,2.7014e-07,-3.4627e-07,2.5186e-07,1.0046,1,2.4e-05,0.0015,2.4e-05,5e-06
6896.6,1.728e-11,0.01976,0.66515,0.00033855,0.21247,0.0060348,0.041608,0.011603,1601.9,0.14379,0,-4.3473e-13,1.129e-12,0,6.9046,6.4529,0.08809,65.883,37.013,0.84055,5.958,5.5682,0.076013,0,0.25219,-0.029784,32.766,33.033,2.7013e-07,-3.4472e-07,2.5187e-07,1.0046,1,2.7e-05,0.0015,2.7e-05,5e-06
