"ALambda_0","D_X","E850","SAC","SH2","SI","SIC","SIN","SIP","SLambda_0","SS","Su","U:0","U:1","U:2","XI","XI_VS","XI_alpha","XPB","XPB_VS","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","alphas","appXPB","p","p_rgh","sourceXI_alpha","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6773.1,1.728e-11,0.24958,0.72125,1.7306e-05,0.20282,0.0033962,0.045453,0.013136,1614.4,0.17649,0,1.1972e-12,1.8407e-14,0,9.8495,9.2051,0.12566,64.703,36.35,0.82548,4.1311,3.8609,0.052706,0,0.30403,0.017099,38.676,38.676,1.8726e-07,1.979e-07,4.2752e-07,1.0038,1,0,0.0015,0,5e-06
6773.1,1.728e-11,0.25607,0.72125,1.7267e-05,0.20282,0.0033962,0.045453,0.013136,1614.4,0.17649,0,1.6268e-12,4.184e-14,0,9.8495,9.2051,0.12566,64.703,36.35,0.82549,4.1311,3.8609,0.052706,0,0.30403,0.01837,38.646,38.676,1.8726e-07,2.1262e-07,4.2752e-07,1.0038,1,3e-06,0.0015,3e-06,5e-06
6773.1,1.728e-11,0.26255,0.72125,1.7229e-05,0.20282,0.0033962,0.045453,0.013136,1614.4,0.17649,0,2.0564e-12,6.5273e-14,0,9.8495,9.2051,0.12566,64.703,36.35,0.82549,4.1311,3.8609,0.052706,0,0.30403,0.019641,38.617,38.676,1.8726e-07,2.2733e-07,4.2752e-07,1.0038,1,6e-06,0.0015,6e-06,5e-06
6773.1,1.728e-11,0.27105,0.72125,1.7152e-05,0.20282,0.0033962,0.045453,0.013136,1614.4,0.17649,0,2.6772e-12,1.0478e-13,0,9.8494,9.2051,0.12566,64.703,36.35,0.82549,4.1311,3.8609,0.052705,0,0.30403,0.021304,38.587,38.677,1.8726e-07,2.4657e-07,4.2752e-07,1.0038,1,9e-06,0.0015,9e-06,5e-06
6773.1,1.728e-11,0.28155,0.72124,1.7038e-05,0.20281,0.0033962,0.045453,0.013136,1614.4,0.17649,0,3.4892e-12,1.6037e-13,0,9.8494,9.205,0.12566,64.703,36.35,0.82549,4.1311,3.8608,0.052705,0,0.30402,0.023358,38.558,38.677,1.8726e-07,2.7035e-07,4.2753e-07,1.0038,1,1.2e-05,0.0015,1.2e-05,5e-06
6773.1,1.728e-11,0.29206,0.72124,1.6924e-05,0.20281,0.0033963,0.045453,0.013136,1614.4,0.1765,0,4.3011e-12,2.1595e-13,0,9.8493,9.205,0.12566,64.703,36.35,0.82549,4.1311,3.8608,0.052705,0,0.30402,0.025412,38.528,38.677,1.8726e-07,2.9412e-07,4.2753e-07,1.0038,1,1.5e-05,0.0015,1.5e-05,5e-06
6773.1,1.728e-11,0.30111,0.72123,1.6737e-05,0.20281,0.0033963,0.045452,0.013136,1614.4,0.1765,0,5.0176e-12,2.8259e-13,0,9.8492,9.2049,0.12566,64.703,36.35,0.82549,4.131,3.8608,0.052704,0,0.30402,0.027171,38.498,38.677,1.8726e-07,3.1448e-07,4.2754e-07,1.0039,1,1.8e-05,0.0015,1.8e-05,5e-06
6773.1,1.728e-11,0.31016,0.72123,1.6549e-05,0.20281,0.0033963,0.045452,0.013136,1614.4,0.1765,0,5.734e-12,3.4923e-13,0,9.8491,9.2048,0.12566,64.703,36.35,0.82549,4.131,3.8607,0.052704,0,0.30402,0.02893,38.468,38.676,1.8725e-07,3.3484e-07,4.2754e-07,1.0039,1,2.1e-05,0.0015,2.1e-05,5e-06
6773.2,1.728e-11,0.31986,0.72122,1.6326e-05,0.20281,0.0033964,0.045452,0.013135,1614.4,0.17651,0,6.4015e-12,4.1637e-13,0,9.849,9.2047,0.12566,64.704,36.35,0.8255,4.131,3.8607,0.052703,0,0.30401,0.030809,38.438,38.676,1.8725e-07,3.5659e-07,4.2755e-07,1.0039,1,2.4e-05,0.0015,2.4e-05,5e-06
6773.2,1.728e-11,0.3302,0.72121,1.6067e-05,0.20281,0.0033964,0.045452,0.013135,1614.4,0.17651,0,7.0202e-12,4.8403e-13,0,9.8489,9.2046,0.12565,64.704,36.35,0.8255,4.1309,3.8607,0.052703,0,0.30401,0.032808,38.408,38.675,1.8725e-07,3.7973e-07,4.2756e-07,1.0039,1,2.7e-05,0.0015,2.7e-05,5e-06
