"ALambda_0","D_X","E850","SAC","SH2","SI","SIC","SIN","SIP","SLambda_0","SS","Su","U:0","U:1","U:2","XI","XI_VS","XI_alpha","XPB","XPB_VS","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","alphas","p","p_rgh","sourceXI_alpha","sourceXPB","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6697.2,1.6e-10,30,0.1223,0,0.27902,0.016483,0.029671,0.0050395,1658.9,0.006234,0,-1.929e-13,7.0475e-16,0,9.0698,8.4765,0.11571,63.978,35.943,0.81625,6.8049,6.3597,0.086818,0,0.31825,18.312,18.312,3.0854e-07,1.3187,1.5262e-05,1.3787e-07,1.0188,1,0,0.0015,0,5e-06
6697.2,1.6e-10,27.928,0.12234,0,0.27902,0.016482,0.029672,0.0050399,1658.9,0.006236,0,-1.8938e-13,3.5684e-15,0,9.0698,8.4765,0.11571,63.978,35.943,0.81624,6.8049,6.3597,0.086818,0,0.31825,18.283,18.312,3.0854e-07,1.2936,1.4972e-05,1.3787e-07,1.0188,1,3e-06,0.0015,3e-06,5e-06
6697.2,1.6e-10,25.857,0.12238,0,0.27902,0.016482,0.029673,0.0050404,1658.9,0.006238,0,-1.8587e-13,6.4321e-15,0,9.0698,8.4765,0.11571,63.978,35.943,0.81624,6.8049,6.3597,0.086818,0,0.31825,18.253,18.312,3.0854e-07,1.2685,1.4681e-05,1.3787e-07,1.0188,1,6e-06,0.0015,6e-06,5e-06
6697.2,1.6e-10,24.085,0.12246,0,0.27902,0.016481,0.029675,0.0050413,1658.9,0.0062421,0,-1.6545e-13,1.2488e-14,0,9.0698,8.4765,0.11571,63.978,35.943,0.81624,6.8049,6.3597,0.086818,0,0.31825,18.223,18.313,3.0854e-07,1.2449,1.4408e-05,1.3786e-07,1.0188,1,9e-06,0.0015,9e-06,5e-06
6697.2,1.6e-10,22.613,0.12257,0,0.27902,0.016479,0.029677,0.0050427,1658.9,0.0062481,0,-1.2813e-13,2.1736e-14,0,9.0698,8.4765,0.11571,63.978,35.943,0.81624,6.8049,6.3597,0.086818,0,0.31825,18.194,18.313,3.0854e-07,1.2227,1.4152e-05,1.3786e-07,1.0188,1,1.2e-05,0.0015,1.2e-05,5e-06
6697.2,1.6e-10,21.14,0.12269,0,0.27902,0.016478,0.029679,0.005044,1658.9,0.0062541,0,-9.0806e-14,3.0984e-14,0,9.0698,8.4765,0.11571,63.978,35.942,0.81623,6.8049,6.3597,0.086818,0,0.31825,18.164,18.313,3.0854e-07,1.2005,1.3895e-05,1.3786e-07,1.0188,1,1.5e-05,0.0015,1.5e-05,5e-06
6697.1,1.6e-10,20.035,0.12287,0,0.27902,0.016475,0.029683,0.0050463,1658.9,0.006264,0,-2.5761e-14,4.6751e-14,0,9.0698,8.4765,0.11571,63.977,35.942,0.81623,6.8049,6.3597,0.086817,0,0.31825,18.135,18.313,3.0854e-07,1.18,1.3657e-05,1.3785e-07,1.0188,1,1.8e-05,0.0015,1.8e-05,5e-06
6697.1,1.6e-10,18.931,0.12306,0,0.27901,0.016472,0.029687,0.0050485,1658.9,0.0062739,0,3.9284e-14,6.2518e-14,0,9.0698,8.4765,0.11571,63.977,35.942,0.81622,6.8049,6.3597,0.086817,0,0.31825,18.105,18.313,3.0854e-07,1.1594,1.3419e-05,1.3785e-07,1.0188,1,2.1e-05,0.0015,2.1e-05,5e-06
6697,1.6e-10,17.934,0.12328,0,0.27901,0.016469,0.029692,0.0050512,1658.9,0.0062858,0,1.0093e-13,8.1636e-14,0,9.0698,8.4765,0.11571,63.976,35.942,0.81622,6.8049,6.3597,0.086817,0,0.31825,18.076,18.313,3.0854e-07,1.1392,1.3186e-05,1.3784e-07,1.0188,1,2.4e-05,0.0015,2.4e-05,5e-06
6697,1.6e-10,17.045,0.12354,0,0.27901,0.016466,0.029697,0.0050542,1658.9,0.0062996,0,1.5917e-13,1.0411e-13,0,9.0698,8.4765,0.11571,63.976,35.941,0.81621,6.8049,6.3597,0.086817,0,0.31824,18.046,18.314,3.0854e-07,1.1194,1.2956e-05,1.3784e-07,1.0187,1,2.7e-05,0.0015,2.7e-05,5e-06
