"ALambda_0","D_X","E850","SAC","SH2","SI","SIC","SIN","SIP","SLambda_0","SS","Su","U:0","U:1","U:2","XI","XI_VS","XI_alpha","XPB","XPB_VS","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","alphas","p","p_rgh","sourceXI_alpha","sourceXPB","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6724,1.6e-10,30,0.13191,0.00087963,0.27565,0.016913,0.029698,0.0050789,1655.4,0.0079066,0,2.1858e-13,1.2886e-15,0,8.8224,8.2452,0.11256,64.234,36.087,0.81951,6.7825,6.3388,0.086533,0,0.31165,19.304,19.304,3.0752e-07,1.2189,1.4107e-05,1.4367e-07,1.0186,1,0,0.0015,0,5e-06
6724,1.6e-10,27.924,0.13195,0.00087962,0.27565,0.016912,0.029699,0.0050793,1655.4,0.0079089,0,3.2522e-13,4.648e-15,0,8.8224,8.2452,0.11256,64.234,36.087,0.81951,6.7825,6.3388,0.086533,0,0.31165,19.274,19.304,3.0752e-07,1.1956,1.3838e-05,1.4367e-07,1.0186,1,3e-06,0.0015,3e-06,5e-06
6724,1.6e-10,25.848,0.13199,0.00087961,0.27565,0.016911,0.0297,0.0050797,1655.4,0.0079111,0,4.3186e-13,8.0074e-15,0,8.8224,8.2452,0.11256,64.234,36.087,0.81951,6.7825,6.3388,0.086533,0,0.31165,19.245,19.304,3.0752e-07,1.1723,1.3568e-05,1.4367e-07,1.0186,1,6e-06,0.0015,6e-06,5e-06
6724,1.6e-10,24.073,0.13207,0.00087959,0.27565,0.01691,0.029701,0.0050806,1655.4,0.0079155,0,5.9869e-13,1.4485e-14,0,8.8224,8.2452,0.11256,64.234,36.087,0.81951,6.7825,6.3388,0.086533,0,0.31165,19.215,19.304,3.0752e-07,1.1504,1.3314e-05,1.4366e-07,1.0186,1,9e-06,0.0015,9e-06,5e-06
6724,1.6e-10,22.598,0.13218,0.00087956,0.27565,0.016907,0.029704,0.0050819,1655.4,0.0079221,0,8.2571e-13,2.4082e-14,0,8.8224,8.2452,0.11256,64.234,36.086,0.8195,6.7825,6.3388,0.086532,0,0.31165,19.185,19.304,3.0752e-07,1.1298,1.3076e-05,1.4366e-07,1.0186,1,1.2e-05,0.0015,1.2e-05,5e-06
6724,1.6e-10,21.124,0.1323,0.00087953,0.27565,0.016905,0.029706,0.0050832,1655.4,0.0079287,0,1.0527e-12,3.3678e-14,0,8.8224,8.2452,0.11256,64.234,36.086,0.8195,6.7825,6.3388,0.086532,0,0.31165,19.156,19.305,3.0752e-07,1.1092,1.2838e-05,1.4366e-07,1.0186,1,1.5e-05,0.0015,1.5e-05,5e-06
6723.9,1.6e-10,20.017,0.13248,0.00087948,0.27564,0.016901,0.02971,0.0050853,1655.4,0.0079397,0,1.3049e-12,4.9555e-14,0,8.8224,8.2452,0.11256,64.233,36.086,0.8195,6.7825,6.3388,0.086532,0,0.31165,19.126,19.305,3.0752e-07,1.0901,1.2617e-05,1.4365e-07,1.0186,1,1.8e-05,0.0015,1.8e-05,5e-06
6723.9,1.6e-10,18.911,0.13267,0.00087944,0.27564,0.016897,0.029713,0.0050874,1655.4,0.0079506,0,1.5571e-12,6.5432e-14,0,8.8224,8.2452,0.11256,64.233,36.086,0.81949,6.7825,6.3388,0.086532,0,0.31165,19.097,19.305,3.0752e-07,1.071,1.2396e-05,1.4365e-07,1.0186,1,2.1e-05,0.0015,2.1e-05,5e-06
6723.8,1.6e-10,17.913,0.13289,0.00087938,0.27564,0.016893,0.029718,0.0050899,1655.4,0.0079636,0,1.8178e-12,8.423e-14,0,8.8224,8.2452,0.11256,64.232,36.086,0.81949,6.7825,6.3388,0.086532,0,0.31165,19.067,19.305,3.0752e-07,1.0523,1.2179e-05,1.4364e-07,1.0186,1,2.4e-05,0.0015,2.4e-05,5e-06
6723.8,1.6e-10,17.024,0.13315,0.00087931,0.27563,0.016888,0.029723,0.0050928,1655.4,0.0079788,0,2.0871e-12,1.0595e-13,0,8.8224,8.2452,0.11256,64.232,36.085,0.81948,6.7825,6.3388,0.086532,0,0.31165,19.037,19.305,3.0752e-07,1.0339,1.1966e-05,1.4364e-07,1.0186,1,2.7e-05,0.0015,2.7e-05,5e-06
