"ALambda_0","D_X","E850","SAC","SH2","SI","SIC","SIN","SIP","SLambda_0","SS","Su","U:0","U:1","U:2","XI","XI_VS","XI_alpha","XPB","XPB_VS","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","alphas","p","p_rgh","sourceXI_alpha","sourceXPB","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7040.9,1.6e-10,30,0.30081,0.00091787,0.23135,0.015588,0.029712,0.0058155,1600.5,0.056137,0,-7.2176e-13,4.496e-15,0,6.0922,5.6936,0.077725,67.261,37.787,0.85812,5.894,5.5084,0.075196,0,0.23065,21.12,21.12,2.6723e-07,1.3335,1.5433e-05,2.7697e-07,1.011,1,0,0.0015,0,5e-06
7040.9,1.6e-10,27.877,0.30085,0.00091787,0.23135,0.015587,0.029713,0.005816,1600.5,0.056142,0,-9.5173e-13,1.8304e-14,0,6.0922,5.6936,0.077725,67.261,37.787,0.85812,5.894,5.5084,0.075196,0,0.23065,21.091,21.12,2.6723e-07,1.3073,1.5131e-05,2.7697e-07,1.011,1,3e-06,0.0015,3e-06,5e-06
7040.8,1.6e-10,25.754,0.30089,0.00091787,0.23135,0.015587,0.029714,0.0058165,1600.5,0.056147,0,-1.1817e-12,3.2113e-14,0,6.0922,5.6936,0.077725,67.261,37.787,0.85812,5.894,5.5084,0.075196,0,0.23065,21.061,21.121,2.6723e-07,1.2812,1.4828e-05,2.7697e-07,1.011,1,6e-06,0.0015,6e-06,5e-06
7040.8,1.6e-10,23.943,0.30096,0.00091786,0.23135,0.015585,0.029715,0.0058174,1600.5,0.056156,0,-1.4953e-12,5.7734e-14,0,6.0922,5.6936,0.077725,67.261,37.787,0.85812,5.894,5.5084,0.075196,0,0.23065,21.032,21.121,2.6723e-07,1.2565,1.4543e-05,2.7697e-07,1.011,1,9e-06,0.0015,9e-06,5e-06
7040.8,1.6e-10,22.441,0.30108,0.00091786,0.23135,0.015583,0.029718,0.0058189,1600.5,0.05617,0,-1.8925e-12,9.5167e-14,0,6.0922,5.6936,0.077725,67.26,37.787,0.85812,5.894,5.5084,0.075196,0,0.23065,21.003,21.121,2.6723e-07,1.2334,1.4275e-05,2.7697e-07,1.011,1,1.2e-05,0.0015,1.2e-05,5e-06
7040.8,1.6e-10,20.94,0.3012,0.00091785,0.23135,0.01558,0.02972,0.0058203,1600.5,0.056184,0,-2.2897e-12,1.326e-13,0,6.0922,5.6936,0.077725,67.26,37.787,0.85811,5.894,5.5084,0.075196,0,0.23065,20.973,21.122,2.6723e-07,1.2102,1.4007e-05,2.7696e-07,1.011,1,1.5e-05,0.0015,1.5e-05,5e-06
7040.7,1.6e-10,19.818,0.30139,0.00091784,0.23134,0.015577,0.029724,0.0058226,1600.4,0.056207,0,-2.5637e-12,1.9356e-13,0,6.0922,5.6936,0.077725,67.26,37.786,0.85811,5.894,5.5084,0.075196,0,0.23065,20.944,21.122,2.6723e-07,1.1886,1.3757e-05,2.7696e-07,1.011,1,1.8e-05,0.0015,1.8e-05,5e-06
7040.7,1.6e-10,18.696,0.30158,0.00091783,0.23134,0.015573,0.029728,0.005825,1600.4,0.05623,0,-2.8378e-12,2.5452e-13,0,6.0922,5.6936,0.077724,67.259,37.786,0.8581,5.894,5.5084,0.075196,0,0.23064,20.915,21.123,2.6723e-07,1.167,1.3507e-05,2.7695e-07,1.011,1,2.1e-05,0.0015,2.1e-05,5e-06
7040.6,1.6e-10,17.686,0.3018,0.00091782,0.23134,0.015569,0.029733,0.0058277,1600.4,0.056257,0,-3.057e-12,3.2527e-13,0,6.0921,5.6936,0.077724,67.259,37.786,0.8581,5.894,5.5084,0.075196,0,0.23064,20.885,21.123,2.6723e-07,1.1457,1.3261e-05,2.7695e-07,1.011,1,2.4e-05,0.0015,2.4e-05,5e-06
7040.6,1.6e-10,16.786,0.30206,0.00091781,0.23134,0.015564,0.029739,0.0058309,1600.4,0.056289,0,-3.2216e-12,4.0583e-13,0,6.0921,5.6936,0.077724,67.258,37.785,0.85809,5.894,5.5084,0.075196,0,0.23064,20.856,21.123,2.6723e-07,1.1248,1.3019e-05,2.7694e-07,1.011,1,2.7e-05,0.0015,2.7e-05,5e-06
7040.5,1.6e-10,15.886,0.30232,0.00091779,0.23133,0.015559,0.029744,0.0058341,1600.4,0.05632,0,-3.3861e-12,4.8638e-13,0,6.0921,5.6936,0.077724,67.258,37.785,0.85808,5.8939,5.5084,0.075196,0,0.23064,20.826,21.124,2.6723e-07,1.1039,1.2777e-05,2.7693e-07,1.011,1,3e-05,0.0015,3e-05,5e-06
7040.4,1.6e-10,15.135,0.30265,0.00091778,0.23133,0.015552,0.029751,0.0058381,1600.4,0.056361,0,-3.4653e-12,5.8707e-13,0,6.0921,5.6936,0.077724,67.257,37.785,0.85807,5.8939,5.5084,0.075196,0,0.23064,20.797,21.124,2.6723e-07,1.0833,1.2538e-05,2.7692e-07,1.011,1,3.3e-05,0.0015,3.3e-05,5e-06
7040.4,1.6e-10,14.384,0.30297,0.00091776,0.23132,0.015546,0.029758,0.0058421,1600.4,0.056401,0,-3.5444e-12,6.8775e-13,0,6.0921,5.6935,0.077724,67.256,37.784,0.85806,5.8939,5.5083,0.075195,0,0.23064,20.767,21.124,2.6723e-07,1.0627,1.23e-05,2.7691e-07,1.011,1,3.6e-05,0.0015,3.6e-05,5e-06
7040.3,1.6e-10,13.688,0.30333,0.00091774,0.23132,0.015539,0.029766,0.0058465,1600.4,0.056445,0,-3.5942e-12,7.9703e-13,0,6.0921,5.6935,0.077724,67.255,37.784,0.85805,5.8939,5.5083,0.075195,0,0.23064,20.738,21.124,2.6723e-07,1.0422,1.2062e-05,2.769e-07,1.011,1,3.9e-05,0.0015,3.9e-05,5e-06
7040.2,1.6e-10,13.049,0.30372,0.00091772,0.23131,0.015531,0.029774,0.0058513,1600.3,0.056493,0,-3.6146e-12,9.1492e-13,0,6.0921,5.6935,0.077723,67.254,37.783,0.85804,5.8939,5.5083,0.075195,0,0.23064,20.708,21.124,2.6723e-07,1.0217,1.1826e-05,2.7689e-07,1.011,1,4.2e-05,0.0015,4.2e-05,5e-06
7040.1,1.6e-10,12.41,0.30411,0.0009177,0.23131,0.015524,0.029783,0.0058561,1600.3,0.056541,0,-3.6349e-12,1.0328e-12,0,6.0921,5.6935,0.077723,67.253,37.783,0.85803,5.8939,5.5083,0.075195,0,0.23064,20.678,21.124,2.6723e-07,1.0013,1.1589e-05,2.7688e-07,1.0109,1,4.5e-05,0.0015,4.5e-05,5e-06
7040,1.6e-10,11.86,0.30456,0.00091767,0.2313,0.015515,0.029792,0.0058617,1600.3,0.056597,0,-3.6179e-12,1.1694e-12,0,6.092,5.6935,0.077723,67.252,37.782,0.85802,5.8939,5.5083,0.075195,0,0.23064,20.648,21.124,2.6722e-07,0.9811,1.1355e-05,2.7687e-07,1.0109,1,4.8e-05,0.0015,4.8e-05,5e-06
7039.9,1.6e-10,11.31,0.30502,0.00091765,0.2313,0.015506,0.029802,0.0058672,1600.3,0.056653,0,-3.6008e-12,1.306e-12,0,6.092,5.6935,0.077723,67.251,37.782,0.858,5.8938,5.5083,0.075194,0,0.23064,20.619,21.124,2.6722e-07,0.96088,1.1121e-05,2.7686e-07,1.0109,1,5.1e-05,0.0015,5.1e-05,5e-06
