"ALambda_0","D_X","E850","SAC","SH2","SI","SIC","SIN","SIP","SLambda_0","SS","Su","U:0","U:1","U:2","XI","XI_VS","XI_alpha","XPB","XPB_VS","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","alphas","p","p_rgh","sourceXI_alpha","sourceXPB","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6917.5,1.6e-10,13.791,0.22726,0,0.24938,0.015868,0.029467,0.005402,1624.1,0.03074,0,4.4087e-12,1.3976e-13,0,7.0237,6.5642,0.08961,66.083,37.125,0.84309,6.4439,6.0223,0.082212,0,0.26143,20.507,20.894,2.9215e-07,1.1133,1.2885e-05,2.0362e-07,1.0149,1,3.9e-05,0.0015,3.9e-05,5e-06
6917.4,1.6e-10,13.153,0.22765,0,0.24937,0.015862,0.029475,0.0054069,1624.1,0.030779,0,4.7448e-12,1.63e-13,0,7.0237,6.5642,0.08961,66.082,37.125,0.84308,6.4439,6.0223,0.082212,0,0.26143,20.478,20.894,2.9215e-07,1.0919,1.2638e-05,2.0361e-07,1.0149,1,4.2e-05,0.0015,4.2e-05,5e-06
6917.3,1.6e-10,12.515,0.22805,0,0.24937,0.015857,0.029484,0.0054117,1624.1,0.030818,0,5.0808e-12,1.8624e-13,0,7.0237,6.5642,0.08961,66.081,37.124,0.84307,6.4439,6.0223,0.082212,0,0.26143,20.448,20.894,2.9215e-07,1.0705,1.239e-05,2.036e-07,1.0149,1,4.5e-05,0.0015,4.5e-05,5e-06
6917.2,1.6e-10,11.965,0.2285,0,0.24936,0.01585,0.029494,0.0054174,1624,0.030863,0,5.3965e-12,2.1358e-13,0,7.0237,6.5642,0.089609,66.08,37.124,0.84306,6.4439,6.0223,0.082212,0,0.26143,20.418,20.894,2.9215e-07,1.0493,1.2144e-05,2.0359e-07,1.0149,1,4.8e-05,0.0015,4.8e-05,5e-06
6917.1,1.6e-10,11.415,0.22895,0,0.24935,0.015843,0.029504,0.0054231,1624,0.030909,0,5.7122e-12,2.4091e-13,0,7.0237,6.5642,0.089609,66.079,37.123,0.84305,6.4439,6.0223,0.082212,0,0.26143,20.389,20.894,2.9215e-07,1.0281,1.1899e-05,2.0357e-07,1.0149,1,5.1e-05,0.0015,5.1e-05,5e-06
6917,1.6e-10,10.901,0.22944,0,0.24934,0.015836,0.029514,0.0054291,1624,0.030957,0,6.0168e-12,2.7067e-13,0,7.0237,6.5642,0.089609,66.078,37.123,0.84303,6.4438,6.0223,0.082211,0,0.26143,20.359,20.894,2.9215e-07,1.007,1.1655e-05,2.0356e-07,1.0149,1,5.4e-05,0.0015,5.4e-05,5e-06
6916.9,1.6e-10,10.424,0.22995,0,0.24934,0.015829,0.029525,0.0054354,1624,0.031008,0,6.3103e-12,3.0285e-13,0,7.0237,6.5642,0.089609,66.077,37.122,0.84302,6.4438,6.0223,0.082211,0,0.26143,20.329,20.894,2.9215e-07,0.98602,1.1412e-05,2.0355e-07,1.0148,1,5.7e-05,0.0015,5.7e-05,5e-06
6916.8,1.6e-10,9.946,0.23046,0,0.24933,0.015821,0.029537,0.0054418,1624,0.03106,0,6.6039e-12,3.3503e-13,0,7.0237,6.5642,0.089609,66.076,37.121,0.84301,6.4438,6.0223,0.082211,0,0.26143,20.3,20.894,2.9215e-07,0.96506,1.117e-05,2.0354e-07,1.0148,1,6e-05,0.0015,6e-05,5e-06
6916.7,1.6e-10,9.5281,0.23103,0,0.24932,0.015813,0.029549,0.0054489,1623.9,0.031117,0,6.8755e-12,3.7115e-13,0,7.0237,6.5642,0.089609,66.075,37.121,0.84299,6.4438,6.0223,0.082211,0,0.26143,20.27,20.894,2.9215e-07,0.9444,1.0931e-05,2.0352e-07,1.0148,1,6.3e-05,0.0015,6.3e-05,5e-06
6916.6,1.6e-10,9.1102,0.2316,0,0.24931,0.015805,0.029562,0.005456,1623.9,0.031175,0,7.1471e-12,4.0726e-13,0,7.0237,6.5642,0.089609,66.074,37.12,0.84297,6.4438,6.0222,0.082211,0,0.26143,20.24,20.894,2.9215e-07,0.92374,1.0691e-05,2.0351e-07,1.0148,1,6.6e-05,0.0015,6.6e-05,5e-06
6916.4,1.6e-10,8.7175,0.23219,0,0.2493,0.015796,0.029575,0.0054633,1623.9,0.031235,0,7.409e-12,4.4565e-13,0,7.0236,6.5641,0.089609,66.072,37.119,0.84296,6.4438,6.0222,0.082211,0,0.26143,20.21,20.894,2.9215e-07,0.90325,1.0454e-05,2.0349e-07,1.0148,1,6.9e-05,0.0015,6.9e-05,5e-06
6916.3,1.6e-10,8.3499,0.23281,0,0.24929,0.015787,0.029588,0.0054711,1623.9,0.031298,0,7.6611e-12,4.8632e-13,0,7.0236,6.5641,0.089608,66.071,37.119,0.84294,6.4438,6.0222,0.082211,0,0.26143,20.181,20.894,2.9215e-07,0.88295,1.0219e-05,2.0348e-07,1.0148,1,7.2e-05,0.0015,7.2e-05,5e-06
6916.2,1.6e-10,7.9824,0.23343,0,0.24928,0.015778,0.029602,0.0054788,1623.8,0.031361,0,7.9133e-12,5.2699e-13,0,7.0236,6.5641,0.089608,66.07,37.118,0.84293,6.4438,6.0222,0.08221,0,0.26143,20.151,20.894,2.9215e-07,0.86264,9.9842e-06,2.0346e-07,1.0147,1,7.5e-05,0.0015,7.5e-05,5e-06
6916,1.6e-10,7.6577,0.2341,0,0.24927,0.015768,0.029616,0.0054871,1623.8,0.03143,0,8.1478e-12,5.7122e-13,0,7.0236,6.5641,0.089608,66.068,37.117,0.84291,6.4438,6.0222,0.08221,0,0.26143,20.121,20.894,2.9215e-07,0.84275,9.754e-06,2.0345e-07,1.0147,1,7.8e-05,0.0015,7.8e-05,5e-06
