"ALambda_0","D_X","E850","SAC","SH2","SI","SIC","SIN","SIP","SLambda_0","SS","Su","U:0","U:1","U:2","XI","XI_VS","XI_alpha","XPB","XPB_VS","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","alphas","p","p_rgh","sourceXI_alpha","sourceXPB","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6942.6,1.6e-10,30,0.23731,0,0.24629,0.015766,0.029424,0.0054319,1620.7,0.034327,0,4.2538e-13,2.1691e-15,0,6.8356,6.3884,0.087209,66.323,37.26,0.84615,6.3774,5.9602,0.081363,0,0.25578,22.118,22.118,2.8914e-07,1.4259,1.6504e-05,2.1377e-07,1.0147,1,0,0.0015,0,5e-06
6942.6,1.6e-10,27.891,0.23735,0,0.24629,0.015766,0.029425,0.0054324,1620.7,0.034331,0,6.0679e-13,6.0362e-15,0,6.8356,6.3884,0.087209,66.322,37.26,0.84615,6.3774,5.9602,0.081363,0,0.25578,22.089,22.119,2.8914e-07,1.3983,1.6184e-05,2.1377e-07,1.0147,1,3e-06,0.0015,3e-06,5e-06
6942.6,1.6e-10,25.783,0.23739,0,0.24629,0.015765,0.029426,0.0054329,1620.7,0.034335,0,7.8821e-13,9.9032e-15,0,6.8356,6.3884,0.087209,66.322,37.26,0.84615,6.3774,5.9602,0.081363,0,0.25578,22.059,22.119,2.8914e-07,1.3706,1.5863e-05,2.1377e-07,1.0147,1,6e-06,0.0015,6e-06,5e-06
6942.6,1.6e-10,23.982,0.23746,0,0.24629,0.015764,0.029427,0.0054339,1620.7,0.034343,0,1.0591e-12,1.7887e-14,0,6.8356,6.3884,0.087209,66.322,37.26,0.84615,6.3774,5.9602,0.081363,0,0.25578,22.03,22.119,2.8914e-07,1.3445,1.5561e-05,2.1376e-07,1.0147,1,9e-06,0.0015,9e-06,5e-06
6942.6,1.6e-10,22.489,0.23758,0,0.24629,0.015762,0.02943,0.0054354,1620.7,0.034354,0,1.4193e-12,2.9988e-14,0,6.8356,6.3884,0.087209,66.322,37.259,0.84614,6.3774,5.9602,0.081363,0,0.25578,22,22.119,2.8914e-07,1.32,1.5278e-05,2.1376e-07,1.0147,1,1.2e-05,0.0015,1.2e-05,5e-06
6942.5,1.6e-10,20.996,0.2377,0,0.24629,0.015761,0.029433,0.0054369,1620.7,0.034366,0,1.7796e-12,4.209e-14,0,6.8356,6.3884,0.087209,66.322,37.259,0.84614,6.3774,5.9602,0.081363,0,0.25578,21.97,22.119,2.8914e-07,1.2955,1.4994e-05,2.1376e-07,1.0147,1,1.5e-05,0.0015,1.5e-05,5e-06
6942.5,1.6e-10,19.879,0.23789,0,0.24628,0.015758,0.029437,0.0054393,1620.7,0.034385,0,2.1238e-12,6.0328e-14,0,6.8356,6.3884,0.087209,66.321,37.259,0.84614,6.3774,5.9602,0.081363,0,0.25578,21.941,22.119,2.8914e-07,1.2726,1.473e-05,2.1375e-07,1.0147,1,1.8e-05,0.0015,1.8e-05,5e-06
6942.4,1.6e-10,18.762,0.23808,0,0.24628,0.015755,0.029441,0.0054416,1620.7,0.034404,0,2.468e-12,7.8566e-14,0,6.8356,6.3884,0.087209,66.321,37.259,0.84613,6.3774,5.9601,0.081363,0,0.25578,21.911,22.119,2.8914e-07,1.2498,1.4465e-05,2.1375e-07,1.0147,1,2.1e-05,0.0015,2.1e-05,5e-06
6942.4,1.6e-10,17.755,0.23831,0,0.24628,0.015752,0.029446,0.0054445,1620.7,0.034427,0,2.7966e-12,1.0001e-13,0,6.8356,6.3884,0.087209,66.32,37.259,0.84612,6.3774,5.9601,0.081363,0,0.25578,21.882,22.119,2.8914e-07,1.2273,1.4205e-05,2.1374e-07,1.0147,1,2.4e-05,0.0015,2.4e-05,5e-06
6942.3,1.6e-10,16.858,0.23857,0,0.24627,0.015748,0.029452,0.0054478,1620.7,0.034454,0,3.1095e-12,1.2465e-13,0,6.8355,6.3884,0.087209,66.32,37.258,0.84612,6.3773,5.9601,0.081363,0,0.25578,21.852,22.119,2.8914e-07,1.2052,1.3949e-05,2.1374e-07,1.0147,1,2.7e-05,0.0015,2.7e-05,5e-06
6942.3,1.6e-10,15.961,0.23883,0,0.24627,0.015745,0.029457,0.0054511,1620.6,0.03448,0,3.4225e-12,1.4929e-13,0,6.8355,6.3884,0.087209,66.319,37.258,0.84611,6.3773,5.9601,0.081363,0,0.25578,21.822,22.12,2.8914e-07,1.1831,1.3694e-05,2.1373e-07,1.0147,1,3e-05,0.0015,3e-05,5e-06
6942.2,1.6e-10,15.212,0.23916,0,0.24627,0.01574,0.029465,0.0054552,1620.6,0.034514,0,3.697e-12,1.7881e-13,0,6.8355,6.3883,0.087209,66.318,37.258,0.8461,6.3773,5.9601,0.081363,0,0.25578,21.793,22.12,2.8914e-07,1.1613,1.3441e-05,2.1372e-07,1.0147,1,3.3e-05,0.0015,3.3e-05,5e-06
6942.1,1.6e-10,14.463,0.23948,0,0.24626,0.015735,0.029472,0.0054593,1620.6,0.034548,0,3.9715e-12,2.0832e-13,0,6.8355,6.3883,0.087209,66.318,37.257,0.84609,6.3773,5.9601,0.081363,0,0.25578,21.763,22.12,2.8914e-07,1.1396,1.3189e-05,2.1371e-07,1.0147,1,3.6e-05,0.0015,3.6e-05,5e-06
6942.1,1.6e-10,13.769,0.23984,0,0.24626,0.01573,0.02948,0.0054638,1620.6,0.034585,0,4.2268e-12,2.4064e-13,0,6.8355,6.3883,0.087208,66.317,37.257,0.84608,6.3773,5.9601,0.081363,0,0.25578,21.733,22.12,2.8914e-07,1.1179,1.2938e-05,2.137e-07,1.0147,1,3.9e-05,0.0015,3.9e-05,5e-06
6942,1.6e-10,13.131,0.24024,0,0.24625,0.015724,0.029489,0.0054688,1620.6,0.034625,0,4.4629e-12,2.7576e-13,0,6.8355,6.3883,0.087208,66.316,37.256,0.84607,6.3773,5.9601,0.081363,0,0.25578,21.703,22.12,2.8914e-07,1.0963,1.2689e-05,2.1369e-07,1.0146,1,4.2e-05,0.0015,4.2e-05,5e-06
6941.9,1.6e-10,12.493,0.24063,0,0.24624,0.015719,0.029497,0.0054737,1620.6,0.034666,0,4.6989e-12,3.1087e-13,0,6.8355,6.3883,0.087208,66.315,37.256,0.84606,6.3773,5.9601,0.081363,0,0.25578,21.674,22.119,2.8914e-07,1.0747,1.2439e-05,2.1368e-07,1.0146,1,4.5e-05,0.0015,4.5e-05,5e-06
6941.8,1.6e-10,11.943,0.24108,0,0.24624,0.015712,0.029507,0.0054794,1620.6,0.034713,0,4.8991e-12,3.504e-13,0,6.8355,6.3883,0.087208,66.314,37.255,0.84605,6.3773,5.9601,0.081362,0,0.25578,21.644,22.119,2.8914e-07,1.0533,1.2191e-05,2.1367e-07,1.0146,1,4.8e-05,0.0015,4.8e-05,5e-06
6941.7,1.6e-10,11.393,0.24154,0,0.24623,0.015706,0.029517,0.0054851,1620.5,0.03476,0,5.0993e-12,3.8993e-13,0,6.8355,6.3883,0.087208,66.313,37.255,0.84604,6.3773,5.9601,0.081362,0,0.25578,21.614,22.119,2.8914e-07,1.032,1.1944e-05,2.1366e-07,1.0146,1,5.1e-05,0.0015,5.1e-05,5e-06
6941.6,1.6e-10,10.879,0.24202,0,0.24622,0.015699,0.029528,0.0054912,1620.5,0.03481,0,5.284e-12,4.3206e-13,0,6.8355,6.3883,0.087208,66.312,37.254,0.84602,6.3773,5.9601,0.081362,0,0.25578,21.584,22.119,2.8914e-07,1.0107,1.1698e-05,2.1365e-07,1.0146,1,5.4e-05,0.0015,5.4e-05,5e-06
6941.4,1.6e-10,10.401,0.24253,0,0.24622,0.015692,0.029539,0.0054976,1620.5,0.034864,0,5.4532e-12,4.7681e-13,0,6.8355,6.3883,0.087208,66.311,37.254,0.84601,6.3773,5.9601,0.081362,0,0.25578,21.554,22.119,2.8914e-07,0.98962,1.1454e-05,2.1363e-07,1.0146,1,5.7e-05,0.0015,5.7e-05,5e-06
6941.3,1.6e-10,9.9236,0.24305,0,0.24621,0.015684,0.029551,0.005504,1620.5,0.034918,0,5.6225e-12,5.2156e-13,0,6.8354,6.3883,0.087208,66.31,37.253,0.84599,6.3773,5.9601,0.081362,0,0.25578,21.525,22.119,2.8914e-07,0.96851,1.121e-05,2.1362e-07,1.0146,1,6e-05,0.0015,6e-05,5e-06
6941.2,1.6e-10,9.5058,0.24361,0,0.2462,0.015676,0.029563,0.0055112,1620.4,0.034978,0,5.7655e-12,5.7033e-13,0,6.8354,6.3883,0.087207,66.309,37.252,0.84598,6.3772,5.96,0.081362,0,0.25578,21.495,22.119,2.8914e-07,0.94769,1.0969e-05,2.136e-07,1.0145,1,6.3e-05,0.0015,6.3e-05,5e-06
6941.1,1.6e-10,9.088,0.24418,0,0.24619,0.015668,0.029576,0.0055183,1620.4,0.035037,0,5.9086e-12,6.1911e-13,0,6.8354,6.3882,0.087207,66.308,37.252,0.84596,6.3772,5.96,0.081362,0,0.25578,21.465,22.119,2.8914e-07,0.92688,1.0728e-05,2.1359e-07,1.0145,1,6.6e-05,0.0015,6.6e-05,5e-06
6940.9,1.6e-10,8.6954,0.24478,0,0.24618,0.015659,0.029589,0.0055257,1620.4,0.0351,0,6.0413e-12,6.703e-13,0,6.8354,6.3882,0.087207,66.306,37.251,0.84595,6.3772,5.96,0.081361,0,0.25578,21.435,22.119,2.8914e-07,0.90624,1.0489e-05,2.1357e-07,1.0145,1,6.9e-05,0.0015,6.9e-05,5e-06
6940.8,1.6e-10,8.328,0.2454,0,0.24617,0.01565,0.029602,0.0055335,1620.4,0.035166,0,6.1638e-12,7.239e-13,0,6.8354,6.3882,0.087207,66.305,37.25,0.84593,6.3772,5.96,0.081361,0,0.25577,21.405,22.118,2.8914e-07,0.88579,1.0252e-05,2.1356e-07,1.0145,1,7.2e-05,0.0015,7.2e-05,5e-06
6940.7,1.6e-10,7.9606,0.24601,0,0.24616,0.015642,0.029616,0.0055413,1620.3,0.035232,0,6.2863e-12,7.7749e-13,0,6.8354,6.3882,0.087207,66.304,37.249,0.84591,6.3772,5.96,0.081361,0,0.25577,21.375,22.118,2.8914e-07,0.86534,1.0015e-05,2.1354e-07,1.0145,1,7.5e-05,0.0015,7.5e-05,5e-06
6940.5,1.6e-10,7.6362,0.24668,0,0.24615,0.015632,0.029631,0.0055497,1620.3,0.035304,0,6.3922e-12,8.3469e-13,0,6.8354,6.3882,0.087206,66.302,37.249,0.84589,6.3772,5.96,0.081361,0,0.25577,21.345,22.118,2.8914e-07,0.8453,9.7836e-06,2.1353e-07,1.0145,1,7.8e-05,0.0015,7.8e-05,5e-06
6940.4,1.6e-10,7.3118,0.24735,0,0.24614,0.015622,0.029646,0.0055581,1620.3,0.035376,0,6.4981e-12,8.9188e-13,0,6.8353,6.3882,0.087206,66.301,37.248,0.84588,6.3772,5.96,0.081361,0,0.25577,21.315,22.118,2.8914e-07,0.82527,9.5517e-06,2.1351e-07,1.0144,1,8.1e-05,0.0015,8.1e-05,5e-06
6940.2,1.6e-10,7.0058,0.24805,0,0.24613,0.015612,0.029661,0.0055668,1620.3,0.03545,0,6.5978e-12,9.5125e-13,0,6.8353,6.3882,0.087206,66.299,37.247,0.84586,6.3771,5.9599,0.08136,0,0.25577,21.285,22.118,2.8913e-07,0.80548,9.3227e-06,2.1349e-07,1.0144,1,8.4e-05,0.0015,8.4e-05,5e-06
6940.1,1.6e-10,6.7183,0.24876,0,0.24611,0.015602,0.029677,0.0055758,1620.2,0.035528,0,6.6913e-12,1.0128e-12,0,6.8353,6.3881,0.087206,66.298,37.246,0.84584,6.3771,5.9599,0.08136,0,0.25577,21.255,22.117,2.8913e-07,0.78593,9.0964e-06,2.1347e-07,1.0144,1,8.7e-05,0.0015,8.7e-05,5e-06
6939.9,1.6e-10,6.4308,0.24948,0,0.2461,0.015591,0.029693,0.0055847,1620.2,0.035605,0,6.7848e-12,1.0743e-12,0,6.8353,6.3881,0.087206,66.296,37.245,0.84582,6.3771,5.9599,0.08136,0,0.25577,21.226,22.117,2.8913e-07,0.76638,8.8702e-06,2.1345e-07,1.0144,1,9e-05,0.0015,9e-05,5e-06
