"D_X","E850","SAC","SI","SIC","SIP","SS","XI_VS","XI_alpha","XPB","XPB_VS","XS_VS","alpha.water","p","p_rgh","sourceXI_alpha","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.728e-11,1.0492,0.74684,0.21524,0.002847,0.013775,0.15773,14.637,0.19981,56.758,31.886,6.0161,0,19.439,20.063,2.9187e-07,1.6486e-06,8.0419e-08,1.0061,1,6.3e-05,0.0015,6.3e-05,5e-06
1.728e-11,1.0071,0.74695,0.21524,0.0028447,0.013776,0.15776,14.637,0.19981,56.755,31.885,6.016,0,19.409,20.063,2.9187e-07,1.5771e-06,8.0394e-08,1.006,1,6.6e-05,0.0015,6.6e-05,5e-06
1.728e-11,0.96744,0.74707,0.21523,0.0028424,0.013778,0.15779,14.637,0.19981,56.753,31.884,6.016,0,19.38,20.063,2.9187e-07,1.5091e-06,8.0368e-08,1.006,1,6.9e-05,0.0015,6.9e-05,5e-06
1.728e-11,0.9301,0.7472,0.21522,0.00284,0.013779,0.15782,14.637,0.19981,56.75,31.882,6.0159,0,19.35,20.063,2.9186e-07,1.4444e-06,8.0341e-08,1.006,1,7.2e-05,0.0015,7.2e-05,5e-06
1.728e-11,0.89277,0.74732,0.21521,0.0028376,0.013781,0.15785,14.636,0.1998,56.748,31.881,6.0158,0,19.32,20.063,2.9186e-07,1.3797e-06,8.0315e-08,1.0059,1,7.5e-05,0.0015,7.5e-05,5e-06
1.728e-11,0.85949,0.74745,0.21519,0.002835,0.013783,0.15789,14.636,0.1998,56.745,31.879,6.0157,0,19.29,20.063,2.9186e-07,1.321e-06,8.0287e-08,1.0059,1,7.8e-05,0.0015,7.8e-05,5e-06
1.728e-11,0.82622,0.74758,0.21518,0.0028324,0.013784,0.15792,14.636,0.1998,56.742,31.878,6.0157,0,19.261,20.063,2.9185e-07,1.2622e-06,8.026e-08,1.0058,1,8.1e-05,0.0015,8.1e-05,5e-06
1.728e-11,0.79471,0.74772,0.21517,0.0028298,0.013786,0.15796,14.636,0.1998,56.74,31.876,6.0156,0,19.231,20.063,2.9185e-07,1.2062e-06,8.0232e-08,1.0058,1,8.4e-05,0.0015,8.4e-05,5e-06
1.728e-11,0.76495,0.74785,0.21516,0.002827,0.013788,0.158,14.636,0.19979,56.737,31.875,6.0155,0,19.201,20.063,2.9184e-07,1.1528e-06,8.0203e-08,1.0058,1,8.7e-05,0.0015,8.7e-05,5e-06
1.728e-11,0.7352,0.74799,0.21515,0.0028243,0.01379,0.15804,14.635,0.19979,56.734,31.873,6.0154,0,19.171,20.063,2.9184e-07,1.0994e-06,8.0175e-08,1.0057,1,9e-05,0.0015,9e-05,5e-06
1.728e-11,0.70851,0.74813,0.21513,0.0028215,0.013792,0.15808,14.635,0.19979,56.731,31.871,6.0153,0,19.142,20.063,2.9183e-07,1.0509e-06,8.0145e-08,1.0057,1,9.3e-05,0.0015,9.3e-05,5e-06
1.728e-11,0.68182,0.74828,0.21512,0.0028186,0.013793,0.15812,14.635,0.19978,56.728,31.87,6.0152,0,19.112,20.063,2.9183e-07,1.0023e-06,8.0116e-08,1.0056,1,9.6e-05,0.0015,9.6e-05,5e-06
1.728e-11,0.65648,0.74842,0.21511,0.0028157,0.013795,0.15816,14.635,0.19978,56.725,31.868,6.0151,0,19.082,20.063,2.9182e-07,9.5583e-07,8.0086e-08,1.0056,1,9.9e-05,0.0015,9.9e-05,5e-06
1.728e-11,0.63248,0.74857,0.21509,0.0028127,0.013797,0.15821,14.634,0.19978,56.722,31.866,6.015,0,19.052,20.063,2.9182e-07,9.1156e-07,8.0056e-08,1.0055,1,0.000102,0.0015,0.000102,5e-06
1.728e-11,0.60848,0.74872,0.21508,0.0028097,0.013799,0.15825,14.634,0.19977,56.719,31.864,6.0149,0,19.023,20.063,2.9181e-07,8.6728e-07,8.0026e-08,1.0055,1,0.000105,0.0015,0.000105,5e-06
1.728e-11,0.58686,0.74887,0.21506,0.0028067,0.013801,0.1583,14.634,0.19977,56.715,31.863,6.0148,0,18.993,20.063,2.9181e-07,8.269e-07,7.9996e-08,1.0055,1,0.000108,0.0015,0.000108,5e-06
1.728e-11,0.56524,0.74902,0.21505,0.0028036,0.013803,0.15834,14.634,0.19977,56.712,31.861,6.0147,0,18.963,20.063,2.918e-07,7.8653e-07,7.9966e-08,1.0054,1,0.000111,0.0015,0.000111,5e-06
