"ALambda_0","D_X","E850","SAC","SH2","SI","SIC","SIN","SIP","SLambda_0","SS","Su","U:0","U:1","U:2","XI","XI_VS","XI_alpha","XPB","XPB_VS","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","alphas","p","p_rgh","sourceXI_alpha","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6125.9,1.728e-11,3,0.74657,0.0011516,0.21095,0.002692,0.046929,0.013738,1691.3,0.16552,0,3.765e-16,6.4755e-17,0,13.936,13.024,0.17779,58.521,32.877,0.74661,6.2789,5.8681,0.080107,0,0.4357,20.274,20.274,2.847e-07,4.5205e-06,1.2048e-07,1.0045,1,0,0.0015,0,5e-06
6125.9,1.728e-11,2.8026,0.74658,0.0011516,0.21095,0.0026918,0.046929,0.013738,1691.3,0.16553,0,1.6494e-14,-2.1255e-15,0,13.936,13.024,0.17779,58.52,32.877,0.74661,6.2789,5.8681,0.080107,0,0.4357,20.245,20.274,2.847e-07,4.2694e-06,1.2048e-07,1.0045,1,3e-06,0.0015,3e-06,5e-06
6125.9,1.728e-11,2.6053,0.74659,0.0011516,0.21095,0.0026916,0.046929,0.013738,1691.3,0.16553,0,3.2611e-14,-4.3158e-15,0,13.936,13.024,0.17779,58.52,32.877,0.74661,6.2789,5.8681,0.080107,0,0.43569,20.215,20.274,2.847e-07,4.0183e-06,1.2047e-07,1.0045,1,6e-06,0.0015,6e-06,5e-06
6125.8,1.728e-11,2.4357,0.74661,0.0011517,0.21095,0.0026912,0.04693,0.013738,1691.3,0.16553,0,6.1158e-14,-8.7534e-15,0,13.936,13.024,0.17779,58.52,32.876,0.7466,6.2789,5.8681,0.080107,0,0.43569,20.185,20.274,2.847e-07,3.7968e-06,1.2047e-07,1.0045,1,9e-06,0.0015,9e-06,5e-06
6125.8,1.728e-11,2.2941,0.74664,0.0011517,0.21094,0.0026907,0.046931,0.013739,1691.3,0.16554,0,1.0213e-13,-1.5438e-14,0,13.936,13.024,0.17779,58.519,32.876,0.7466,6.2789,5.8681,0.080106,0,0.43569,20.155,20.274,2.8469e-07,3.6048e-06,1.2046e-07,1.0045,1,1.2e-05,0.0015,1.2e-05,5e-06
6125.7,1.728e-11,2.1524,0.74667,0.0011518,0.21094,0.0026901,0.046931,0.013739,1691.2,0.16555,0,1.4311e-13,-2.2123e-14,0,13.936,13.024,0.17779,58.519,32.876,0.74659,6.2788,5.8681,0.080106,0,0.43569,20.125,20.274,2.8469e-07,3.4128e-06,1.2046e-07,1.0045,1,1.5e-05,0.0015,1.5e-05,5e-06
6125.6,1.728e-11,2.0453,0.74672,0.0011518,0.21094,0.0026892,0.046932,0.01374,1691.2,0.16556,0,1.9653e-13,-3.3128e-14,0,13.936,13.024,0.17779,58.518,32.875,0.74657,6.2788,5.868,0.080106,0,0.43569,20.096,20.274,2.8469e-07,3.259e-06,1.2045e-07,1.0045,1,1.8e-05,0.0015,1.8e-05,5e-06
6125.5,1.728e-11,1.9383,0.74677,0.0011519,0.21094,0.0026883,0.046933,0.01374,1691.2,0.16557,0,2.4996e-13,-4.4133e-14,0,13.935,13.024,0.17779,58.517,32.874,0.74656,6.2788,5.868,0.080105,0,0.43569,20.066,20.274,2.8469e-07,3.1052e-06,1.2044e-07,1.0045,1,2.1e-05,0.0015,2.1e-05,5e-06
6125.4,1.728e-11,1.8414,0.74682,0.001152,0.21093,0.0026873,0.046935,0.013741,1691.2,0.16558,0,3.0676e-13,-5.6909e-14,0,13.935,13.024,0.17779,58.515,32.874,0.74655,6.2787,5.868,0.080105,0,0.43568,20.036,20.274,2.8469e-07,2.963e-06,1.2042e-07,1.0044,1,2.4e-05,0.0015,2.4e-05,5e-06
6125.2,1.728e-11,1.7547,0.74688,0.0011521,0.21093,0.0026861,0.046936,0.013742,1691.1,0.16559,0,3.6693e-13,-7.1458e-14,0,13.935,13.024,0.17779,58.514,32.873,0.74653,6.2787,5.8679,0.080104,0,0.43568,20.006,20.273,2.8469e-07,2.8326e-06,1.2041e-07,1.0044,1,2.7e-05,0.0015,2.7e-05,5e-06
6125.1,1.728e-11,1.6681,0.74695,0.0011521,0.21093,0.002685,0.046937,0.013743,1691.1,0.16561,0,4.2711e-13,-8.6006e-14,0,13.935,13.024,0.17779,58.513,32.872,0.74651,6.2787,5.8679,0.080104,0,0.43568,19.976,20.273,2.8469e-07,2.7022e-06,1.204e-07,1.0044,1,3e-05,0.0015,3e-05,5e-06
6124.9,1.728e-11,1.5951,0.74702,0.0011522,0.21092,0.0026835,0.046939,0.013744,1691.1,0.16562,0,4.9153e-13,-1.0295e-13,0,13.935,13.023,0.17779,58.511,32.871,0.74649,6.2786,5.8678,0.080103,0,0.43567,19.946,20.273,2.8468e-07,2.588e-06,1.2038e-07,1.0044,1,3.3e-05,0.0015,3.3e-05,5e-06
6124.7,1.728e-11,1.5221,0.7471,0.0011523,0.21092,0.0026821,0.046941,0.013745,1691,0.16564,0,5.5594e-13,-1.1989e-13,0,13.935,13.023,0.17778,58.509,32.87,0.74647,6.2785,5.8678,0.080102,0,0.43567,19.916,20.273,2.8468e-07,2.4738e-06,1.2036e-07,1.0044,1,3.6e-05,0.0015,3.6e-05,5e-06
