"ALambda_0","D_X","E850","SAC","SH2","SI","SIC","SIN","SIP","SLambda_0","SS","Su","U:0","U:1","U:2","XI","XI_VS","XI_alpha","XPB","XPB_VS","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","alphas","p","p_rgh","sourceXI_alpha","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6072.5,1.728e-11,3,0.74607,0.0013344,0.21245,0.0027603,0.046944,0.013741,1699.7,0.16275,0,3.2119e-14,7.8844e-16,0,14.421,13.478,0.18399,58.01,32.59,0.7401,6.3741,5.9571,0.081321,0,0.4493,20.205,20.205,2.8899e-07,4.488e-06,1.0368e-07,1.0054,1,0,0.0015,0,5e-06
6072.5,1.728e-11,2.8035,0.74608,0.0013345,0.21245,0.0027601,0.046944,0.013741,1699.7,0.16275,0,4.0222e-14,2.1509e-15,0,14.421,13.478,0.18399,58.01,32.59,0.7401,6.3741,5.9571,0.081321,0,0.4493,20.175,20.205,2.8899e-07,4.2398e-06,1.0368e-07,1.0054,1,3e-06,0.0015,3e-06,5e-06
6072.5,1.728e-11,2.607,0.74609,0.0013345,0.21244,0.0027599,0.046945,0.013741,1699.7,0.16275,0,4.8325e-14,3.5133e-15,0,14.421,13.478,0.18399,58.01,32.59,0.7401,6.3741,5.9571,0.081321,0,0.4493,20.145,20.205,2.8899e-07,3.9917e-06,1.0368e-07,1.0054,1,6e-06,0.0015,6e-06,5e-06
6072.4,1.728e-11,2.4381,0.74611,0.0013345,0.21244,0.0027596,0.046945,0.013741,1699.6,0.16276,0,6.0423e-14,5.9448e-15,0,14.421,13.478,0.18399,58.01,32.59,0.74009,6.3741,5.9571,0.081321,0,0.4493,20.116,20.205,2.8899e-07,3.7727e-06,1.0367e-07,1.0054,1,9e-06,0.0015,9e-06,5e-06
6072.4,1.728e-11,2.2969,0.74613,0.0013346,0.21244,0.002759,0.046946,0.013742,1699.6,0.16276,0,7.6517e-14,9.4454e-15,0,14.421,13.478,0.18399,58.009,32.589,0.74009,6.374,5.9571,0.081321,0,0.4493,20.086,20.205,2.8899e-07,3.5829e-06,1.0366e-07,1.0054,1,1.2e-05,0.0015,1.2e-05,5e-06
6072.3,1.728e-11,2.1557,0.74616,0.0013346,0.21244,0.0027585,0.046946,0.013742,1699.6,0.16277,0,9.2611e-14,1.2946e-14,0,14.421,13.478,0.18399,58.008,32.589,0.74008,6.374,5.957,0.081321,0,0.4493,20.056,20.205,2.8899e-07,3.3931e-06,1.0366e-07,1.0054,1,1.5e-05,0.0015,1.5e-05,5e-06
6072.2,1.728e-11,2.049,0.74621,0.0013347,0.21244,0.0027576,0.046947,0.013743,1699.6,0.16278,0,1.1076e-13,1.7859e-14,0,14.421,13.478,0.18399,58.007,32.588,0.74007,6.374,5.957,0.081321,0,0.44929,20.027,20.205,2.8899e-07,3.2409e-06,1.0365e-07,1.0054,1,1.8e-05,0.0015,1.8e-05,5e-06
6072.1,1.728e-11,1.9422,0.74626,0.0013348,0.21244,0.0027567,0.046949,0.013743,1699.6,0.16279,0,1.2891e-13,2.2772e-14,0,14.421,13.478,0.18399,58.006,32.588,0.74005,6.374,5.957,0.08132,0,0.44929,19.997,20.205,2.8899e-07,3.0887e-06,1.0364e-07,1.0054,1,2.1e-05,0.0015,2.1e-05,5e-06
6072,1.728e-11,1.8456,0.74631,0.0013348,0.21243,0.0027557,0.04695,0.013744,1699.6,0.1628,0,1.4862e-13,2.8189e-14,0,14.421,13.478,0.18399,58.005,32.587,0.74004,6.374,5.957,0.08132,0,0.44929,19.967,20.205,2.8899e-07,2.9481e-06,1.0362e-07,1.0053,1,2.4e-05,0.0015,2.4e-05,5e-06
6071.9,1.728e-11,1.7591,0.74637,0.0013349,0.21243,0.0027545,0.046951,0.013745,1699.5,0.16282,0,1.6991e-13,3.411e-14,0,14.421,13.478,0.18398,58.004,32.587,0.74002,6.3739,5.957,0.08132,0,0.44929,19.937,20.205,2.8899e-07,2.8191e-06,1.0361e-07,1.0053,1,2.7e-05,0.0015,2.7e-05,5e-06
6071.7,1.728e-11,1.6727,0.74644,0.001335,0.21242,0.0027533,0.046953,0.013746,1699.5,0.16283,0,1.912e-13,4.003e-14,0,14.421,13.477,0.18398,58.003,32.586,0.74001,6.3739,5.9569,0.081319,0,0.44929,19.908,20.205,2.8899e-07,2.69e-06,1.036e-07,1.0053,1,3e-05,0.0015,3e-05,5e-06
6071.6,1.728e-11,1.5998,0.74651,0.0013351,0.21242,0.0027519,0.046954,0.013747,1699.5,0.16285,0,2.1509e-13,4.682e-14,0,14.421,13.477,0.18398,58.001,32.585,0.73999,6.3739,5.9569,0.081319,0,0.44928,19.878,20.205,2.8898e-07,2.5769e-06,1.0358e-07,1.0053,1,3.3e-05,0.0015,3.3e-05,5e-06
6071.4,1.728e-11,1.5269,0.74659,0.0013351,0.21241,0.0027505,0.046956,0.013748,1699.4,0.16287,0,2.3899e-13,5.3609e-14,0,14.421,13.477,0.18398,58,32.584,0.73997,6.3738,5.9569,0.081318,0,0.44928,19.848,20.205,2.8898e-07,2.4639e-06,1.0357e-07,1.0053,1,3.6e-05,0.0015,3.6e-05,5e-06
6071.2,1.728e-11,1.4592,0.74667,0.0013352,0.21241,0.0027489,0.046958,0.013749,1699.4,0.16289,0,2.6386e-13,6.0828e-14,0,14.421,13.477,0.18398,57.998,32.583,0.73995,6.3738,5.9568,0.081318,0,0.44928,19.818,20.205,2.8898e-07,2.3571e-06,1.0355e-07,1.0052,1,3.9e-05,0.0015,3.9e-05,5e-06
6071.1,1.728e-11,1.3966,0.74676,0.0013353,0.2124,0.0027472,0.04696,0.01375,1699.4,0.16291,0,2.8971e-13,6.8476e-14,0,14.421,13.477,0.18398,57.996,32.582,0.73993,6.3737,5.9568,0.081317,0,0.44928,19.789,20.205,2.8898e-07,2.2566e-06,1.0353e-07,1.0052,1,4.2e-05,0.0015,4.2e-05,5e-06
