"ALambda_0","D_X","E850","SAC","SH2","SI","SIC","SIN","SIP","SLambda_0","SS","Su","U:0","U:1","U:2","XI","XI_VS","XI_alpha","XPB","XPB_VS","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","alphas","p","p_rgh","sourceXI_alpha","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
5892.8,1.728e-11,3,0.7453,0.0018157,0.2164,0.0029104,0.047023,0.013765,1724.2,0.15547,0,-4.6027e-14,-1.8325e-15,0,16.192,15.133,0.20658,56.294,31.626,0.7182,6.4375,6.0163,0.08213,0,0.4953,20.177,20.177,2.9189e-07,4.3732e-06,7.4211e-08,1.0069,1,0,0.0015,0,5e-06
5892.8,1.728e-11,2.8064,0.74531,0.0018157,0.21639,0.0029102,0.047024,0.013765,1724.2,0.15547,0,-6.4018e-14,-5.9556e-15,0,16.192,15.133,0.20658,56.293,31.625,0.7182,6.4375,6.0163,0.08213,0,0.4953,20.147,20.177,2.9189e-07,4.1352e-06,7.4208e-08,1.0069,1,3e-06,0.0015,3e-06,5e-06
5892.8,1.728e-11,2.6127,0.74532,0.0018158,0.21639,0.00291,0.047024,0.013765,1724.1,0.15548,0,-8.201e-14,-1.0079e-14,0,16.192,15.133,0.20658,56.293,31.625,0.71819,6.4375,6.0163,0.08213,0,0.4953,20.117,20.176,2.9189e-07,3.8972e-06,7.4206e-08,1.0069,1,6e-06,0.0015,6e-06,5e-06
5892.7,1.728e-11,2.4461,0.74534,0.0018158,0.21639,0.0029096,0.047024,0.013765,1724.1,0.15548,0,-1.0943e-13,-1.8133e-14,0,16.192,15.133,0.20658,56.293,31.625,0.71819,6.4375,6.0163,0.08213,0,0.4953,20.087,20.176,2.9189e-07,3.687e-06,7.4201e-08,1.0069,1,9e-06,0.0015,9e-06,5e-06
5892.6,1.728e-11,2.3066,0.74537,0.0018159,0.21639,0.0029091,0.047025,0.013766,1724.1,0.15549,0,-1.4627e-13,-3.0119e-14,0,16.192,15.133,0.20658,56.292,31.625,0.71818,6.4374,6.0163,0.08213,0,0.49529,20.057,20.176,2.9189e-07,3.5045e-06,7.4194e-08,1.0069,1,1.2e-05,0.0015,1.2e-05,5e-06
5892.6,1.728e-11,2.167,0.7454,0.0018159,0.21639,0.0029086,0.047026,0.013766,1724.1,0.15549,0,-1.8312e-13,-4.2105e-14,0,16.192,15.133,0.20658,56.291,31.624,0.71817,6.4374,6.0163,0.08213,0,0.49529,20.027,20.176,2.9189e-07,3.3221e-06,7.4187e-08,1.0069,1,1.5e-05,0.0015,1.5e-05,5e-06
5892.5,1.728e-11,2.0613,0.74545,0.001816,0.21639,0.0029077,0.047027,0.013767,1724.1,0.1555,0,-2.2232e-13,-6.1125e-14,0,16.192,15.133,0.20658,56.291,31.624,0.71816,6.4374,6.0163,0.082129,0,0.49529,19.998,20.176,2.9189e-07,3.1756e-06,7.4177e-08,1.0069,1,1.8e-05,0.0015,1.8e-05,5e-06
5892.4,1.728e-11,1.9556,0.74549,0.0018161,0.21638,0.0029068,0.047028,0.013767,1724.1,0.15551,0,-2.6152e-13,-8.0145e-14,0,16.192,15.133,0.20658,56.29,31.623,0.71815,6.4374,6.0163,0.082129,0,0.49529,19.968,20.176,2.9188e-07,3.0291e-06,7.4166e-08,1.0069,1,2.1e-05,0.0015,2.1e-05,5e-06
5892.3,1.728e-11,1.8598,0.74554,0.0018162,0.21638,0.0029058,0.047029,0.013768,1724.1,0.15552,0,-3.0214e-13,-1.0238e-13,0,16.192,15.133,0.20658,56.288,31.623,0.71814,6.4374,6.0162,0.082129,0,0.49529,19.938,20.176,2.9188e-07,2.8937e-06,7.4154e-08,1.0068,1,2.4e-05,0.0015,2.4e-05,5e-06
5892.1,1.728e-11,1.7741,0.74561,0.0018162,0.21638,0.0029047,0.04703,0.013769,1724,0.15554,0,-3.4416e-13,-1.2783e-13,0,16.192,15.133,0.20658,56.287,31.622,0.71812,6.4373,6.0162,0.082128,0,0.49529,19.908,20.176,2.9188e-07,2.7693e-06,7.414e-08,1.0068,1,2.7e-05,0.0015,2.7e-05,5e-06
5892,1.728e-11,1.6883,0.74567,0.0018163,0.21637,0.0029035,0.047032,0.01377,1724,0.15555,0,-3.8619e-13,-1.5327e-13,0,16.192,15.133,0.20658,56.286,31.621,0.7181,6.4373,6.0162,0.082128,0,0.49529,19.878,20.176,2.9188e-07,2.6449e-06,7.4126e-08,1.0068,1,3e-05,0.0015,3e-05,5e-06
5891.8,1.728e-11,1.6159,0.74574,0.0018164,0.21637,0.0029021,0.047033,0.01377,1724,0.15557,0,-4.3058e-13,-1.8444e-13,0,16.192,15.133,0.20658,56.284,31.62,0.71808,6.4373,6.0161,0.082128,0,0.49528,19.849,20.176,2.9188e-07,2.5358e-06,7.4109e-08,1.0068,1,3.3e-05,0.0015,3.3e-05,5e-06
5891.7,1.728e-11,1.5435,0.74581,0.0018165,0.21636,0.0029007,0.047035,0.013771,1723.9,0.15558,0,-4.7497e-13,-2.156e-13,0,16.192,15.132,0.20658,56.283,31.62,0.71806,6.4372,6.0161,0.082127,0,0.49528,19.819,20.175,2.9188e-07,2.4267e-06,7.4092e-08,1.0068,1,3.6e-05,0.0015,3.6e-05,5e-06
5891.5,1.728e-11,1.4761,0.74589,0.0018166,0.21636,0.0028992,0.047037,0.013772,1723.9,0.1556,0,-5.202e-13,-2.4946e-13,0,16.192,15.132,0.20657,56.281,31.619,0.71804,6.4372,6.0161,0.082127,0,0.49528,19.789,20.175,2.9188e-07,2.3235e-06,7.4074e-08,1.0067,1,3.9e-05,0.0015,3.9e-05,5e-06
