"ALambda_0","D_X","E850","SAC","SI","SIC","SIP","SLambda_0","SS","U:0","U:1","U:2","XI_VS","XI_alpha","XPB","XPB_VS","XS","XS_VS","alpha.water","p","p_rgh","sourceXI_alpha","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6280,1.728e-11,1.1062,0.75178,0.20395,0.0022552,0.0138,1667.4,0.17614,-1.6207e-11,-2.8605e-12,0,13.521,0.18458,59.992,33.703,4.0809,3.8139,0,19.818,20.383,1.8484e-07,1.8185e-06,3.7052e-07,1.002,1,5.7e-05,0.0015,5.7e-05,5e-06
6279.7,1.728e-11,1.0585,0.75189,0.20395,0.0022531,0.013802,1667.4,0.17617,-1.6883e-11,-3.0451e-12,0,13.521,0.18458,59.99,33.702,4.0808,3.8138,0,19.793,20.388,1.8484e-07,1.7352e-06,3.705e-07,1.002,1,6e-05,0.0015,6e-05,5e-06
6279.4,1.728e-11,1.0164,0.75201,0.20394,0.0022508,0.013803,1667.3,0.1762,-1.7564e-11,-3.1932e-12,0,13.521,0.18457,59.987,33.701,4.0807,3.8137,0,19.769,20.393,1.8483e-07,1.6602e-06,3.7048e-07,1.002,1,6.3e-05,0.0015,6.3e-05,5e-06
6279.1,1.728e-11,0.97443,0.75213,0.20394,0.0022485,0.013805,1667.2,0.17624,-1.8246e-11,-3.3413e-12,0,13.52,0.18457,59.984,33.699,4.0806,3.8136,0,19.745,20.399,1.8483e-07,1.5852e-06,3.7046e-07,1.0019,1,6.6e-05,0.0015,6.6e-05,5e-06
6278.8,1.728e-11,0.93483,0.75225,0.20393,0.0022461,0.013807,1667.2,0.17627,-1.8927e-11,-3.4604e-12,0,13.52,0.18456,59.981,33.697,4.0805,3.8135,0,19.722,20.406,1.8483e-07,1.5138e-06,3.7044e-07,1.0019,1,6.9e-05,0.0015,6.9e-05,5e-06
6278.5,1.728e-11,0.89766,0.75238,0.20392,0.0022436,0.013808,1667.1,0.17631,-1.9609e-11,-3.5506e-12,0,13.519,0.18456,59.979,33.696,4.0804,3.8134,0,19.7,20.414,1.8482e-07,1.4461e-06,3.7042e-07,1.0018,1,7.2e-05,0.0015,7.2e-05,5e-06
6278.2,1.728e-11,0.86049,0.75251,0.20392,0.0022411,0.01381,1667,0.17635,-2.0291e-11,-3.6407e-12,0,13.519,0.18455,59.976,33.694,4.0802,3.8133,0,19.678,20.421,1.8482e-07,1.3784e-06,3.704e-07,1.0018,1,7.5e-05,0.0015,7.5e-05,5e-06
6277.9,1.728e-11,0.82745,0.75265,0.20391,0.0022385,0.013812,1667,0.17639,-2.0957e-11,-3.6487e-12,0,13.519,0.18455,59.972,33.692,4.0801,3.8132,0,19.658,20.431,1.8482e-07,1.3171e-06,3.7038e-07,1.0017,1,7.8e-05,0.0015,7.8e-05,5e-06
6277.6,1.728e-11,0.79442,0.75278,0.2039,0.0022358,0.013813,1666.9,0.17643,-2.1622e-11,-3.6567e-12,0,13.518,0.18454,59.969,33.691,4.08,3.813,0,19.638,20.44,1.8481e-07,1.2558e-06,3.7036e-07,1.0017,1,8.1e-05,0.0015,8.1e-05,5e-06
6277.2,1.728e-11,0.76318,0.75292,0.2039,0.0022331,0.013815,1666.8,0.17647,-2.2262e-11,-3.6118e-12,0,13.518,0.18453,59.966,33.689,4.0798,3.8129,0,19.619,20.451,1.8481e-07,1.1974e-06,3.7033e-07,1.0016,1,8.4e-05,0.0015,8.4e-05,5e-06
6276.9,1.728e-11,0.73372,0.75307,0.20389,0.0022304,0.013817,1666.7,0.17652,-2.2875e-11,-3.5138e-12,0,13.517,0.18453,59.963,33.687,4.0797,3.8128,0,19.601,20.463,1.8481e-07,1.1418e-06,3.7031e-07,1.0016,1,8.7e-05,0.0015,8.7e-05,5e-06
6276.5,1.728e-11,0.70427,0.75321,0.20388,0.0022276,0.013819,1666.6,0.17656,-2.3489e-11,-3.4158e-12,0,13.517,0.18452,59.959,33.685,4.0795,3.8126,0,19.584,20.475,1.848e-07,1.0862e-06,3.7029e-07,1.0015,1,9e-05,0.0015,9e-05,5e-06
6276.1,1.728e-11,0.67793,0.75336,0.20387,0.0022247,0.013821,1666.5,0.17661,-2.3989e-11,-3.1893e-12,0,13.516,0.18451,59.955,33.683,4.0793,3.8125,0,19.569,20.491,1.848e-07,1.0358e-06,3.7027e-07,1.0015,1,9.3e-05,0.0015,9.3e-05,5e-06
6275.7,1.728e-11,0.65159,0.75351,0.20386,0.0022218,0.013823,1666.4,0.17666,-2.4489e-11,-2.9627e-12,0,13.516,0.1845,59.952,33.681,4.0792,3.8123,0,19.554,20.506,1.8479e-07,9.854e-07,3.7025e-07,1.0014,1,9.6e-05,0.0015,9.6e-05,5e-06
6275.3,1.728e-11,0.62661,0.75366,0.20386,0.0022188,0.013825,1666.3,0.17671,-2.4885e-11,-2.6614e-12,0,13.515,0.18449,59.948,33.678,4.079,3.8121,0,19.541,20.522,1.8479e-07,9.3729e-07,3.7022e-07,1.0014,1,9.9e-05,0.0015,9.9e-05,5e-06
6274.9,1.728e-11,0.60299,0.75381,0.20385,0.0022158,0.013827,1666.2,0.17676,-2.5177e-11,-2.2852e-12,0,13.514,0.18449,59.944,33.676,4.0788,3.8119,0,19.53,20.541,1.8478e-07,8.9148e-07,3.702e-07,1.0013,1,0.000102,0.0015,0.000102,5e-06
6274.4,1.728e-11,0.57937,0.75396,0.20384,0.0022127,0.013829,1666.1,0.17681,-2.5469e-11,-1.9091e-12,0,13.514,0.18448,59.939,33.674,4.0786,3.8117,0,19.519,20.559,1.8478e-07,8.4567e-07,3.7018e-07,1.0012,1,0.000105,0.0015,0.000105,5e-06
6274,1.728e-11,0.55815,0.75412,0.20383,0.0022096,0.013831,1666,0.17686,-2.5411e-11,-1.3601e-12,0,13.513,0.18447,59.935,33.671,4.0783,3.8115,0,19.512,20.582,1.8477e-07,8.0403e-07,3.7016e-07,1.0012,1,0.000108,0.0015,0.000108,5e-06
6273.5,1.728e-11,0.53693,0.75428,0.20382,0.0022065,0.013833,1665.9,0.17691,-2.5353e-11,-8.1113e-13,0,13.512,0.18445,59.93,33.669,4.0781,3.8113,0,19.504,20.604,1.8477e-07,7.6238e-07,3.7013e-07,1.0011,1,0.000111,0.0015,0.000111,5e-06
6273,1.728e-11,0.51677,0.75444,0.20381,0.0022033,0.013835,1665.8,0.17697,-2.5027e-11,-1.5224e-13,0,13.511,0.18444,59.926,33.666,4.0778,3.8111,0,19.499,20.628,1.8476e-07,7.2261e-07,3.7011e-07,1.001,1,0.000114,0.0015,0.000114,5e-06
